Symbol,RECOMMENDATION,BUY,SELL,NEUTRAL,ClosePrice,percInc30,percInc10,bbHigh,bbLow,screener,exchange,interval
NKNUSDT,SELL,2,14,10,0.106,-7.636001848325591,-7.001228285664155,0.13732737,0.10047263,america,BINANCE,Interval.INTERVAL_1_DAY
LOOMBTC,SELL,1,15,10,2.11e-06,-6.637168141592909,-4.524886877828052,2.38e-06,2.06e-06,america,BINANCE,Interval.INTERVAL_1_DAY
GEMUSDT,SELL,4,13,7,0.00466,-27.692185945905692,-13.543599257884964,0.00785848,0.00427852,america,Kucoin,Interval.INTERVAL_1_DAY
CUSDUSDT,NEUTRAL,5,11,10,0.996,-0.06755774231463363,0.04319133762568583,0.99829536,0.99442464,america,Kucoin,Interval.INTERVAL_1_DAY
OASUSDT,SELL,3,10,11,0.0884,-1.2573712098440524,-5.481839468816489,0.09859567,0.08579533,america,Kucoin,Interval.INTERVAL_1_DAY
NEOBTC,STRONG_SELL,1,16,9,0.000385,-9.983633387888716,-7.072169925175004,0.00045251,0.00038699,america,BINANCE,Interval.INTERVAL_1_DAY
KNCUSDT,STRONG_SELL,1,16,9,0.679,-8.928332324726895,-6.137683162842137,0.84719685,0.66570315,america,BINANCE,Interval.INTERVAL_1_DAY
GRINBTC,SELL,4,11,11,5.53e-06,-2.2968197879858536,-0.8960573476702365,5.81e-06,5.18e-06,america,Kucoin,Interval.INTERVAL_1_DAY
LYMUSDT,SELL,2,15,9,0.001894,-22.66767925460462,-11.1673936494536,0.00283301,0.00183949,america,Kucoin,Interval.INTERVAL_1_DAY
NIMETH,BUY,15,2,9,9.9e-07,19.277108433734952,11.235955056179776,1.02e-06,6.9e-07,america,Kucoin,Interval.INTERVAL_1_DAY
SUTERBTC,STRONG_SELL,0,6,20,2e-08,0.0,0.0,2e-08,2e-08,america,Kucoin,Interval.INTERVAL_1_DAY
NULSBTC,STRONG_SELL,0,16,10,8.66e-06,-8.649789029535867,-5.251641137855586,1.013e-05,8.54e-06,america,BINANCE,Interval.INTERVAL_1_DAY
HAIUSDT,SELL,4,13,9,0.03073,-15.667279563105467,-8.126046400382677,0.04035886,0.03021014,america,Kucoin,Interval.INTERVAL_1_DAY
MITXUSDT,SELL,4,12,10,0.011963,-13.657402562346306,-7.698598851922725,0.01513985,0.01172885,america,Kucoin,Interval.INTERVAL_1_DAY
PDEXUSDT,NEUTRAL,8,9,9,1.5998,-1.3741530987799564,2.202744486750305,1.69239919,1.46300081,america,Kucoin,Interval.INTERVAL_1_DAY
HTRBTC,STRONG_SELL,1,15,10,2.53e-06,-12.152777777777786,-11.228070175438603,3.2e-06,2.45e-06,america,Kucoin,Interval.INTERVAL_1_DAY
FLAMEUSDT,SELL,3,13,10,0.04638,-11.385391390741134,-3.2157091880386446,0.05647598,0.04431802,america,Kucoin,Interval.INTERVAL_1_DAY
EPXUSDT,STRONG_SELL,1,16,9,0.0002982,-7.134626763414403,-6.31774056737143,0.00036047,0.00029127,america,BINANCE,Interval.INTERVAL_1_DAY
PUNDIXBTC,STRONG_SELL,0,16,10,1.616e-05,-4.716981132075475,-3.1755542240862695,1.836e-05,1.561e-05,america,Kucoin,Interval.INTERVAL_1_DAY
AOGUSDT,SELL,2,14,10,0.01366,-7.723464923095008,-5.408212727650437,0.01626973,0.01226827,america,Kucoin,Interval.INTERVAL_1_DAY
VETBTC,SELL,2,14,10,8e-07,-3.6144578313252964,-3.6144578313252964,8.9e-07,7.9e-07,america,BINANCE,Interval.INTERVAL_1_DAY
TWTBTC,SELL,1,15,10,4.158e-05,-2.0494699646643255,-4.193548387096769,4.559e-05,4.002e-05,america,BINANCE,Interval.INTERVAL_1_DAY
AGLDUSDT,SELL,5,13,8,0.438,-8.838629743037117,-8.195346887444984,0.63142163,0.39527837,america,BINANCE,Interval.INTERVAL_1_DAY
KAIETH,NEUTRAL,6,10,10,2.89e-06,-0.3448275862069039,2.4822695035460924,3.07e-06,2.56e-06,america,Kucoin,Interval.INTERVAL_1_DAY
YLDUSDT,SELL,3,15,8,0.091691,-29.581439992774676,-9.790687950414451,0.1617689,0.0790978,america,Kucoin,Interval.INTERVAL_1_DAY
