Symbol,RECOMMENDATION,BUY,SELL,NEUTRAL,ClosePrice,percInc30,percInc10,bbHigh,bbLow,screener,exchange,interval
ARKERUSDT,STRONG_BUY,17,1,8,0.0016671,113.45164016286392,57.361172728216644,0.00148276,0.00022513,america,Kucoin,Interval.INTERVAL_1_DAY
OAXUSDT,STRONG_BUY,14,1,9,0.1956,64.41579813909223,39.43541488451669,0.174148,0.069182,america,BINANCE,Interval.INTERVAL_1_DAY
AMPLETH,STRONG_BUY,16,1,9,0.000958,49.72727130644077,38.21959313230414,0.00083587,0.00047203,america,Kucoin,Interval.INTERVAL_1_DAY
HIFIETH,STRONG_BUY,16,0,10,0.0004465,61.54124457308251,29.4653212711668,0.00041038,0.00020275,america,BINANCE,Interval.INTERVAL_1_DAY
AMPLUSDT,STRONG_BUY,16,1,9,1.40304,32.48208169552743,25.97848280617825,1.29680638,0.84477762,america,Kucoin,Interval.INTERVAL_1_DAY
HIFIUSDT,STRONG_BUY,16,0,10,0.6981,52.79388911991947,25.18604859679013,0.65080312,0.35306688,america,BINANCE,Interval.INTERVAL_1_DAY
ELFETH,STRONG_BUY,16,0,10,0.0002334,25.720441691354694,15.578884817272453,0.00022157,0.00016342,america,BINANCE,Interval.INTERVAL_1_DAY
ELFBUSD,STRONG_BUY,16,0,10,0.3685,20.101688486335107,13.189581029610522,0.35246153,0.27665847,america,BINANCE,Interval.INTERVAL_1_DAY
ELFUSDT,STRONG_BUY,16,0,10,0.3681,19.924417318336893,13.10145640017204,0.3519886,0.2773214,america,BINANCE,Interval.INTERVAL_1_DAY
MTLUSDT,STRONG_BUY,17,0,9,1.414,21.12386499914338,13.083813179782467,1.36110589,1.02149411,america,BINANCE,Interval.INTERVAL_1_DAY
MTLBUSD,STRONG_BUY,17,0,9,1.411,20.922127289829945,12.907097703448827,1.35931046,1.02288954,america,BINANCE,Interval.INTERVAL_1_DAY
MTLBTC,STRONG_BUY,17,1,8,5.405e-05,21.59730033745781,11.742815794914208,5.271e-05,3.881e-05,america,BINANCE,Interval.INTERVAL_1_DAY
ELFBTC,STRONG_BUY,16,0,10,1.406e-05,20.273738237810093,11.587301587301596,1.362e-05,1.055e-05,america,BINANCE,Interval.INTERVAL_1_DAY
NAKAUSDT,STRONG_BUY,17,1,8,0.48935,14.49015313324115,10.12913476556345,0.4835695,0.3653595,america,Kucoin,Interval.INTERVAL_1_DAY
GALTRY,STRONG_BUY,17,1,8,34.14,9.327298745685113,9.542450105884612,33.40871202,29.28628798,america,BINANCE,Interval.INTERVAL_1_DAY
TRXXRP,STRONG_BUY,16,1,9,0.16823,12.63339940829134,5.801038954504861,0.16773222,0.13976778,america,BINANCE,Interval.INTERVAL_1_DAY
VETBNB,STRONG_BUY,17,2,7,7.72e-05,4.948341489940205,5.06260206859011,7.625e-05,7.011e-05,america,BINANCE,Interval.INTERVAL_1_DAY
BCHBNB,STRONG_BUY,16,1,9,0.947,4.721884330421318,4.479258605472197,0.97711361,0.85068639,america,BINANCE,Interval.INTERVAL_1_DAY
INJBNB,STRONG_BUY,16,0,10,0.03292,0.6030375883141517,3.2007272955265194,0.03316573,0.03084727,america,BINANCE,Interval.INTERVAL_1_DAY
XMRETH,STRONG_BUY,16,0,10,0.0902,4.083728551482196,2.760404206113236,0.09040054,0.08341246,america,BINANCE,Interval.INTERVAL_1_DAY
WBTCETH,STRONG_BUY,16,1,9,16.38,3.226619611797304,2.471066624960912,16.26180246,15.56719754,america,BINANCE,Interval.INTERVAL_1_DAY
XMRBNB,STRONG_BUY,16,0,10,0.6823,2.9586339732738907,2.4382187790889844,0.68452667,0.63591333,america,BINANCE,Interval.INTERVAL_1_DAY
TRXTRY,STRONG_BUY,16,1,9,2.1903,4.4933958795061955,2.4155538098978866,2.18990965,2.03205035,america,BINANCE,Interval.INTERVAL_1_DAY
TRXEUR,STRONG_BUY,16,1,9,0.07533,5.317859870623849,2.328298196044315,0.07548295,0.06934505,america,BINANCE,Interval.INTERVAL_1_DAY
MKRBUSD,STRONG_BUY,16,1,9,1150.0,4.371502042366899,2.0770459790520306,1194.49113038,1014.10886962,america,BINANCE,Interval.INTERVAL_1_DAY
MKRUSDT,STRONG_BUY,16,1,9,1150.0,4.349404149463581,2.0679861542557916,1193.47172005,1014.92827995,america,BINANCE,Interval.INTERVAL_1_DAY
USDTNGN,STRONG_BUY,16,1,9,947.3,4.086700459638109,1.8054809242342742,943.95393562,899.51606438,america,BINANCE,Interval.INTERVAL_1_DAY
