Symbol,RECOMMENDATION,BUY,SELL,NEUTRAL,ClosePrice,percInc30,percInc10,bbHigh,bbLow,screener,exchange,interval
NGLUSDT,STRONG_SELL,0,17,9,0.04203,-56.16319141144824,-36.10422779306466,0.12600316,0.03556184,america,Kucoin,Interval.INTERVAL_1_DAY
NGLBTC,STRONG_SELL,0,17,9,1.61e-06,-54.13105413105413,-35.599999999999994,4.84e-06,1.34e-06,america,Kucoin,Interval.INTERVAL_1_DAY
NHCTUSDT,STRONG_SELL,1,16,9,0.01896,-34.7721307736211,-24.090162949913918,0.03218167,0.02121433,america,Kucoin,Interval.INTERVAL_1_DAY
GAFIUSDT,STRONG_SELL,1,17,8,1.371,-30.8832425892317,-18.183445724174973,2.296379,1.387421,america,Kucoin,Interval.INTERVAL_1_DAY
SYNRUSDT,STRONG_SELL,0,17,9,0.000636,-15.534483445555608,-15.256495669553644,0.00083708,0.00063242,america,Kucoin,Interval.INTERVAL_1_DAY
TOKOUSDT,STRONG_SELL,0,16,10,0.0004626,-17.144290012895823,-12.15343714394227,0.00060542,0.00047475,america,Kucoin,Interval.INTERVAL_1_DAY
WALUSDT,STRONG_SELL,1,17,8,0.00436,-19.527500922849754,-10.21416803953872,0.00577445,0.00430755,america,Kucoin,Interval.INTERVAL_1_DAY
TOKOKCS,STRONG_SELL,1,16,9,0.0001172,-1.2886380864145508,-9.539981475764122,0.00014172,0.00010456,america,Kucoin,Interval.INTERVAL_1_DAY
POKTUSDT,STRONG_SELL,1,16,9,0.02553,-17.834222094773537,-9.490551990640611,0.03531353,0.02480947,america,Kucoin,Interval.INTERVAL_1_DAY
YFDAIUSDT,STRONG_SELL,1,16,9,80.74,-12.551536903939137,-9.17680937703885,97.09048255,84.36851745,america,Kucoin,Interval.INTERVAL_1_DAY
PELUSDT,STRONG_SELL,1,16,9,0.004124,-28.169578318499305,-8.047002162812987,0.00673615,0.00351645,america,Kucoin,Interval.INTERVAL_1_DAY
OGVUSDT,STRONG_SELL,0,17,9,0.005846,-14.320846884054689,-7.828143476547112,0.0070013,0.005968,america,Kucoin,Interval.INTERVAL_1_DAY
IGUUSDT,STRONG_SELL,2,17,7,0.03691,-13.177455777192321,-7.435736677115983,0.04671604,0.03548396,america,Kucoin,Interval.INTERVAL_1_DAY
SRKUSDT,STRONG_SELL,0,16,10,0.0001178,-16.447975033690327,-7.3097804705326865,0.00014604,0.00011826,america,Kucoin,Interval.INTERVAL_1_DAY
OLTBTC,STRONG_SELL,0,15,11,1.4e-07,-6.666666666666657,-6.666666666666657,1.6e-07,1.4e-07,america,Kucoin,Interval.INTERVAL_1_DAY
PSTAKEUSDT,STRONG_SELL,0,17,9,0.02666,-13.115261112105102,-6.285151856018004,0.03125526,0.02691774,america,Kucoin,Interval.INTERVAL_1_DAY
SWPUSDT,STRONG_SELL,1,16,9,0.00816,-13.41256366723259,-6.2715368711233594,0.01072673,0.00758227,america,Kucoin,Interval.INTERVAL_1_DAY
GLQBTC,STRONG_SELL,0,15,11,1.5e-07,-11.764705882352942,-6.250000000000014,2e-07,1.4e-07,america,Kucoin,Interval.INTERVAL_1_DAY
ONSTONUSDT,STRONG_SELL,0,16,10,0.001753,-7.846940760249595,-5.848864063590966,0.00204425,0.00168475,america,Kucoin,Interval.INTERVAL_1_DAY
SUTERUSDT,STRONG_SELL,0,17,9,0.0002569,-8.622038841858142,-5.634734058183938,0.0002963,0.00025238,america,Kucoin,Interval.INTERVAL_1_DAY
