Symbol,RECOMMENDATION,BUY,SELL,NEUTRAL,ClosePrice,percInc30,percInc10,bbHigh,bbLow,screener,exchange,interval
GCTK,STRONG_BUY,18,0,8,3.2,344.40961384095965,342.8149469417748,1.83307276,-0.67848346,america,NASDAQ,Interval.INTERVAL_1_DAY
JFBR,STRONG_BUY,15,0,9,1.41,29.675837078221292,70.77040464107935,1.7378746,0.3283755,america,NASDAQ,Interval.INTERVAL_1_DAY
GFAI,STRONG_BUY,16,0,10,16.0,122.40756185710313,66.9100771959107,15.82451338,-1.55550338,america,NASDAQ,Interval.INTERVAL_1_DAY
LTRY,STRONG_BUY,16,1,9,0.528,21.919306367815366,55.06152535902032,0.50582921,0.24315079,america,NASDAQ,Interval.INTERVAL_1_DAY
SCLX,STRONG_BUY,16,1,9,14.15,65.13012020072352,49.37189908160033,12.49243209,4.74356791,america,NASDAQ,Interval.INTERVAL_1_DAY
IPDN,STRONG_BUY,17,0,9,6.61,102.53128378333267,47.27901463432025,5.997447,0.940633,america,NASDAQ,Interval.INTERVAL_1_DAY
CRVS,STRONG_BUY,16,0,10,1.25,61.245242571989564,36.96678829317466,1.15408565,0.45766435,america,NASDAQ,Interval.INTERVAL_1_DAY
PPSI,STRONG_BUY,17,0,9,4.345,46.16505926646661,28.77889745109661,4.11904301,1.95695699,america,NASDAQ,Interval.INTERVAL_1_DAY
WULF,STRONG_BUY,16,1,9,1.16,57.05175938587345,27.321420731439588,1.11862083,0.45682917,america,NASDAQ,Interval.INTERVAL_1_DAY
EOSE,STRONG_BUY,17,0,9,3.08,41.11178964399542,25.611745513866254,2.96243441,1.66656559,america,NASDAQ,Interval.INTERVAL_1_DAY
OCUP,STRONG_BUY,16,1,9,5.37,39.0531268732926,24.75316529213613,5.1283675,2.8771325,america,NASDAQ,Interval.INTERVAL_1_DAY
CLIR,STRONG_BUY,19,1,6,1.06,29.509939276943555,24.48912481796401,0.94649633,0.70117367,america,NASDAQ,Interval.INTERVAL_1_DAY
IKNA,STRONG_BUY,16,0,10,4.57,13.408884015709432,22.783449758194536,4.52888461,3.20311539,america,NASDAQ,Interval.INTERVAL_1_DAY
GAME,STRONG_BUY,16,0,10,1.75,12.85468591389791,22.634898388227057,1.59091796,1.21008204,america,NASDAQ,Interval.INTERVAL_1_DAY
ARTW,STRONG_BUY,17,0,9,2.53,22.696411251212425,21.72298158759483,2.32030472,1.76618528,america,NASDAQ,Interval.INTERVAL_1_DAY
TIO,STRONG_BUY,17,0,9,1.3,37.361185955347054,21.100336286318438,1.25698027,0.66493973,america,NASDAQ,Interval.INTERVAL_1_DAY
LVO,STRONG_BUY,16,0,10,1.4,26.453081390622586,20.898100172711565,1.33953264,0.83495736,america,NASDAQ,Interval.INTERVAL_1_DAY
TGTX,STRONG_BUY,16,0,10,19.01,21.747112721590668,20.798119082417244,17.31731892,13.17568108,america,NASDAQ,Interval.INTERVAL_1_DAY
IMRX,STRONG_BUY,16,1,9,11.59,44.3037974084649,20.553359683794454,11.31847403,7.07352597,america,NASDAQ,Interval.INTERVAL_1_DAY
CTXR,STRONG_BUY,17,0,9,1.46,30.426626477875516,18.79576891781936,1.41930632,0.82590368,america,NASDAQ,Interval.INTERVAL_1_DAY
HBIO,STRONG_BUY,18,0,8,4.87,51.55601675472613,18.261291889266616,4.87582704,2.11817296,america,NASDAQ,Interval.INTERVAL_1_DAY
