Symbol,RECOMMENDATION,BUY,SELL,NEUTRAL,ClosePrice,percInc30,percInc10,bbHigh,bbLow,screener,exchange,interval,AdoscLastN
ISPO,STRONG_BUY,15,1,10,1.05,36.396093319712946,23.402191364361656,1.0097464,0.5729199,america,NASDAQ,1h,  -3370.81 -1512.11 4427.3 12913.82 -77788.18 -98283.7 -81722.7 -62513.61
KSPN,STRONG_BUY,16,0,10,0.84,23.385848700747005,14.00032571521632,0.81823725,0.57314645,america,NASDAQ,1h,  810.24 -796.02 -21648.23 -30701.64 -32225.48 -29838.44 -24671.38 -19032.35
VRME,STRONG_BUY,16,1,9,2.27,19.016618426749517,13.497162570935743,2.16297216,1.68380784,america,NASDAQ,1h,  -349.49 -316.12 -69.14 38.18 -88.11 2039.99 3639.55 5411.1
XELB,STRONG_BUY,15,1,10,0.6623,14.610473213371037,12.956828763041713,0.6515962,0.499244,america,NASDAQ,1h,  -1166.62 -1267.76 -1193.88 -1055.13 -750.16 -687.02 -589.19 -495.6
MAPS,STRONG_BUY,18,0,8,0.9406,18.401725246316758,12.826431660780855,0.89128856,0.72023364,america,NASDAQ,1h,  -4741.63 -5896.02 -4383.59 -2665.08 -1920.23 -499.77 -1123.4 8845.03
PBAXU,STRONG_BUY,18,0,8,11.73,14.028928194188438,12.528455885103938,11.07293014,9.56115986,america,NASDAQ,1h,  174.29 142.6 -201.51 -323.97 -344.61 -321.73 -569.48 -549.38
HCTI,STRONG_BUY,16,0,10,0.32,23.159027516305414,11.8529134188542,0.31961084,0.21573916,america,NASDAQ,1h,  -1563.55 1675.78 2466.8 11672.51 16645.49 -4884.01 -7865.16 -9239.3
YVR,STRONG_BUY,17,0,9,0.178,13.908824177442298,11.591749733559013,0.16982336,0.14182764,america,NASDAQ,1h,  -5147.31 -104.32 1968.21 -2251.41 -961.06 -345.83 2735.07 7524.4
OMER,STRONG_BUY,16,2,8,6.08,17.8035832684059,11.202560585276615,5.96992682,4.44897318,america,NASDAQ,1h,  -940.09 1030.73 6784.03 11759.7 13723.95 16365.27 12211.69 14697.11
ABOS,STRONG_BUY,17,0,9,6.66,26.49796886143092,10.466080610383145,6.79797923,4.27303077,america,NASDAQ,1h,  17427.42 15566.98 12616.09 11473.4 7983.49 7160.03 9199.81 10943.5
FTHM,STRONG_BUY,17,0,9,5.89,23.3643921098204,10.076586392366039,5.90455211,4.11626789,america,NASDAQ,1h,  689.77 574.64 1303.39 1471.09 1405.95 1318.68 1085.15 1867.78
TCRX,STRONG_BUY,15,1,10,4.84,41.55371764561292,9.799864791902053,6.15277633,1.75107367,america,NASDAQ,1h,  359721.91 210248.03 148637.35 101641.32 62711.47 59800.03 56471.2 37469.77
OMIC,STRONG_BUY,16,1,9,1.19,12.507208970322694,9.425287356321846,1.16714825,0.94398175,america,NASDAQ,1h,  790.53 -518.72 -512.92 -139.37 274.73 319.57 308.86 400.81
GOCO,STRONG_BUY,16,0,10,14.83,24.973875993554955,9.398052522868113,14.95932505,11.01371495,america,NASDAQ,1h,  1051.69 705.66 2157.68 3953.94 4160.06 4401.54 4837.91 5240.66
PCTTU,STRONG_BUY,16,1,9,9.7,13.392822395430287,9.111361079865006,9.71405857,7.34494143,america,NASDAQ,1h,  -115.28 -103.92 -113.69 -107.35 0.78 44.94 58.92 59.28
VCNX,STRONG_BUY,16,1,9,0.395,11.578305640774872,8.773625562628126,0.38008769,0.33093171,america,NASDAQ,1h,  -2042.35 -2505.05 -2556.97 -1885.41 -646.54 -80.95 -257.62 3400.66
AGMH,STRONG_BUY,17,0,9,2.44,12.025269962535816,8.547685354070083,2.42570856,2.03650144,america,NASDAQ,1h,  3.76 -4.92 -87.57 -113.42 -113.69 -193.19 -208.15 -287.3
LTBR,STRONG_BUY,17,0,9,4.4162,19.951000497057052,8.044233498067243,4.41876774,3.24559226,america,NASDAQ,1h,  1836.81 1669.18 2312.29 2365.17 2775.69 3079.03 3058.53 3325.22
LCFY,STRONG_BUY,16,1,9,8.95,20.809300831356964,7.934057717586612,9.08415183,6.17795817,america,NASDAQ,1h,  82.39 105.36 137.32 90.18 62.7 45.76 34.67 26.98
INTR,STRONG_BUY,16,0,10,2.19,15.004297143439757,7.908351810790833,2.13512775,1.80570225,america,NASDAQ,1h,  1917.48 1756.7 868.98 907.1 1081.03 4203.27 8113.74 15447.47
BOXL,STRONG_BUY,18,0,8,0.385899,9.807171676061571,7.850255722310706,0.37268291,0.34125209,america,NASDAQ,1h,  298.62 -6138.78 -8309.29 -9765.96 -9004.41 -8216.65 -4220.14 8302.26
CTSO,STRONG_BUY,16,0,10,3.39,16.154497913154245,7.601626403344227,3.38189602,2.59143398,america,NASDAQ,1h,  -689.24 157.96 -3522.72 -5689.48 -5819.6 -5601.71 -5463.74 -3223.27
AREC,STRONG_BUY,16,0,10,1.61,10.934769232562843,7.445076212594444,1.57740981,1.40452019,america,NASDAQ,1h,  -2730.52 -1166.45 -219.15 20540.8 27027.44 27525.02 25589.67 30472.92
EVAX,STRONG_BUY,16,1,9,1.68,16.3526220517016,7.3784322748887945,1.67735157,1.33277843,america,NASDAQ,1h,  3562.16 3061.77 2619.14 1601.03 755.81 8059.7 4165.14 2152.75
BTCS,STRONG_BUY,16,1,9,1.45,14.230193234867272,7.3096364053492096,1.42456847,1.18771153,america,NASDAQ,1h,  1031.35 737.99 550.89 424.27 276.31 952.39 1329.16 1899.55
GH,STRONG_BUY,17,0,9,27.57,13.96092262106552,6.882628762165794,27.63584296,21.69016704,america,NASDAQ,1h,  -5141.07 -30583.88 -30878.6 -24222.67 -21702.87 -21469.08 -13140.83 7311.82
SEEL,STRONG_BUY,16,1,9,0.93,10.780952108679685,6.377490705981657,0.92373646,0.77283864,america,NASDAQ,1h,  -479.73 20.11 10179.63 16664.25 14644.49 16760.08 13398.52 11656.16
FPAY,STRONG_BUY,17,0,9,0.835246,12.250427232346127,6.3188784790720405,0.82754384,0.68083596,america,NASDAQ,1h,  -183.88 -141.32 -111.06 -88.59 -71.34 191.98 282.24 3282.83
PIRS,STRONG_BUY,15,1,10,0.8699,5.868468474411031,6.282390074576057,0.87191421,0.76007569,america,NASDAQ,1h,  -2009.19 -4110.61 -5116.81 -5063.28 -4192.26 -13.68 6716.3 9301.41
GHRS,STRONG_BUY,16,1,9,9.81,8.15948065808594,6.258529927861176,9.62276029,8.69605971,america,NASDAQ,1h,  109.01 204.13 -287.25 -462.16 -555.33 54.79 36.27 25.4
CISO,STRONG_BUY,17,0,9,0.2948,13.492289011270813,6.245720258045935,0.29620485,0.23214515,america,NASDAQ,1h,  7093.95 2944.03 30025.25 39222.42 34273.58 22995.4 16944.66 13947.74
ELYM,STRONG_BUY,18,0,8,3.72,9.94261518601347,6.22380098456901,3.74846298,3.14928702,america,NASDAQ,1h,  278.36 270.2 178.66 93.15 49.7 27.41 6.03 -4.4
ACHV,STRONG_BUY,16,2,8,9.955,12.074892264027227,6.181003679803737,9.99679676,8.01721324,america,NASDAQ,1h,  4038.43 4986.77 4337.84 4860.7 5757.13 7245.07 9008.18 9401.03
CLSD,STRONG_BUY,16,1,9,1.18,11.751955964653149,6.066462323934147,1.17229487,0.99970513,america,NASDAQ,1h,  1508.01 1413.79 2049.81 3403.25 3647.55 3681.89 3361.22 2520.07
KBNT,STRONG_BUY,16,0,10,0.68,6.7596103274223225,5.894261465389718,0.66816058,0.59581442,america,NASDAQ,1h,  -465.46 -398.36 -334.7 103.59 1040.29 3180.42 3672.49 3636.02
GSRMU,STRONG_BUY,16,1,9,11.09,8.334882722414633,5.888003147041104,10.80125142,9.81907858,america,NASDAQ,1h,  -299.13 -245.4 -201.11 -69.25 -9.01 16.45 470.82 613.9
KACLU,STRONG_BUY,15,1,8,11.0,7.561929560768604,5.809926894959588,10.76714634,9.77785366,america,NASDAQ,1h,  115.9 95.8 78.87 64.78 53.12 43.52 35.64 29.18
NCRA,STRONG_BUY,16,0,10,1.4484,13.330968280967099,5.791353507022805,1.45447002,1.14225998,america,NASDAQ,1h,  -1266.3 378.27 1016.65 1185.39 1146.66 1026.57 884.12 952.29
TSHA,STRONG_BUY,16,1,9,0.758,6.846842958413163,5.592355002054731,0.74407113,0.67832887,america,NASDAQ,1h,  1641.56 -9483.84 -13328.24 -13753.57 -14512.55 -13479.69 -8566.4 -3544.02
TWEB,STRONG_BUY,18,0,8,16.2089,4.385183639587154,5.581820716285463,15.97266001,14.64465999,america,NASDAQ,1h,  12.66 9.64 -40.19 -56.93 -58.6 -53.95 -47.15 -40.08
LABP,STRONG_BUY,17,0,9,0.299,4.851577157084492,5.162456651261579,0.29743474,0.26950026,america,NASDAQ,1h,  2402.3 1967.68 1611.0 1191.36 1034.52 712.45 515.92 429.67
MYNZ,STRONG_BUY,17,0,9,5.17,4.097313132169816,5.082368723259378,5.28506182,4.61691818,america,NASDAQ,1h,  -1296.26 -879.38 -724.34 -595.07 -391.58 -301.37 685.03 1482.23
MEDS,STRONG_BUY,17,0,9,0.41,8.796026026132253,5.015434707549929,0.41163831,0.34644789,america,NASDAQ,1h,  63.33 68.71 -42.56 -2133.97 -2264.51 -2112.04 -1857.67 811.5
PCCT,STRONG_BUY,16,0,10,11.407,6.07465797778552,4.981151801622701,11.09951927,10.48723073,america,NASDAQ,1h,  2376.33 2329.83 2099.0 1813.75 1532.17 1334.97 1110.66 917.92
DTST,STRONG_BUY,15,1,10,1.9318,7.818787638624556,4.951484793497983,1.91870295,1.71580705,america,NASDAQ,1h,  195.55 169.31 143.19 119.48 891.69 1285.61 2579.39 2955.63
MDRR,STRONG_BUY,16,1,9,6.6,12.040379868969552,4.920951601236794,6.75245941,5.46763059,america,NASDAQ,1h,  316.69 299.8 265.63 227.51 2129.59 2344.86 2219.76 2568.14
GOODO,STRONG_BUY,15,2,9,16.81,7.296319990965287,4.888777961501262,16.55433912,15.10333088,america,NASDAQ,1h,  278.78 106.1 25.81 23.07 19.85 175.51 223.23 286.09
GMFIU,STRONG_BUY,16,0,8,11.04,5.625043817291299,4.763712279369898,10.85901136,10.13795864,america,NASDAQ,1h,  -827.36 -750.27 -650.53 -550.59 -459.65 -380.66 -313.74 -257.84
PFSW,STRONG_BUY,17,0,9,4.48,7.051457267472898,4.759789077388959,4.42346246,4.03474754,america,NASDAQ,1h,  -510.44 -790.28 -700.55 -831.16 -418.94 -403.45 -89.66 420.47
LFACU,STRONG_BUY,17,0,9,11.105,5.8323924614449965,4.748735091816684,10.81554117,10.22501883,america,NASDAQ,1h,  326.27 288.79 247.21 207.72 172.69 142.65 -95.52 -263.82
ICVX,STRONG_BUY,16,0,10,7.59,9.451947134276935,4.740219416269923,7.52886194,6.67132806,america,NASDAQ,1h,  1031.31 1056.19 926.44 984.51 618.71 579.99 877.02 -4942.24
EXAI,STRONG_BUY,16,0,10,5.5,6.82377307599134,4.662226450999057,5.52765103,4.77434897,america,NASDAQ,1h,  -4381.95 -469.46 927.19 2907.17 2254.92 1671.94 1532.5 1727.14
PHAT,STRONG_BUY,16,0,10,12.43,2.9584612721292416,4.629629629629633,12.7326362,11.3948638,america,NASDAQ,1h,  -6384.7 -13097.52 -14440.84 -12785.28 -13221.0 -11091.28 -8048.67 -4667.01
CRBU,STRONG_BUY,16,1,9,4.695,6.28014949395255,4.542418169672686,4.61309315,4.20840685,america,NASDAQ,1h,  215.97 1218.82 2729.27 2781.27 2549.7 1516.95 3675.42 5243.18
GPCR,STRONG_BUY,18,0,8,24.74,5.169561459766896,4.535947436249543,24.39143906,22.81106094,america,NASDAQ,1h,  -177.71 -163.97 -175.9 -411.38 -510.41 -566.94 -695.67 -561.88
IFRX,STRONG_BUY,16,1,9,4.56,5.125482098026012,4.491292392300636,4.52904282,3.99564718,america,NASDAQ,1h,  6914.72 9805.87 9716.31 10220.69 11657.37 11777.77 10911.43 10340.71
CLAY,STRONG_BUY,17,0,9,11.3,6.904652999194383,4.470022650580148,11.13612825,10.17887175,america,NASDAQ,1h,  -266.44 -208.25 -165.51 -132.98 -107.58 -87.41 -71.22 -153.57
ADSE,STRONG_BUY,15,1,10,2.49,4.898051037603295,4.441927771486107,2.54237169,2.18259831,america,NASDAQ,1h,  -1219.55 -878.5 -659.12 -509.45 -385.68 -299.99 -12.39 106.39
STKH,STRONG_BUY,17,0,9,0.82,9.032795336268435,4.437578168979982,0.81778861,0.72173339,america,NASDAQ,1h,  -176.34 -407.67 -465.25 -72.96 393.25 770.94 3453.07 5101.2
ATHA,STRONG_BUY,17,0,9,3.05,4.804993866554014,4.416295789113306,3.01607335,2.75442665,america,NASDAQ,1h,  -474.48 517.49 1201.75 1503.84 1147.7 897.68 1897.58 3307.26
MTEK,STRONG_BUY,17,0,9,0.97,10.082173164637666,4.391997331008724,1.0028775,0.8100623,america,NASDAQ,1h,  -97422.79 -77220.35 -58639.17 -44431.71 -30683.54 -24528.4 -19073.8 -12645.82
THRD,STRONG_BUY,16,1,9,5.3,8.194030609932582,4.375499722321791,5.25343039,4.70588961,america,NASDAQ,1h,  -961.38 -988.61 -921.01 -813.13 -536.62 -612.24 -613.58 -114.17
SPCMU,STRONG_BUY,17,0,9,11.1,4.762180379471204,4.342823516804373,10.84036755,10.38774245,america,NASDAQ,1h,  1215.59 962.86 771.94 623.66 506.31 125.9 -41.16 -105.76
IESC,STRONG_BUY,16,2,8,49.14,9.435212750605302,4.266259616620999,49.8318365,41.3535035,america,NASDAQ,1h,  597.03 381.81 360.24 472.35 470.92 817.33 807.86 799.91
MLGO,STRONG_BUY,15,0,11,2.08,7.890159331824222,4.260129021909663,2.08970687,1.78980313,america,NASDAQ,1h,  -531.93 -326.47 -1455.87 -1621.37 -1843.95 -1767.37 -1420.42 -881.13
PPHPU,STRONG_BUY,15,0,9,10.75,4.665178493994588,4.257588982639902,11.00098097,9.68657903,america,NASDAQ,1h,  -135.93 -105.85 -83.93 -67.33 -54.41 -44.19 -35.98 -29.36
GDEV,STRONG_BUY,16,0,10,8.42,6.794064223055884,4.246626222607404,8.35618761,7.52981239,america,NASDAQ,1h,  -378.96 -367.9 143.2 237.46 328.56 -618.58 -949.81 -935.02
GMGI,STRONG_BUY,17,0,9,2.47,8.480352758782743,4.215451733900409,2.46681012,2.14027988,america,NASDAQ,1h,  88.95 265.06 313.01 829.17 917.85 954.37 899.42 906.53
QCLR,STRONG_BUY,16,0,10,23.4,5.475611635413728,4.210737268698921,23.08726857,21.70290143,america,NASDAQ,1h,  -33.34 -27.29 -22.33 -17.64 -14.12 -11.39 -9.24 -7.52
SLDB,STRONG_BUY,18,1,7,6.23,10.877241208794942,4.198897799780909,6.2848152,5.2086448,america,NASDAQ,1h,  1186.92 1393.9 1256.41 1085.94 917.48 819.88 919.24 1155.68
UNAM,STRONG_BUY,15,2,9,1.13,5.593002499367671,4.1330691609454675,1.13455279,1.01039721,america,NASDAQ,1h,  -8.56 -7.3 -6.12 55.56 74.47 61.12 50.1 41.04
GPACU,STRONG_BUY,17,0,9,10.83,4.965016541105484,4.102984093294722,10.59328533,10.12388467,america,NASDAQ,1h,  -3.2 -2.62 -2.14 -1.75 -1.44 -1.17 -0.96 -0.79
CHSN,STRONG_BUY,17,2,7,1.8168,4.360013509589862,4.084193158446524,1.97419317,1.39459683,america,NASDAQ,1h,  -1096.0 -371609.34 -561227.47 -595658.15 -567198.44 -503263.3 -427720.23 -347676.69
TGL,STRONG_BUY,17,2,7,1.58,5.913504208416114,4.051419840893516,1.59507067,1.44126933,america,NASDAQ,1h,  -2148.93 -29495.99 -110050.52 -132471.74 -130466.62 -146106.67 -136711.68 -119418.05
LINC,STRONG_BUY,16,0,10,6.28,5.5248771007795625,4.042412193505655,6.28070501,5.76740499,america,NASDAQ,1h,  1158.52 508.11 1356.89 1854.08 1629.93 1274.55 885.13 1269.63
ZNTL,STRONG_BUY,16,1,9,24.39,8.351843625055523,4.037366434192862,24.52981431,20.86118569,america,NASDAQ,1h,  5700.49 6335.59 5040.9 6687.94 5638.36 5036.29 5217.86 6544.67
PNACU,STRONG_BUY,12,0,10,10.9,6.182621154105277,3.9382092114045975,10.7976202,9.9343798,america,NASDAQ,1h,  -4839.74 -3959.95 -3240.04 -2650.99 -2169.01 -1774.65 -1451.99 -1188.0
AZ,STRONG_BUY,16,0,10,1.3693,5.917388613861391,3.893837539264638,1.36531676,1.25144324,america,NASDAQ,1h,  1592.42 2045.01 179.07 -600.55 -864.89 -2193.22 -2537.24 -1715.59
MKUL,STRONG_BUY,16,0,10,1.71,3.833752859139807,3.875592273113824,1.73230204,1.51040796,america,NASDAQ,1h,  -510.94 -284.82 -76.06 314.71 445.96 318.16 300.59 -24.74
YOTAU,STRONG_BUY,15,0,9,11.0,4.730053559815801,3.8751081245443686,10.81199013,10.25849987,america,NASDAQ,1h,  -996.91 -926.2 -813.07 -438.33 1727.55 2456.54 2531.44 2331.95
CACO,STRONG_BUY,16,1,9,0.959899,5.902758240708323,3.859320731852449,0.95480432,0.87067558,america,NASDAQ,1h,  -1538.61 -1856.23 -2047.91 -2124.59 -1726.13 -1743.85 -1656.2 -1340.92
LYEL,STRONG_BUY,17,0,9,2.61,7.149015132232563,3.8144862972833096,2.64381738,2.19827262,america,NASDAQ,1h,  3343.18 -2832.69 -2989.2 -1281.54 -1871.43 -1470.99 472.76 -552.81
ALZN,STRONG_BUY,17,1,8,0.54,5.045496663570233,3.8144704683397777,0.53690778,0.49464102,america,NASDAQ,1h,  433.63 3443.61 4871.0 5282.56 4970.7 6895.01 7327.45 6838.23
OPT,STRONG_BUY,16,2,8,3.99,5.855666732275083,3.812440320855899,3.98141996,3.57645004,america,NASDAQ,1h,  -213.91 -256.3 -59.44 26.5 55.75 62.64 191.5 204.53
LGST,STRONG_BUY,16,1,9,11.2,4.286420202354904,3.7998146431881423,11.11888265,10.33661735,america,NASDAQ,1h,  -177.06 -30.13 32.71 360.9 582.94 414.92 308.46 236.87
OPXS,STRONG_BUY,16,0,10,3.09,2.667585287931715,3.779383167588591,3.09056378,2.88931622,america,NASDAQ,1h,  134.08 227.4 244.91 229.81 141.96 2472.8 3201.53 3208.6
BWMX,STRONG_BUY,16,0,10,11.88,1.694131786349871,3.7756698466164096,12.25545628,10.86781372,america,NASDAQ,1h,  243.24 236.89 656.63 787.1 768.92 722.76 633.72 285.13
AQUNU,STRONG_BUY,15,0,9,10.884,3.964084439774581,3.761892958605827,10.78722392,10.24417608,america,NASDAQ,1h,  nan nan nan nan 2548.91 2095.23 1719.16 1409.02
PLSE,STRONG_BUY,16,0,10,8.31,2.299880177295236,3.723693062744715,8.40893977,7.73597023,america,NASDAQ,1h,  -66.78 -1090.47 -332.73 362.19 459.55 969.87 2542.02 3455.87
KEQU,STRONG_BUY,16,0,10,16.45,4.1610382637549606,3.6840944187072466,16.51028251,15.20471749,america,NASDAQ,1h,  -20.2 -15.51 -16.32 -12.62 -9.96 -7.97 -6.43 -2.03
THRN,STRONG_BUY,17,1,8,4.61,4.40611942157652,3.6733188505530165,4.53277076,4.35007924,america,NASDAQ,1h,  396.15 341.03 713.53 801.05 764.03 566.15 685.74 820.38
FUSN,STRONG_BUY,16,0,10,4.47,5.961751131295173,3.615893333580587,4.45105089,4.12995911,america,NASDAQ,1h,  431.41 310.11 232.3 406.21 440.43 223.48 424.96 587.38
OCUP,STRONG_BUY,16,0,10,6.2,4.400597499437637,3.6127423619026047,6.20053971,5.55358029,america,NASDAQ,1h,  -2745.79 -1513.85 3590.24 6974.63 4075.22 2518.63 6354.01 9217.03
PEGY,STRONG_BUY,15,1,10,1.6599,14.913590123958159,3.593539367916506,1.7317809,1.2819491,america,NASDAQ,1h,  -176.17 1840.69 3502.2 3799.25 2467.15 1937.99 2717.83 2452.35
AFIB,STRONG_BUY,18,0,8,0.9602,5.679547057593396,3.576976182257525,0.95678676,0.88978314,america,NASDAQ,1h,  -2420.04 -2787.36 -2753.28 -2489.04 -2154.66 -1859.22 -1569.34 -1566.45
CMMB,STRONG_BUY,16,0,10,1.64,7.867296679205964,3.537314469339691,1.63833231,1.46563769,america,NASDAQ,1h,  740.65 788.76 765.69 579.42 450.54 356.86 221.19 -58.7
AFMD,STRONG_BUY,16,0,10,0.9095,3.7999133924109003,3.522260985368007,0.90316946,0.84865554,america,NASDAQ,1h,  -1680.12 -3724.01 -3212.6 -3433.92 -2554.74 -1944.48 -1654.87 -466.79
AOTG,STRONG_BUY,16,0,10,27.0899,5.442470780378358,3.4972969875260276,27.35540928,23.82010072,america,NASDAQ,1h,  nan nan nan 104.71 129.91 128.41 116.13 100.54
ENERU,STRONG_BUY,18,1,7,10.42,3.7477291008555653,3.4419771911432946,10.30488657,9.81489343,america,NASDAQ,1h,  165.11 141.05 118.38 98.35 81.21 66.82 54.86 44.98
NRXP,STRONG_BUY,17,1,8,0.64,4.124581286993816,3.4360151275172086,0.63797289,0.59388711,america,NASDAQ,1h,  486.81 637.88 -440.44 282.61 552.7 603.26 -1322.05 -2090.03
FBZ,STRONG_BUY,16,1,9,10.24,3.5767701770459013,3.414496207798507,10.09770549,9.61567451,america,NASDAQ,1h,  -27.49 -22.71 -18.69 -15.34 210.15 283.29 593.55 666.51
NN,STRONG_BUY,16,1,9,2.34,9.497590287934358,3.402562969509489,2.37357728,1.99452272,america,NASDAQ,1h,  3275.75 1053.36 1005.85 894.97 374.66 998.86 339.79 -1104.58
NXGL,STRONG_BUY,16,0,10,1.61,5.386723224819079,3.3528698074811984,1.6366297,1.4581503,america,NASDAQ,1h,  -629.15 -546.0 -462.35 -386.09 -319.8 -263.61 -216.65 -213.07
NUBIU,STRONG_BUY,15,1,8,10.75,5.509424070841291,3.340543138668579,10.6489299,9.8620601,america,NASDAQ,1h,  -90.44 -56.15 -67.24 -65.67 -59.05 -50.98 -43.04 -35.88
CLWT,STRONG_BUY,16,0,10,1.45,3.2724305422216418,3.307993188797127,1.48505953,1.34518047,america,NASDAQ,1h,  -220.24 -490.36 -304.61 -339.65 -504.16 -461.99 -402.74 -626.02
GDHG,STRONG_BUY,14,0,10,4.24,5.965649380354492,3.2788602300877585,4.32134638,3.70102362,america,NASDAQ,1h,  -2834.06 -4445.88 -4642.27 -4446.0 -3728.3 -3861.01 -3627.94 -3462.71
ADVM,STRONG_BUY,17,0,9,0.849,4.387817093363651,3.26457137296876,0.84984624,0.78129376,america,NASDAQ,1h,  -1846.99 -1472.48 -839.48 -461.89 -232.98 -90.88 1286.49 1479.34
