Symbol,RECOMMENDATION,BUY,SELL,NEUTRAL,ClosePrice,percInc30,percInc10,bbHigh,bbLow,screener,exchange,interval
CJJD,STRONG_SELL,0,18,8,0.675,-83.2388362510956,-82.53331608228748,5.55561548,2.36288452,america,NASDAQ,Interval.INTERVAL_1_DAY
YNDX,STRONG_SELL,2,17,7,18.94,-57.78728715342783,-52.883228021294585,62.26215543,25.64784457,america,NASDAQ,Interval.INTERVAL_1_DAY
KNTE,STRONG_SELL,0,17,9,3.64,-33.30890436057163,-37.04600484261501,7.13201052,4.58898948,america,NASDAQ,Interval.INTERVAL_1_DAY
RLAY,STRONG_SELL,0,16,10,11.62,-28.71894490773562,-31.602801812937784,19.45294549,13.27105451,america,NASDAQ,Interval.INTERVAL_1_DAY
JWAC,STRONG_SELL,2,15,7,7.05,-31.538199073172308,-28.981565427621632,12.13785473,8.33778527,america,NASDAQ,Interval.INTERVAL_1_DAY
HLTH,STRONG_SELL,0,16,10,1.24,-34.43200857595487,-27.485380116959064,2.15466892,1.42633108,america,NASDAQ,Interval.INTERVAL_1_DAY
BNGO,STRONG_SELL,1,16,9,0.7503,-32.29642888341725,-26.55925766414785,1.23024927,0.88139073,america,NASDAQ,Interval.INTERVAL_1_DAY
VERB,STRONG_SELL,0,17,9,0.0826,-28.306906848365543,-24.136664217487137,0.13185775,0.09544225,america,NASDAQ,Interval.INTERVAL_1_DAY
SGTX,STRONG_SELL,0,18,8,0.5508,-40.16707139529445,-21.568627450980387,1.17168916,0.51857084,america,NASDAQ,Interval.INTERVAL_1_DAY
ALTI,STRONG_SELL,0,18,8,9.09,-25.1297257227576,-21.22367622844267,13.75923021,10.44576979,america,NASDAQ,Interval.INTERVAL_1_DAY
BYRN,STRONG_SELL,1,17,8,5.695,-28.067701017591446,-19.53373366301659,8.61130118,6.29119882,america,NASDAQ,Interval.INTERVAL_1_DAY
ILPT,STRONG_SELL,1,17,8,2.04,-31.443934209203604,-19.367588932806314,3.38208517,2.11391483,america,NASDAQ,Interval.INTERVAL_1_DAY
OXBR,STRONG_SELL,0,16,10,1.31,-25.311439892813354,-18.79594847571937,2.01758335,1.40971665,america,NASDAQ,Interval.INTERVAL_1_DAY
WRAP,STRONG_SELL,0,17,9,1.255,-24.992678568226793,-17.97385620915034,1.88064691,1.35635309,america,NASDAQ,Interval.INTERVAL_1_DAY
INVO,STRONG_SELL,1,16,9,0.4512,-21.985856928044072,-15.203909039654206,0.74358391,0.42890609,america,NASDAQ,Interval.INTERVAL_1_DAY
LILM,STRONG_SELL,2,17,7,0.4721,-32.52147563712248,-15.186030217559235,0.82659708,0.44563292,america,NASDAQ,Interval.INTERVAL_1_DAY
OIG,STRONG_SELL,1,16,9,0.0924,-24.26022775867571,-15.096940181935125,0.14280912,0.09116088,america,NASDAQ,Interval.INTERVAL_1_DAY
TRUP,STRONG_SELL,0,16,10,34.78,-24.99137336093858,-14.396120997317169,53.43376367,30.86823633,america,NASDAQ,Interval.INTERVAL_1_DAY
RELL,STRONG_SELL,1,16,9,15.99,-21.13440197287298,-14.368339313447208,23.95627459,16.19172541,america,NASDAQ,Interval.INTERVAL_1_DAY
TNGX,STRONG_SELL,1,16,9,3.71,-13.412167486064902,-14.358264081255768,4.75053867,3.63846133,america,NASDAQ,Interval.INTERVAL_1_DAY
ADXN,STRONG_SELL,0,16,10,0.6634,-35.607966546659426,-14.318740999528586,1.27090354,0.58635146,america,NASDAQ,Interval.INTERVAL_1_DAY
IVA,STRONG_SELL,0,17,9,2.7,-30.17614569753698,-14.304757672898077,4.30287611,2.67673389,america,NASDAQ,Interval.INTERVAL_1_DAY
BPTS,STRONG_SELL,0,16,10,3.65,-20.09381502769439,-14.238721804511286,4.91479039,3.63072961,america,NASDAQ,Interval.INTERVAL_1_DAY
AZ,STRONG_SELL,1,16,9,1.09,-14.536615963619255,-14.112363091954919,1.41926004,0.98736996,america,NASDAQ,Interval.INTERVAL_1_DAY
WPRT,STRONG_SELL,1,16,9,0.739,-19.31139933283083,-12.753975656116069,0.95998829,0.75445171,america,NASDAQ,Interval.INTERVAL_1_DAY
OPGN,STRONG_SELL,0,16,10,1.05,-17.43638691815879,-12.479578568332599,1.53328382,1.04243618,america,NASDAQ,Interval.INTERVAL_1_DAY
NESR,STRONG_SELL,1,17,8,4.275,-17.880582627104573,-12.35263967196309,5.49340003,4.49009997,america,NASDAQ,Interval.INTERVAL_1_DAY
SLDP,STRONG_SELL,0,18,8,2.395,-15.035771199711192,-12.319238513637202,3.05225338,2.53424662,america,NASDAQ,Interval.INTERVAL_1_DAY
MLEC,STRONG_SELL,2,18,6,3.59,-19.854144902406716,-12.117503059975519,4.87597105,3.59802895,america,NASDAQ,Interval.INTERVAL_1_DAY
GLUE,STRONG_SELL,1,17,8,6.7,-5.6913620352326575,-11.691050481086066,8.52453496,6.26446504,america,NASDAQ,Interval.INTERVAL_1_DAY
CASS,STRONG_SELL,0,16,10,37.51,-15.329225073926096,-11.643464537252967,46.58622869,40.06177131,america,NASDAQ,Interval.INTERVAL_1_DAY
VOR,STRONG_SELL,1,16,9,4.36,-15.432857105170442,-11.346075640504267,5.86273874,4.48026126,america,NASDAQ,Interval.INTERVAL_1_DAY
AVGR,STRONG_SELL,1,17,8,0.63,-24.224804413695864,-11.128665942529864,0.87320012,0.64117978,america,NASDAQ,Interval.INTERVAL_1_DAY
QNST,STRONG_SELL,1,16,9,12.7,-15.453577115980295,-11.070653315594157,16.5483199,13.1156801,america,NASDAQ,Interval.INTERVAL_1_DAY
CIIGU,STRONG_SELL,0,19,7,9.17,-10.638297901368105,-10.788987255569609,10.8157955,9.7402045,america,NASDAQ,Interval.INTERVAL_1_DAY
CIIG,STRONG_SELL,0,18,8,8.65,-14.542270921267999,-10.760342515217161,11.17381989,8.90007011,america,NASDAQ,Interval.INTERVAL_1_DAY
PHIO,STRONG_SELL,1,17,8,4.91,-12.690984714515508,-10.710388873532452,6.24109337,4.98791663,america,NASDAQ,Interval.INTERVAL_1_DAY
MYNZ,STRONG_SELL,0,16,10,5.38,-14.526338801638957,-10.601677298641917,6.68863962,5.60437038,america,NASDAQ,Interval.INTERVAL_1_DAY
SYTA,STRONG_SELL,0,16,10,0.1148,-32.14060395926475,-10.584936521535951,0.20616003,0.09835997,america,NASDAQ,Interval.INTERVAL_1_DAY
TWOU,STRONG_SELL,1,17,8,4.98,-27.85396951523373,-10.367170626349889,7.53849433,4.71650567,america,NASDAQ,Interval.INTERVAL_1_DAY
