Symbol,RECOMMENDATION,BUY,SELL,NEUTRAL,ClosePrice,percInc30,percInc10,bbHigh,bbLow,screener,exchange,interval,AdoscLastN
TOP,STRONG_SELL,1,16,9,6.42,-34.46239939568697,-28.440698293945985,10.87783513,7.82572487,america,NASDAQ,1h,  -68107.31 -70728.15 -63183.89 -63558.18 -64048.18 6947.72 34404.38 12278.61
RIGL,STRONG_SELL,2,15,9,1.29,-14.005159690418566,-27.31452526242836,2.07589939,1.09887061,america,NASDAQ,1h,  517837.5 376672.88 294977.99 230965.99 242592.49 243967.69 204548.8 -49235.12
APTX,STRONG_SELL,1,17,8,0.08,-18.10128475538339,-18.558485187824488,0.11037132,0.08689868,america,NASDAQ,1h,  42400.71 40357.14 44376.97 43588.91 40465.85 21017.61 -39078.96 -89514.68
SMFL,STRONG_SELL,0,16,10,2.4,-11.12658166911686,-15.921638967517737,3.96396365,1.75573635,america,NASDAQ,1h,  -213405.16 -216420.51 -197389.74 -174662.33 -146774.24 -123312.63 -102504.46 -94344.9
OBIO,STRONG_SELL,2,16,8,15.58,-9.862236155129196,-12.449579836654962,19.5762692,15.3451908,america,NASDAQ,1h,  5615.82 5056.71 475.64 -1452.21 -2310.91 -2730.2 -3081.8 -2993.83
ROCGU,STRONG_SELL,0,16,10,9.55,-9.841613901195842,-12.005896987008185,12.47409342,8.66831658,america,NASDAQ,1h,  -850.09 -701.08 -576.39 -472.98 -476.59 -534.97 -510.22 -493.06
BJDX,STRONG_SELL,1,16,9,0.2813,-4.2719713266479005,-9.30779894896348,0.33282998,0.26001002,america,NASDAQ,1h,  684.06 919.71 996.14 936.84 827.42 449.71 254.31 437.85
ANEB,STRONG_SELL,0,17,9,2.06,-14.30877128761469,-8.301394620051724,2.55305601,2.09674399,america,NASDAQ,1h,  -7.11 -8.08 -7.74 -0.86 2.04 -128.37 -170.05 -171.64
CYAD,STRONG_SELL,0,18,8,0.47,-14.891054120833005,-8.034281689038465,0.60060535,0.46714465,america,NASDAQ,1h,  -2660.17 -2457.74 -2151.49 -1830.62 -5192.66 -6095.98 -6170.34 -6594.27
FFIE,STRONG_SELL,2,15,9,0.2181,-11.991982191147855,-7.6766778843101235,0.26576191,0.21905309,america,NASDAQ,1h,  -21780.97 -335645.31 -699939.82 -980829.99 -1362836.42 -1839039.16 -2142753.22 -2265428.79
VERO,STRONG_SELL,1,16,9,2.36,-21.709389233714063,-7.578558225508317,3.07215442,2.30136558,america,NASDAQ,1h,  -2409.13 -2224.93 -1950.5 -1582.64 -1453.41 -1484.33 -1909.95 -1910.44
EVOK,STRONG_SELL,0,17,9,1.68,-12.56330052722248,-6.82919795467906,2.02691863,1.68667137,america,NASDAQ,1h,  -679.57 -527.4 -417.21 -334.2 -269.86 -219.01 -178.29 -291.16
VQS,STRONG_SELL,0,17,9,0.24,-8.129600194948978,-6.356081001989949,0.2781124,0.2385203,america,NASDAQ,1h,  4935.5 3986.14 2065.76 2436.35 3563.18 4145.69 2893.47 3300.52
RGC,STRONG_SELL,0,16,10,23.5,-11.408232134130671,-6.284893922475675,28.73423258,23.39076742,america,NASDAQ,1h,  116.88 92.86 58.05 46.81 -216.28 -304.24 -312.57 -287.56
