Symbol,RECOMMENDATION,BUY,SELL,NEUTRAL,ClosePrice,percInc30,percInc10,bbHigh,bbLow,screener,exchange,interval,AdoscLastN
EDTX,STRONG_BUY,16,0,10,63.24,158.3935689063673,58.87854458811793,62.59565915,-6.32815915,america,NASDAQ,1h,  3730.76 8963.23 48404.59 58745.46 52039.94 37635.94 30898.26 24445.43
EDTXU,STRONG_BUY,16,0,10,57.22,129.55789981261435,40.641444934769595,66.69654701,-7.38152701,america,NASDAQ,1h,  10.34 72.8 154.67 441.12 501.35 447.95 453.79 418.43
GGAAU,STRONG_BUY,15,1,10,25.0,72.9624618814862,37.51367573505186,26.93586573,3.74214427,america,NASDAQ,1h,  201.22 314.31 332.0 354.41 885.63 996.0 960.48 723.4
FRTX,STRONG_BUY,17,0,9,0.963401,28.027918934517515,18.149462962560975,0.93412316,0.59436544,america,NASDAQ,1h,  -2415.08 -151182.07 -258893.2 -308227.04 -292606.53 -250287.1 -235004.85 -245423.02
MRND,STRONG_BUY,14,0,7,23.6999,10.971195612915707,13.23952410530842,23.29962723,19.16178277,america,NASDAQ,1h,  nan nan nan nan nan nan nan
TETEU,STRONG_BUY,16,0,10,12.04,13.562871570653456,11.39875758927164,11.37372865,9.93379135,america,NASDAQ,1h,  -622.13 -516.45 -272.96 -371.26 -539.27 -639.66 -622.57 -558.99
DHACU,STRONG_BUY,16,0,10,12.255,14.176132137428695,11.040637883386935,12.05991353,9.82433647,america,NASDAQ,1h,  -34.36 -41.03 -40.03 -35.98 -31.05 -26.22 790.47 1052.7
GLSTU,STRONG_BUY,14,0,10,12.11,14.441416929782605,10.765572121101258,11.53564996,9.82385004,america,NASDAQ,1h,  71.61 58.69 48.07 39.36 32.21 26.36 -741.74 -988.54
HKIT,STRONG_BUY,16,0,10,6.6,18.35019823658203,10.719492166595927,6.48811719,4.85789281,america,NASDAQ,1h,  -10665.58 11734.13 15630.72 15948.58 15176.55 12344.8 11887.1 12427.13
BCSAU,STRONG_BUY,17,0,9,11.66,11.352158398716526,10.04152510381276,11.30914652,9.81070348,america,NASDAQ,1h,  -10.42 -8.51 -6.96 -5.69 -4.65 351.28 464.96 469.19
QNRX,STRONG_BUY,15,2,9,9.14,27.609918293533383,9.715591737959812,9.8932135,4.9925465,america,NASDAQ,1h,  -2169.66 -17570.63 -22070.16 -11184.24 -40018.32 -49718.56 -47131.76 -41541.0
ARBG,STRONG_BUY,17,0,9,11.51,12.306342336370776,9.660718692150638,10.97185656,9.66515344,america,NASDAQ,1h,  59.36 49.63 -86.13 -133.84 -268.46 -292.45 -275.67 -243.75
LRND,STRONG_BUY,12,2,8,26.36,19.60982514544132,9.441941589723072,26.28328778,19.21954222,america,NASDAQ,1h,  nan nan 0.0 0.0 0.0 0.0 0.0 0.0
KYCHU,STRONG_BUY,18,1,7,11.54,10.318192464139415,9.435751541014682,11.00581075,9.95721925,america,NASDAQ,1h,  60.21 49.33 40.39 33.06 27.06 22.14 18.12 14.83
VIOT,STRONG_BUY,16,1,9,1.03,10.300712618636055,7.9743683525658895,1.00625872,0.86041138,america,NASDAQ,1h,  652.94 516.31 496.85 1083.9 1352.79 2117.13 4092.35 6201.54
