Symbol,RECOMMENDATION,BUY,SELL,NEUTRAL,ClosePrice,percInc30,percInc10,bbHigh,bbLow,screener,exchange,interval,AdoscLastN
BCLI,STRONG_SELL,1,16,9,0.43,-49.25988042583421,-29.193269276844262,1.15102486,0.37579204,america,NASDAQ,1h,  -3820.89 27388.67 49447.48 42064.19 36088.66 41231.72 32894.31 5962.79
ACAXU,STRONG_SELL,0,16,8,7.32,-36.49835260070476,-28.23177606745429,12.55404989,8.61173011,america,NASDAQ,1h,  26.01 21.28 17.41 14.25 11.66 9.54 7.8 6.38
VCNX,STRONG_SELL,2,17,7,0.1135,-22.478168725343707,-16.488852917371787,0.15964444,0.11969666,america,NASDAQ,1h,  -2938.02 -11813.22 -16363.79 -23379.13 -26408.26 -28399.25 -32211.11 -27702.68
LIPO,STRONG_SELL,1,17,8,1.55,-21.36955645434267,-15.374535924874422,2.20099685,1.65580315,america,NASDAQ,1h,  -207.17 346.09 540.97 571.51 532.05 528.95 -126.86 -498.8
SASI,STRONG_SELL,0,16,10,2.961,-21.431793456629606,-15.24501946416305,4.54101483,3.00358317,america,NASDAQ,1h,  281.14 221.96 123.8 -278.95 -1110.6 -1307.41 -1293.78 -1778.0
PHXM,STRONG_SELL,0,16,10,4.486,-8.64052368343414,-12.844803133390599,5.6807401,4.5823999,america,NASDAQ,1h,  -409.84 -376.18 -328.21 -278.75 -232.22 -192.08 -158.19 -129.95
DMK,STRONG_SELL,0,16,10,0.4531,-19.06374309878187,-12.788235747006965,0.60614434,0.47680566,america,NASDAQ,1h,  -4576.56 -5303.29 -5927.29 -5863.25 -5593.57 -4875.76 -9616.04 -12162.46
EAST,STRONG_SELL,1,16,9,1.36,-16.15203591519031,-12.40217706354062,1.74809539,1.44295461,america,NASDAQ,1h,  -228.74 -104.52 -44.2 -15.51 -2.36 3.23 -410.0 -615.28
GVP,STRONG_SELL,0,17,9,0.239899,-20.021837896491547,-12.10072807574538,0.36437593,0.22436897,america,NASDAQ,1h,  -536286.14 -475464.46 -400453.96 -335529.72 -279227.0 -219899.39 -178055.94 -148488.95
SGBX,STRONG_SELL,0,16,10,1.095,-29.358332965555817,-11.922266372806106,2.18429446,0.89770554,america,NASDAQ,1h,  -10688.8 -18539.09 -13923.63 -10257.52 -8119.25 -5166.84 -4943.0 -5583.15
KERN,STRONG_SELL,0,17,9,0.18,-19.2852873625378,-11.238226737018593,0.24539144,0.18392156,america,NASDAQ,1h,  2759.39 2197.72 2106.69 2344.68 2149.53 1894.97 1495.1 -966.97
FAMI,STRONG_SELL,1,16,9,1.55,-20.68334197228198,-11.042199743893349,2.21295144,1.53466536,america,NASDAQ,1h,  -1088.44 -538.35 -99.55 -194.49 -215.65 -1107.09 -2129.67 -2405.3
AGFY,STRONG_SELL,1,16,9,2.1,-19.033439085557802,-10.063854663189133,2.80112274,2.10486726,america,NASDAQ,1h,  -168.78 -133.5 -50.61 -14.96 26.12 72.68 -634.92 -1210.7
CTNT,STRONG_SELL,1,18,7,1.7,-14.609480548725301,-9.459848105580477,2.06903432,1.76902568,america,NASDAQ,1h,  -1301.19 -1042.48 -777.28 -668.13 -562.74 -468.46 -387.31 -963.85
BSFC,STRONG_SELL,1,17,8,0.2389,-18.98011943734423,-9.39345956555131,0.34098685,0.22928085,america,NASDAQ,1h,  -20157.51 -21557.4 -20562.23 -21038.32 -18494.28 -14587.81 -13395.72 -11036.62
STTK,STRONG_SELL,0,16,10,1.43,-14.309341109363132,-9.038865212136642,1.85261503,1.38099497,america,NASDAQ,1h,  1674.64 -431.25 -1547.54 -2534.72 -1797.5 -1639.75 -1171.29 -741.51
IONM,STRONG_SELL,1,16,9,0.2213,-14.701594532854017,-8.802402045002083,0.28180727,0.22494263,america,NASDAQ,1h,  1422.67 1046.58 -241.28 -4585.06 -6315.6 -5738.97 880.67 3046.65
SBET,STRONG_SELL,0,17,9,2.1101,-10.090544458913413,-7.431860355953688,2.47687975,2.17350025,america,NASDAQ,1h,  126.65 50.6 14.89 -1.07 -7.5 -9.45 -9.39 -8.51
BCEL,STRONG_SELL,1,17,8,0.28,-12.588695158381483,-7.416592269285445,0.34400125,0.28234285,america,NASDAQ,1h,  1403.12 1724.12 397.02 -1199.84 -2110.2 -2391.01 -2780.43 -3053.04
BNMV,STRONG_SELL,1,17,8,0.8201,-12.793974611275232,-7.298232358941775,1.01133279,0.80201221,america,NASDAQ,1h,  -2127.54 -1907.08 -1739.93 -1565.6 -1569.97 -1218.83 -709.19 -816.14
CNFR,STRONG_SELL,1,16,9,1.19,-6.971895889231135,-7.297046748775003,1.4855165,1.1183935,america,NASDAQ,1h,  -72.94 -60.18 -49.5 -41.26 -34.14 -28.12 -28.2 -25.66
MYMD,STRONG_SELL,0,17,9,0.488,-8.248250977583865,-7.026367931717729,0.64031064,0.45320936,america,NASDAQ,1h,  -16792.88 -35801.72 -40911.16 -43111.83 -38883.4 -40886.64 -43473.04 -43888.11
CNTG,STRONG_SELL,0,17,9,1.05,-4.4988612762555675,-6.992399950395949,1.18037678,1.06249322,america,NASDAQ,1h,  751.31 733.64 659.72 496.0 383.94 303.19 242.59 81.84
STKH,STRONG_SELL,0,16,10,0.87,-8.795758059257594,-6.703913609968737,0.98648168,0.89637732,america,NASDAQ,1h,  5523.19 4524.38 4842.29 5203.5 4741.4 4121.32 3492.99 2653.11
