Symbol,RECOMMENDATION,BUY,SELL,NEUTRAL,ClosePrice,percInc30,percInc10,bbHigh,bbLow,screener,exchange,interval,AdoscLastN
DKDCA,NEUTRAL,9,7,10,11.17,0.0821025364937924,-0.049304237569472775,11.59560692,10.80490308,america,NASDAQ,1h, 
SABS,SELL,3,15,8,0.62,-7.866967688068826,-2.6519493162084444,0.7182608,0.5967291,america,NASDAQ,1h, 
ATXS,SELL,6,10,10,8.57,-1.4325065702077637,0.08747435039492757,8.80914145,8.38349855,america,NASDAQ,1h, 
CMRX,BUY,15,1,10,1.1,3.6653553407594757,2.5574088404486446,1.09860014,1.03296986,america,NASDAQ,1h, 
KIDS,SELL,2,14,10,32.4725,-5.07152461509925,-0.5550664165677972,34.82488659,31.85386341,america,NASDAQ,1h, 
MYGN,SELL,4,14,8,16.32,0.011990837139180144,-0.10405827263267042,16.83975915,15.47987085,america,NASDAQ,1h, 
ALSAU,STRONG_BUY,16,0,10,11.2501,5.9630448472318704,2.815661839095384,11.21862648,10.24038352,america,NASDAQ,1h,  -22.47 59.04 87.02 90.56 83.77 73.38 62.46 52.31
NSTS,BUY,15,2,9,9.0,0.8328042346667672,0.6598814450285033,8.988,8.86,america,NASDAQ,1h, 
ALKT,BUY,14,3,9,17.595,0.5744471169276721,0.13658869728527634,17.71762171,17.26888829,america,NASDAQ,1h, 
AAME,BUY,13,3,10,1.97,-0.8981210902516636,1.6774193548387188,2.07124365,1.80999635,america,NASDAQ,1h, 
HOPE,SELL,1,15,10,9.305,-0.28166897382163825,-0.14862348894982347,9.40842998,9.26242002,america,NASDAQ,1h, 
PPYAU,BUY,16,2,8,10.73,3.089581003811844,1.545613191655292,10.96533862,9.88593138,america,NASDAQ,1h, 
SLNA,SELL,5,11,10,0.45,-4.892237621460538,1.387316446712532,0.48980972,0.41480278,america,NASDAQ,1h, 
PEBO,SELL,7,11,8,25.49,0.7446700179613686,0.01958013750042653,25.70488403,25.08960597,america,NASDAQ,1h, 
RDFN,STRONG_SELL,1,16,9,9.11,-1.8260074874555983,-1.1911295448284278,9.41097094,9.11135906,america,NASDAQ,1h,  20040.31 19058.95 8085.77 4544.04 11792.43 10532.35 8389.38 -16018.73
HSCS,STRONG_BUY,16,1,9,0.7999,2.386443814680561,2.0266427418292494,0.82346706,0.73876034,america,NASDAQ,1h,  161.71 87.52 49.21 157.29 187.21 182.43 163.89 0.13
BABX,SELL,1,15,10,20.65,-3.102336274325097,-0.8170465958152988,21.50825552,20.46335448,america,NASDAQ,1h, 
BZFD,NEUTRAL,8,8,10,0.36,-0.4594542739350942,1.838755304101852,0.36623678,0.34309822,america,NASDAQ,1h, 
WBND,NEUTRAL,9,7,10,19.82,0.04342616597561744,0.0754352675528196,19.8625783,19.7523617,america,NASDAQ,1h, 
CVCY,NEUTRAL,9,7,10,14.37,0.037476322018690666,0.7508991860000407,14.44142688,13.99497312,america,NASDAQ,1h, 
STXK,SELL,2,14,10,26.2353,-0.8167574981153223,-0.035054963897195535,26.46292013,26.09637987,america,NASDAQ,1h, 
BCOV,BUY,14,3,9,3.81,1.9701743021152538,0.8000507968759933,3.85497777,3.62248223,america,NASDAQ,1h, 
EMLD,SELL,5,13,8,10.4,-0.5128371921278756,-0.416527026380038,10.50222288,10.40777712,america,NASDAQ,1h, 
OCS,STRONG_SELL,0,17,9,12.3,-5.148386200079429,-3.8949876938703767,13.52177211,12.43859789,america,NASDAQ,1h,  -238.76 -43.87 39.84 70.47 76.59 72.13 63.75 54.53
DWSH,BUY,15,1,10,8.81,0.8727034571514451,0.22741726118627525,8.8347214,8.6939786,america,NASDAQ,1h, 
RNA,BUY,12,6,8,7.22,5.5453713530565665,3.0767407762735104,7.3675281,6.3299519,america,NASDAQ,1h, 
UEVM,BUY,12,4,10,42.19,0.5841461838818276,0.28061458539825423,42.6838785,41.6155915,america,NASDAQ,1h, 
BRNY,BUY,15,1,10,29.37,1.0092209577578615,0.0829424180611511,29.82231697,28.19038303,america,NASDAQ,1h, 
COLM,NEUTRAL,9,9,8,71.73,0.2599798725260172,1.14498434812036,72.4129705,69.9105295,america,NASDAQ,1h, 
GLTO,BUY,11,6,9,0.6243,8.055560185519099,3.7120715003613185,0.64395466,0.52178034,america,NASDAQ,1h, 
NEXI,SELL,2,15,9,0.2001,-3.0339095409593284,-2.456858730622983,0.21646522,0.19438708,america,NASDAQ,1h, 
SONM,SELL,1,15,10,0.558,-6.002039317763476,-0.5666276655004339,0.60223489,0.54168491,america,NASDAQ,1h, 
RWAYL,STRONG_BUY,16,0,10,24.49,0.5906052728535514,0.44822302212568843,24.49352127,24.25791873,america,NASDAQ,1h,  -460.02 -362.0 -288.99 -242.71 -249.44 -229.52 -200.51 -170.41
IEP,NEUTRAL,10,7,9,21.98,4.060341742115938,-0.4081092629067484,22.71240096,20.49167904,america,NASDAQ,1h, 
DGHI,STRONG_SELL,0,16,10,0.93,-4.921262179036802,-0.8454788736899275,1.03391897,0.89751103,america,NASDAQ,1h,  -4301.88 -4345.21 -3458.83 -2781.78 -2674.14 -2387.0 -2052.54 -5140.66
SIGA,SELL,4,12,10,4.32,-1.2684264655467814,0.6641034603285618,4.54535337,4.19214663,america,NASDAQ,1h, 
CASA,STRONG_SELL,0,16,10,0.835,-3.8315768660327905,-3.3480915588737616,0.90365328,0.83143172,america,NASDAQ,1h,  -3546.45 -3442.36 -3086.84 -2738.41 -2598.93 -2170.26 -1949.05 -2281.78
HOFT,SELL,3,14,9,18.98,-2.554112518929287,-0.19671448425417282,19.55511594,17.80131406,america,NASDAQ,1h, 
AXON,SELL,6,10,10,211.96,-0.8463874508206715,0.0018871841325704963,217.01189968,209.25288032,america,NASDAQ,1h, 
FNCB,BUY,10,6,10,5.85,0.5447174203349334,0.4324604579376796,5.92574177,5.73892823,america,NASDAQ,1h, 
TDSC,BUY,14,3,9,21.84,0.10306706204265481,0.06639020119116879,21.83723894,21.80731106,america,NASDAQ,1h, 
CMTL,SELL,4,14,8,8.55,-7.885470542881535,-1.3385645049619086,10.02087216,8.09898784,america,NASDAQ,1h, 
ALBT,SELL,4,13,9,1.04,-1.578218813139884,-0.1258030749728647,1.07195109,1.01613891,america,NASDAQ,1h, 
FDT,SELL,7,10,9,51.84,0.1450660975373097,-0.017743764609676305,52.07585116,51.48136884,america,NASDAQ,1h, 
WLGS,STRONG_SELL,1,16,9,0.8403,-3.2365859255834977,-1.4588268405375686,1.00992459,0.75398551,america,NASDAQ,1h,  -55624.01 -45606.12 -37361.88 -30194.98 -24626.25 -18584.17 -14422.94 -11185.76
MRNA,SELL,5,11,10,105.245,-1.4439190849239765,0.09557322583937378,108.68078846,103.30446154,america,NASDAQ,1h, 
SOHON,NEUTRAL,8,8,10,23.75,-0.5372384950254343,1.6541157718393578,24.41354351,22.88605649,america,NASDAQ,1h, 
LANDO,SELL,2,14,10,19.1,-0.5250299336330073,-0.10961792713335683,19.34013392,19.00955608,america,NASDAQ,1h, 
BELFA,SELL,4,14,8,46.6,-4.044925088740939,-0.46920440293483523,50.36997849,45.34370151,america,NASDAQ,1h, 
RELI,SELL,3,14,9,2.5,-1.7492562418697446,0.3451874448101364,2.7195958,2.3794442,america,NASDAQ,1h, 
ADAG,BUY,10,7,9,1.4,0.11274625974668595,-2.58226579732937,1.51824044,1.34399956,america,NASDAQ,1h, 
MANH,SELL,6,12,8,199.14,-1.0193883023874264,-1.2230553940053852,204.44189171,198.92585829,america,NASDAQ,1h, 
APTMU,STRONG_BUY,16,1,9,10.6,2.188373662392749,1.9721019721019815,10.7378092,10.0461908,america,NASDAQ,1h,  -219.2 -184.26 -153.21 -126.58 -104.18 -85.54 -70.14 -57.47
TMTCU,NEUTRAL,8,6,10,10.63,0.30197527888068976,-0.3982197235886531,10.89720413,10.35877587,america,NASDAQ,1h, 
HYLS,STRONG_BUY,17,0,9,39.79,0.3062799445425952,0.07948005955972803,39.82664388,39.59041612,america,NASDAQ,1h,  239.33 62.52 21.41 164.6 337.08 376.99 283.64 618.67
TYRA,STRONG_SELL,0,16,10,14.74,-1.4018683033544477,-1.4541200066855993,15.36927879,14.68322121,america,NASDAQ,1h,  47.23 381.02 583.36 626.56 576.36 444.24 312.9 -511.92
AQU,STRONG_BUY,17,1,8,10.57,0.5621139607036696,0.14211274277593589,10.58345031,10.48129969,america,NASDAQ,1h,  526.96 449.73 377.25 313.3 258.66 212.79 -469.95 -706.53
COKE,BUY,10,7,9,672.77,1.135571002501436,-0.06958900894706233,690.1585331,643.2409669,america,NASDAQ,1h, 
DLPN,BUY,12,4,10,1.74,3.8303864996628505,2.0563773505225953,1.76066162,1.61707838,america,NASDAQ,1h, 
PCTTU,STRONG_SELL,1,17,8,10.0,-19.637963690385973,-21.758860809013385,15.05395953,10.42410047,america,NASDAQ,1h,  -5.8 15.34 22.6 23.51 21.75 19.05 -68.42 -97.99
HSDT,SELL,7,12,7,8.32,-4.163659019150515,-2.729990378219,9.73611064,8.02222936,america,NASDAQ,1h, 
