Symbol,RECOMMENDATION,BUY,SELL,NEUTRAL,ClosePrice,percInc30,percInc10,bbHigh,bbLow,screener,exchange,interval,AdoscLastN
LH,STRONG_BUY,17,1,8,217.99,1.6467845362602986,1.2240311301391955,220.95017868,211.57582132,america,NYSE,1d,  13685.73 15964.19 16114.37 15403.55 12870.52 10273.19 7430.27 7571.63
NUE,STRONG_BUY,17,1,8,172.04,2.4981083963371304,1.4685933352993175,174.06690317,164.09809683,america,NYSE,1d,  12325.62 8152.18 12758.16 16936.64 15133.82 10323.1 8054.74 11646.58
PTC,STRONG_BUY,17,1,8,145.79,1.7151362201487217,1.6028991567356599,147.57252066,141.09747934,america,NASDAQ,1d,  -235.89 -980.81 -1259.01 -291.32 27.91 1564.87 4004.5 3587.3
KMX,STRONG_BUY,17,0,9,85.44,2.284562736595518,1.4160741628782176,86.37709478,81.36790522,america,NYSE,1d,  22610.2 25442.47 25827.11 24873.97 20877.51 17254.27 13585.28 18641.25
CMCSA,STRONG_BUY,17,0,9,46.56,6.594220033227188,2.3161780864061825,47.08657568,42.07842432,america,NASDAQ,1d,  182105.75 74191.32 21086.72 -57932.59 -36899.81 -18972.42 79485.65 145247.79
GOOG,STRONG_BUY,17,0,9,131.83,4.764175308936316,1.098176352398056,136.66492658,119.43507342,america,NASDAQ,1d,  308754.36 465035.0 599252.18 535766.83 457118.59 373893.88 351787.31 418024.35
CTSH,STRONG_BUY,16,0,10,71.1,4.7503523548080295,2.089166487184997,72.55641471,64.38458529,america,NASDAQ,1d,  -142.67 4837.18 9017.87 13309.34 16617.27 14109.65 15263.94 24100.08
CSCO,STRONG_BUY,16,0,10,53.88,3.003963645093606,1.4460009037505586,54.07708293,51.60791707,america,NASDAQ,1d,  109918.81 106178.69 32248.22 -45289.97 -55433.2 -56805.0 2664.42 124246.37
CME,STRONG_BUY,16,0,10,206.45,6.650342371103918,0.9834205229419837,212.92181802,184.33268198,america,NASDAQ,1d,  -2050.29 -1578.71 -1197.59 657.6 2584.23 933.82 861.03 4324.94
STX,STRONG_BUY,16,0,10,67.81,7.856911850732828,1.263365390359013,70.91451904,56.52448096,america,NASDAQ,1d,  -3209.7 -3234.55 -4033.96 -6592.95 -6809.25 -4273.65 838.36 13649.58
FDX,STRONG_BUY,16,1,9,266.94,2.26580527710216,0.4489232239686487,271.17965065,258.18434935,america,NYSE,1d,  7848.73 12173.56 12229.28 11161.58 9299.53 9183.38 8316.75 12842.75
J,STRONG_BUY,16,2,8,136.97,8.336914592610455,3.9178793074670324,137.9369979,118.8450021,america,NYSE,1d,  675.06 1942.42 3159.24 3410.82 3167.04 1688.35 2153.68 -219.04
V,STRONG_BUY,16,0,10,242.9,1.3717953533406018,1.261073475768626,243.10067848,235.32532152,america,NYSE,1d,  -9484.21 8568.54 20324.17 24997.67 24282.37 21186.17 16939.66 33237.34
STE,STRONG_BUY,16,1,9,229.14,1.0997996902838594,1.1169018000167625,233.40062557,223.11337443,america,NYSE,1d,  63.05 708.57 544.02 763.55 57.53 -654.17 -647.05 333.59
MA,STRONG_BUY,16,1,9,398.58,0.5287313214203095,1.0116881405415086,403.67372737,389.13427263,america,NYSE,1d,  3473.95 11251.39 16069.41 11145.95 6006.19 2796.63 712.38 9668.78
VRSK,STRONG_BUY,16,0,10,237.14,2.8519134558875976,1.8736696043663699,237.99359157,227.06590843,america,NASDAQ,1d,  -1481.97 -611.41 228.42 9.5 433.86 685.15 1198.37 2671.54
MOH,STRONG_BUY,16,0,10,319.57,4.429748934466346,3.1686332746848365,322.06318984,298.21081016,america,NYSE,1d,  132.91 477.59 -1144.28 -2335.72 -2441.78 -2309.85 -2537.63 -1765.37
CDW,STRONG_BUY,16,0,10,206.62,7.839811272501436,3.240312788867513,208.03611901,180.78888099,america,NASDAQ,1d,  549.42 30.49 2109.2 5008.48 5410.11 5688.1 4432.71 4359.01
AJG,STRONG_BUY,16,0,10,225.58,3.2965322074722536,1.3988528687272037,226.6097814,213.1092186,america,NYSE,1d,  2740.21 4617.51 5823.71 5796.14 5636.74 4239.71 4411.73 5727.03
FSLR,STRONG_BUY,16,0,10,211.43,6.937473550016989,5.4939900907598656,210.08412155,190.95887845,america,NASDAQ,1d,  14669.52 26678.01 35082.1 40513.47 48231.28 37358.0 32286.5 24361.22
AMZN,STRONG_BUY,16,0,10,140.57,5.896356116706713,2.9115694069242295,143.22434593,124.20565407,america,NASDAQ,1d,  436297.13 743470.52 752270.35 582894.1 617519.75 625023.9 586703.48 789785.68
GOOGL,STRONG_BUY,16,1,9,131.33,4.763677460739601,1.049505255220609,136.22324291,119.01475709,america,NASDAQ,1d,  229484.07 356242.54 519427.83 459340.58 396386.47 321237.79 311216.46 401863.62
AFL,STRONG_BUY,16,0,10,76.64,5.307513333148933,0.6130781247948676,78.77049935,69.56050065,america,NYSE,1d,  6834.75 9809.95 13062.91 13710.32 10263.71 3374.02 248.78 9464.41
ALGN,STRONG_BUY,16,1,9,360.49,1.7583081400436242,0.022196942371181194,388.75663282,324.21936718,america,NASDAQ,1d,  4542.11 5065.83 6078.68 6193.57 6644.92 6507.07 5478.17 6781.86
ROP,STRONG_BUY,16,1,9,496.21,2.0887796508374095,1.116085529198159,500.08981092,481.02418908,america,NASDAQ,1d,  -649.3 -570.29 297.23 619.46 573.07 567.21 522.59 833.38
FICO,STRONG_BUY,16,0,10,875.66,5.234905566697407,2.835655080245303,873.92551064,816.63448936,america,NYSE,1d,  -123.75 5.39 138.41 130.24 139.15 48.58 -414.71 206.96
ADSK,STRONG_BUY,16,1,9,211.48,1.115241635687724,2.529046583617543,218.22074212,200.28875788,america,NASDAQ,1d,  11335.14 13715.79 15912.33 14114.85 11566.36 10989.72 13159.36 16790.52
ODFL,STRONG_BUY,16,1,9,415.99,5.053064437925684,1.6101690775235795,426.9504968,387.1510032,america,NASDAQ,1d,  3323.74 2690.25 3071.57 3030.95 4147.39 7215.44 4557.74 -208.4
ROST,STRONG_BUY,16,1,9,114.12,1.707301860050194,0.8127208480565429,114.78252203,111.43547797,america,NASDAQ,1d,  11584.05 14246.4 17213.7 13703.45 13403.13 7434.17 -1339.85 4340.28
MNST,STRONG_BUY,16,0,10,59.01,2.9064698077606295,2.2473272919446146,59.29844664,56.14555336,america,NASDAQ,1d,  701.03 20780.21 44290.2 44793.94 48057.11 55130.98 48175.22 63849.74
SHW,STRONG_BUY,16,1,9,276.63,2.5285913533155338,0.7201840874998311,282.400079,265.183921,america,NYSE,1d,  6018.98 8799.31 9647.47 9670.52 10274.95 9733.9 7098.8 10572.39
TECH,STRONG_BUY,16,1,9,84.81,1.4793335978446436,2.4164040140564538,88.32844546,79.72855454,america,NASDAQ,1d,  3898.75 3499.51 2808.47 3138.77 3126.43 1882.55 -688.74 1194.02
JNJ,STRONG_BUY,15,1,10,173.44,3.9282696818740277,0.9963372522986589,178.81845516,161.73654484,america,NYSE,1d,  457279.41 578258.94 472833.82 269256.6 275953.71 169912.71 209073.29 408087.78
ABBV,STRONG_BUY,15,1,10,152.27,6.4244677728232205,1.4247557133436857,156.28178117,137.46721883,america,NYSE,1d,  11867.23 16302.99 10191.28 2748.48 1669.59 162.91 -6623.68 7651.38
BDX,STRONG_BUY,15,1,10,282.65,4.789586662267212,1.881188475693051,292.60278628,257.63621372,america,NYSE,1d,  6682.57 8235.95 10380.84 9187.43 9689.94 5912.79 655.17 -1555.24
CDAY,STRONG_BUY,15,1,10,73.87,5.814775196444913,2.3612227364687044,75.20411544,66.99188456,america,NYSE,1d,  -2400.81 -1397.54 -214.22 224.63 693.99 -646.45 -3646.07 -10.87
ZTS,STRONG_BUY,15,1,10,189.65,5.580679819224429,2.1854154767934233,197.67416163,171.06983837,america,NYSE,1d,  30674.21 26487.89 21534.99 19039.49 15144.0 11636.28 6616.48 8782.05
AZO,STRONG_BUY,15,1,10,2517.17,1.0086404642913607,1.9159058242403546,2524.42785243,2430.12814757,america,NYSE,1d,  155.48 93.7 282.85 -2.44 -392.88 -231.14 -492.69 426.43
