Symbol,RECOMMENDATION,BUY,SELL,NEUTRAL,ClosePrice,percInc30,percInc10,bbHigh,bbLow,screener,exchange,interval,AdoscLastN
FMC,STRONG_SELL,0,18,8,70.98,-14.62456298254223,-4.631383772018225,93.49102195,67.65697805,america,NYSE,1d,  -32278.68 -32075.77 -28265.41 -24432.08 -22893.7 -23782.07 -26894.37 -31473.18
PAYC,STRONG_SELL,0,17,9,268.48,-6.288285920481769,-4.18785575361774,300.31773478,271.20526522,america,NYSE,1d,  1346.57 2080.85 1262.02 1142.14 663.85 158.83 -2249.48 -7066.07
HOLX,STRONG_SELL,0,17,9,71.45,-3.574947030324296,-0.9894130037137643,76.90686498,70.44113502,america,NASDAQ,1d,  -11849.5 -10906.48 -9664.92 -6688.54 -6078.57 -7142.09 -9412.28 -16335.71
KMI,STRONG_SELL,1,17,8,16.86,-2.0090280523840818,-0.554441429751094,17.59700682,16.57099318,america,NYSE,1d,  -128801.33 -33998.62 51.32 8441.98 13891.48 -20495.54 -64513.38 -186815.14
LVS,STRONG_SELL,0,17,9,47.91,-8.73010833838822,-1.9603830727674705,56.50107524,46.17792476,america,NYSE,1d,  -3348.1 -4432.95 -6688.31 534.22 835.32 8237.74 -2265.91 -30417.28
MGM,STRONG_SELL,2,17,7,38.77,-9.787557485886609,-6.402394862633372,45.46171817,39.30228183,america,NYSE,1d,  -9190.7 -18630.91 -4893.29 302.08 -7314.12 18588.73 8638.96 -1123.01
IEX,STRONG_SELL,1,17,8,209.94,-4.721419601299814,-2.009839156857069,232.25824629,207.60875371,america,NYSE,1d,  -5904.23 -5713.77 -5233.84 -4321.17 -3730.29 -4729.86 -5876.32 -6617.97
CLX,STRONG_SELL,1,17,8,136.46,-10.823668826604688,-7.477218485571697,163.02500421,139.29699579,america,NYSE,1d,  -25835.54 -27007.87 -26238.33 -23684.62 -22565.2 -22740.72 -23086.68 -27141.55
DGX,STRONG_SELL,1,17,8,125.01,-4.270960427613474,-1.2668425292621635,135.13097093,122.97802907,america,NYSE,1d,  -4726.78 -4752.02 -1930.36 319.41 562.81 -3318.28 -4824.7 -2533.96
NKE,STRONG_SELL,0,17,9,94.04,-6.812356317323804,-2.2900128839200278,103.21207113,93.36092887,america,NYSE,1d,  -57730.96 -34552.18 -34171.84 -36057.41 -41959.55 -69779.59 -86376.99 -79672.92
NDAQ,STRONG_SELL,0,16,10,50.57,-1.9980232941222056,-1.1899411868149201,53.41484203,50.12315797,america,NASDAQ,1d,  -1711.56 3855.22 6782.74 7653.9 6974.39 278.38 -4049.46 -12246.26
MHK,STRONG_SELL,1,16,9,91.54,-5.747086990347256,-1.4480271303224441,102.40632919,89.10367081,america,NYSE,1d,  -2138.74 -885.16 -646.66 -437.58 -715.73 -994.92 -2036.0 -3555.07
FCX,STRONG_SELL,1,16,9,38.69,-3.1159486743333673,-2.718060898644751,41.42745441,38.13754559,america,NYSE,1d,  -117805.14 -71678.12 -56303.48 -42268.61 -40875.66 -40080.17 -48024.39 -98252.62
TEL,STRONG_SELL,0,16,10,125.44,-3.2566557347975476,-1.7228276623915946,133.07125603,125.04474397,america,NYSE,1d,  1302.94 969.21 1974.88 2647.94 -718.48 -2748.27 -6637.02 -13980.23
NTRS,STRONG_SELL,1,16,9,69.87,-7.469209376241565,-4.423834537097832,78.97742201,70.05057799,america,NASDAQ,1d,  -13323.5 -11293.59 -8419.97 -6679.57 -6515.21 -6375.61 -7035.7 -9451.24
IPG,STRONG_SELL,1,16,9,29.82,-7.054545444888788,-4.004635591037854,33.64850947,29.95249053,america,NYSE,1d,  -15232.57 -17732.55 -11800.33 -5233.43 -3495.07 -6690.54 -16880.64 -21712.81
STT,STRONG_SELL,1,16,9,69.69,-0.18523999561656979,-1.7814358598528486,72.72205894,66.90694106,america,NYSE,1d,  660.76 5314.86 7317.12 7471.04 6854.81 2355.18 -704.99 -6982.88
ABT,STRONG_SELL,1,16,9,100.28,-2.8360479424845124,-1.2292175557481784,105.14483331,99.61816669,america,NYSE,1d,  -21154.92 -26023.79 -20928.09 -13293.44 -6152.87 -7366.83 -16596.82 -39321.65
JNPR,STRONG_SELL,0,16,10,28.22,-0.3437235027243304,-1.1489421325486973,29.37523683,27.77576317,america,NYSE,1d,  1102.69 -649.34 -1629.76 -3387.41 -6238.05 -9274.8 -13932.29 -17040.34
