Symbol,RECOMMENDATION,BUY,SELL,NEUTRAL,ClosePrice,percInc30,percInc10,bbHigh,bbLow,screener,exchange,interval
MERC,NEUTRAL,7,9,10,9.45,-0.6187229069877986,0.8860894630084033,9.77275075,9.10574925,america,NASDAQ,Interval.INTERVAL_1_DAY
MGI,STRONG_SELL,1,17,8,9.71,-6.673501395788122,-4.775914484652333,10.82332342,9.87067658,america,NASDAQ,Interval.INTERVAL_1_DAY
WOOF,BUY,13,4,9,9.73,5.83756349015141,0.662114628595063,10.13606073,8.47693927,america,NASDAQ,Interval.INTERVAL_1_DAY
CNXN,SELL,3,15,8,40.09,-7.477498269097609,-4.848930766857336,47.55518057,39.35881943,america,NASDAQ,Interval.INTERVAL_1_DAY
OCSL,BUY,9,7,10,18.85,1.7708670769895463,0.5923475105395113,19.08097663,18.22502337,america,NASDAQ,Interval.INTERVAL_1_DAY
SRET,BUY,7,9,10,21.48,0.7434440780484266,0.39982313178272477,21.88684022,21.11261978,america,NASDAQ,Interval.INTERVAL_1_DAY
NVDL,BUY,9,3,10,45.31,1.1728397926874123,0.5237395541059016,47.81644017,42.87848983,america,NASDAQ,Interval.INTERVAL_1_DAY
CDXS,SELL,1,15,10,3.9,-3.695777509510421,-5.660377358490578,4.3827278,3.8392722,america,NASDAQ,Interval.INTERVAL_1_DAY
VRNA,NEUTRAL,8,8,10,21.36,2.28007311912404,-3.9546752400009098,23.43045354,19.51704646,america,NASDAQ,Interval.INTERVAL_1_DAY
AKLI,SELL,3,15,8,1.03,-25.6407173008285,-16.123778501628664,1.71236468,1.00813532,america,NASDAQ,Interval.INTERVAL_1_DAY
CRDO,SELL,3,14,9,8.36,-3.756859397427718,-2.4162483950040894,9.60924178,8.02075822,america,NASDAQ,Interval.INTERVAL_1_DAY
FCEF,NEUTRAL,5,12,9,19.21,0.5282837189708687,-0.1066014924208929,19.48901051,19.06161949,america,NASDAQ,Interval.INTERVAL_1_DAY
VSAT,SELL,2,14,10,33.48,-0.24729612966662273,-1.2272834552749714,35.71305806,32.33694194,america,NASDAQ,Interval.INTERVAL_1_DAY
FVCB,SELL,4,13,9,9.65,-8.633286490234752,-0.6486152579017812,10.87414987,9.20135013,america,NASDAQ,Interval.INTERVAL_1_DAY
BANF,SELL,3,14,9,79.93,-3.0587493329452258,-0.8964328667253483,85.35155598,77.74144402,america,NASDAQ,Interval.INTERVAL_1_DAY
BMRN,STRONG_SELL,0,16,10,92.45,-2.9830906924288314,-4.522405477697788,101.00792688,93.11307312,america,NASDAQ,Interval.INTERVAL_1_DAY
SAVA,SELL,4,14,8,22.67,-5.252819345818537,-2.526066860152625,25.08450743,21.89699257,america,NASDAQ,Interval.INTERVAL_1_DAY
VMCA,BUY,12,4,8,10.58,0.4247962235895244,0.08987275909370851,10.59916795,10.50357205,america,NASDAQ,Interval.INTERVAL_1_DAY
BEAM,SELL,2,14,10,30.5,-1.304080509982839,-1.2657408306626365,32.03285116,29.02814884,america,NASDAQ,Interval.INTERVAL_1_DAY
STER,BUY,9,7,10,11.22,1.3458585493632,1.2726780395342558,11.30374661,10.84225339,america,NASDAQ,Interval.INTERVAL_1_DAY
PTHRU,BUY,9,3,5,10.4339,1.5490745418782694,0.9838128190858555,10.42529887,10.16600113,america,NASDAQ,Interval.INTERVAL_1_DAY
FMIV,BUY,13,5,8,10.18,0.1828484601561513,0.00491183260473349,10.20873351,10.12183649,america,NASDAQ,Interval.INTERVAL_1_DAY
BPAC,BUY,14,2,8,10.44,0.3768940850703757,0.14388489208631938,10.45423742,10.36976258,america,NASDAQ,Interval.INTERVAL_1_DAY
GLG,SELL,2,14,10,0.78,-14.48618591757851,-2.6180755833551785,0.95406944,0.70133056,america,NASDAQ,Interval.INTERVAL_1_DAY
DTOC,SELL,7,8,11,10.22,-0.21239849563920643,0.0,10.352971,10.144289,america,NASDAQ,Interval.INTERVAL_1_DAY
GEG,SELL,3,15,8,2.05,-5.833716123105205,-2.334444973797062,2.30504901,1.99895099,america,NASDAQ,Interval.INTERVAL_1_DAY
SFE,BUY,9,8,9,1.9214,7.783759525243909,3.7512216984443256,2.0120064,1.4739236,america,NASDAQ,Interval.INTERVAL_1_DAY
SMFL,STRONG_SELL,0,17,9,3.53,-46.308928992417854,-35.923035033581414,8.47832618,3.78262382,america,NASDAQ,Interval.INTERVAL_1_DAY
MYMD,BUY,12,7,7,1.86,11.81244364292155,11.745268849504356,1.88488492,1.38261508,america,NASDAQ,Interval.INTERVAL_1_DAY
COLM,SELL,6,11,9,87.6,-0.34696547409134837,-0.24824067958732599,91.20297324,85.78502676,america,NASDAQ,Interval.INTERVAL_1_DAY
LYT,BUY,12,9,5,0.8801,31.867815078860644,16.120450195330662,0.91146531,0.45066209,america,NASDAQ,Interval.INTERVAL_1_DAY
FARM,SELL,5,14,7,2.96,-15.380217267009726,-3.188879803761253,3.91365212,2.69734788,america,NASDAQ,Interval.INTERVAL_1_DAY
SETM,STRONG_SELL,1,12,9,16.82,-0.5346999069212899,-2.323050540562363,18.02211322,16.33069678,america,NASDAQ,Interval.INTERVAL_1_DAY
