Symbol,RECOMMENDATION,BUY,SELL,NEUTRAL,ClosePrice,percInc30,percInc10,bbHigh,bbLow,screener,exchange,interval,AdoscLastN
CLBK,SELL,1,15,10,17.19,-1.2795185151153134,-0.023263929277632656,17.8099355,16.8914645,america,NASDAQ,1h, 
AMRK,SELL,1,15,10,36.12,-1.8032728709795407,-0.4245465071401071,37.93295587,35.59904413,america,NASDAQ,1h, 
FEMS,STRONG_SELL,0,16,10,36.19,-0.7309264994663636,-0.9707005714091821,37.24072972,36.04972028,america,NASDAQ,1h,  -2546.18 -2773.84 -2597.06 -2288.65 -2114.14 -1850.56 -1693.5 -1594.61
EAC,STRONG_BUY,18,0,8,10.59,1.1812763048805834,0.6741077412589789,10.575589,10.397001,america,NASDAQ,1h,  1190.14 1017.56 854.45 710.04 586.42 482.54 396.17 -1866.18
INTE,STRONG_BUY,16,1,9,10.51,0.5046269423164773,0.5164498852333566,10.62345643,10.31173357,america,NASDAQ,1h,  -577.42 -487.62 -406.56 -336.44 -277.16 -227.72 -186.79 -188.07
CAC,SELL,4,14,8,29.54,-3.9269819148205727,-1.2957851896898518,31.66533006,29.15400994,america,NASDAQ,1h, 
XFIN,BUY,15,1,10,10.42,0.09465121205636251,0.14416146083613057,10.43779534,10.38614466,america,NASDAQ,1h, 
GPRE,SELL,7,9,10,32.02,-0.914421871857158,-0.6238167654634879,33.38382848,31.61567152,america,NASDAQ,1h, 
DDI,SELL,4,14,8,9.16,-2.691321469095925,-2.8429056759471507,9.76174911,9.18128089,america,NASDAQ,1h, 
ACAXU,STRONG_BUY,16,0,8,11.7,13.768703401025832,10.279875242356525,11.10862738,9.70444262,america,NASDAQ,1h,  -249.91 -230.96 -202.21 114.61 233.8 261.31 248.81 221.07
CUTR,STRONG_SELL,0,17,9,13.8,-6.921237809699619,-2.145009750044295,15.66332269,13.49317731,america,NASDAQ,1h,  -7980.32 -12835.16 -13166.31 -12901.5 -10653.17 -9447.91 -8898.06 -11578.62
