Symbol,RECOMMENDATION,BUY,SELL,NEUTRAL,ClosePrice,percInc30,percInc10,bbHigh,bbLow,screener,exchange,interval,AdoscLastN
TXN,STRONG_BUY,19,0,7,176.29,4.598314940073564,4.46938630383768,173.67050684,158.61849316,america,NASDAQ,1d,  87664.75 103375.39 67471.86 68792.84 72845.87 65349.98 67027.65 58119.89
ANET,STRONG_BUY,18,0,8,170.35,15.515803321376012,17.569516815857213,160.6346611,123.9243389,america,NYSE,1d,  23735.21 94408.11 121317.84 134470.54 140420.69 128205.65 131919.77 153192.91
QRVO,STRONG_BUY,18,0,8,100.04,7.511319993855992,5.921839761982909,97.76109308,89.43490692,america,NASDAQ,1d,  4902.31 6682.04 4319.03 5761.96 8944.63 12927.34 9048.97 8161.89
AVGO,STRONG_BUY,17,0,9,812.73,25.686505166118593,18.04717355213448,750.68004605,561.44195395,america,NASDAQ,1d,  95410.42 121270.15 151297.71 174759.27 204367.93 202128.33 202869.42 201164.36
LRCX,STRONG_BUY,17,0,9,628.25,16.835718658949943,7.804200460044669,620.69043254,484.74906746,america,NASDAQ,1d,  22068.9 29439.17 24177.5 24785.91 23800.89 26405.93 27919.11 22446.94
AMD,STRONG_BUY,17,1,8,127.03,31.976935459750393,16.739420116711855,122.07621684,78.45378316,america,NASDAQ,1d,  1422398.18 2078537.23 2744943.42 2501025.95 2234488.02 2083700.91 1929517.43 1724013.54
CSCO,STRONG_BUY,17,0,9,49.86,4.9470633972772475,3.0144005289146776,49.83594454,44.98605546,america,NASDAQ,1d,  235699.37 353566.42 294416.78 308077.96 313768.7 289615.55 296510.45 137596.43
KLAC,STRONG_BUY,17,1,8,461.19,17.73300339793981,9.240393292892364,448.55528433,355.53371567,america,NASDAQ,1d,  9288.52 13139.83 20651.9 27248.07 32125.3 36013.84 33315.34 22430.4
FTV,STRONG_BUY,17,0,9,67.82,4.131267022751189,3.530920359656207,66.88140152,62.89859848,america,NYSE,1d,  -12566.06 1009.04 6814.8 27164.14 30456.08 30751.06 20898.18 31330.32
WDC,STRONG_BUY,17,0,9,39.71,13.493893249862438,4.952954857807384,40.32761752,30.83938248,america,NASDAQ,1d,  -2442.57 39617.78 64221.1 77883.05 74789.16 65154.44 51256.05 34719.39
ROK,STRONG_BUY,17,0,9,286.23,3.2927270812061806,3.258320767105104,287.22194633,267.39805367,america,NYSE,1d,  -681.1 3351.2 866.97 2347.18 521.3 670.04 3581.53 5208.64
CCL,STRONG_BUY,17,0,9,11.28,12.075246700644087,3.3534909290819,11.70589789,9.16710211,america,NYSE,1d,  -478667.57 -616097.73 -800544.74 -694310.65 -648837.07 -497924.44 -343712.32 -50267.15
TER,STRONG_BUY,17,0,9,103.71,9.479958755987042,7.251442635835275,100.80849791,87.30550209,america,NASDAQ,1d,  4282.3 3673.97 -229.45 4270.19 11896.55 18217.65 18673.42 15471.98
ANSS,STRONG_BUY,17,0,9,319.4,3.661023475687884,5.000509551627431,315.84613597,289.63386403,america,NASDAQ,1d,  1043.7 2263.4 4276.7 6109.85 6505.02 6591.69 8139.6 8890.57
NXPI,STRONG_BUY,17,0,9,181.18,7.074893718858476,4.901745081464142,179.3499868,159.5570132,america,NASDAQ,1d,  13426.46 23857.56 14501.46 20763.96 30562.12 35171.76 30666.99 21714.95
AMAT,STRONG_BUY,17,0,9,136.06,15.702198222713548,7.650921750138465,134.18004634,106.55595366,america,NASDAQ,1d,  113685.4 150261.44 170374.17 178725.45 162482.62 157478.47 152196.12 124025.33
MPWR,STRONG_BUY,17,1,8,520.92,17.1431569785681,18.623573053511763,501.05496211,369.07803789,america,NASDAQ,1d,  9447.53 22346.28 17074.79 11976.34 8849.7 9890.02 8130.95 -12.87
PH,STRONG_BUY,17,0,9,332.88,2.034581656601219,1.0843918629615246,338.74751559,318.62248441,america,NYSE,1d,  2344.23 5113.83 4310.83 4877.82 4124.97 4499.05 2257.73 596.37
ETN,STRONG_BUY,17,1,8,182.46,7.957683142129923,5.516391878372204,178.71118569,164.26381431,america,NYSE,1d,  25390.06 50916.28 47893.09 55375.61 57072.62 60973.28 53014.23 39669.32
NVDA,STRONG_BUY,17,1,8,389.46,33.17300020364769,21.473173348637303,362.03247853,243.27052147,america,NASDAQ,1d,  1277539.35 1331306.86 1344839.75 1352804.33 1057290.6 986903.53 874444.8 788587.51
AKAM,STRONG_BUY,17,0,9,90.57,8.785387977243374,3.290186462907002,92.65636797,75.88563203,america,NASDAQ,1d,  -3783.69 -1152.87 -1856.36 -152.4 248.38 -352.2 1427.91 1228.32
ADBE,STRONG_BUY,17,0,9,415.39,14.041895071189046,12.426483921867941,398.44064932,319.04135068,america,NASDAQ,1d,  110549.54 159895.7 107289.14 96624.34 100840.93 95110.07 111130.07 100098.13
ORCL,STRONG_BUY,16,1,9,104.08,6.9164946017853595,3.30931252853712,104.4574678,92.5015322,america,NYSE,1d,  398213.53 445162.21 384984.22 315736.37 221886.89 208626.56 154724.63 71333.35
ON,STRONG_BUY,16,0,10,86.62,9.403220713609102,3.3528218589667063,87.12196241,76.28703759,america,NASDAQ,1d,  72663.72 102867.73 57072.72 65698.06 84330.83 108777.26 85658.05 71818.14
MCO,STRONG_BUY,16,1,9,313.0,1.574897694931309,0.22285977765254472,319.23375386,299.53824614,america,NYSE,1d,  -2597.71 -365.6 -1225.86 551.89 932.05 3807.93 51.44 4743.14
IT,STRONG_BUY,16,1,9,343.26,9.704182859480454,4.352425800214618,343.61093935,290.25906065,america,NYSE,1d,  -1851.08 -1433.36 -2915.03 -3741.6 -4140.25 -4671.2 -3838.03 -3041.18
ACN,STRONG_BUY,16,1,9,303.6,8.990260521185974,5.418496848903629,300.58347766,258.42552234,america,NYSE,1d,  14296.98 39309.2 16621.06 -660.99 -9190.12 -7248.22 -9569.35 -20748.32
META,STRONG_BUY,16,0,10,262.04,12.082614806363836,6.018032451940101,256.86020532,225.81229468,america,NASDAQ,1d,  147903.12 289433.29 391424.8 406702.2 375429.21 439245.46 467725.54 487997.65
PLD,STRONG_BUY,16,1,9,124.95,0.9645297641592663,1.579584901672277,128.20999256,120.14200744,america,NYSE,1d,  -6981.93 244.28 -2912.55 1161.89 1304.16 4798.37 6772.51 -1219.08
GOOG,STRONG_BUY,16,0,10,125.43,11.289056088158176,2.318334584135485,130.98790569,101.05159431,america,NASDAQ,1d,  -203795.6 141090.6 139176.81 268553.24 200908.89 96746.47 143992.19 17163.28
GE,STRONG_BUY,16,1,9,102.74,2.211227254410872,0.10132896839316174,104.71775778,98.29724222,america,NYSE,1d,  5102.36 27443.16 26796.15 17588.47 7244.1 -6436.26 -10488.59 -22367.67
TECH,STRONG_BUY,16,1,9,83.5,1.5654458540620197,0.9466010614504796,85.41389006,79.33810994,america,NASDAQ,1d,  -13244.4 -9070.17 -5821.97 -4610.6 -681.87 486.29 -1517.63 -5767.81
TTWO,STRONG_BUY,16,0,10,138.98,9.114034034584279,4.044079114824299,141.7853198,115.6476802,america,NASDAQ,1d,  4597.5 6341.27 3383.35 5735.42 8290.15 10798.63 10504.48 11015.9
CDNS,STRONG_BUY,16,1,9,228.33,9.157925937257971,7.888581756325763,223.3333509,193.6756491,america,NASDAQ,1d,  62581.81 63284.61 51836.6 42792.0 36736.44 28068.74 15840.56 -5533.4
EQIX,STRONG_BUY,16,1,9,729.15,1.4102254446107167,1.7716345851879396,759.66886194,686.13713806,america,NASDAQ,1d,  -3308.23 -663.75 3519.49 2402.2 1655.54 945.75 -676.12 -771.47
FTNT,STRONG_BUY,16,2,8,67.77,2.5295772943205463,-0.6610867621407124,71.80505294,60.94294706,america,NASDAQ,1d,  -32526.24 -18765.31 -31268.05 -37640.18 -46281.23 -34984.45 -23115.73 -26076.64
AMZN,STRONG_BUY,16,0,10,120.11,10.207321157401665,3.869037324016759,121.82218601,100.22031399,america,NASDAQ,1d,  83630.9 826130.35 1660896.76 1977129.13 1897794.69 1764067.78 1153670.5 965585.04
EFX,STRONG_BUY,16,0,10,210.64,3.565259288397499,0.9973149213655432,214.23733292,195.62366708,america,NYSE,1d,  -1283.85 -606.91 1490.08 3126.61 2254.01 2557.86 3218.91 970.68
DAL,STRONG_BUY,16,1,9,35.89,4.088320888631046,1.7030802799739178,36.5501728,32.6438272,america,NYSE,1d,  35990.65 87275.07 68576.18 68539.85 29630.91 25117.88 -7110.83 10461.88
COST,STRONG_BUY,16,1,9,507.26,1.9482159504491392,2.6609351725924455,508.39051622,483.05448378,america,NASDAQ,1d,  29943.3 60715.1 100087.86 128795.18 153170.86 173695.49 165584.11 140281.74
BWA,STRONG_BUY,16,1,9,47.17,1.4510416888756623,2.9260948307840096,48.33826554,42.64873446,america,NYSE,1d,  -4517.14 -3300.48 -8968.51 -11984.53 -10323.68 -7778.01 -8122.34 -9871.76
CRM,STRONG_BUY,16,0,10,215.44,7.039585039549252,2.9699941689847407,217.14247656,190.42552344,america,NYSE,1d,  18488.25 74687.37 85692.08 88876.99 71997.31 70524.78 61416.61 58431.41
EA,STRONG_BUY,16,1,9,126.8,0.3524470775290638,1.055181867448752,126.92986063,124.02413937,america,NASDAQ,1d,  16723.09 17330.57 12913.84 15778.58 14795.95 16104.04 18607.78 24184.76
CTAS,STRONG_BUY,16,1,9,468.72,1.4288589253370816,0.35863781862562405,476.70107269,455.03492731,america,NASDAQ,1d,  1558.45 2160.93 2012.61 2224.54 1894.51 1613.82 1954.96 193.41
NFLX,STRONG_BUY,16,0,10,378.88,12.235466976325313,6.188936036636974,379.75805753,305.83294247,america,NASDAQ,1d,  -8919.1 41822.64 40473.59 99511.83 168831.21 224079.28 181609.13 157786.51
IR,STRONG_BUY,16,1,9,58.89,2.542820487521368,0.2707258517648228,60.32291599,56.37108401,america,NYSE,1d,  -4355.17 -1026.94 -4719.25 2844.21 3903.75 9337.94 16371.92 10381.28
FAST,STRONG_BUY,16,1,9,55.16,1.5504423103247547,1.1423437299447983,55.4086575,53.5978425,america,NASDAQ,1d,  -5192.22 625.25 -10198.85 -8509.43 -8806.7 -2967.53 6630.27 -10996.15
NTAP,STRONG_BUY,16,1,9,69.83,8.056388005010717,5.0106770128424785,68.9814375,60.7095625,america,NASDAQ,1d,  30463.11 35103.17 33810.18 36128.79 35032.52 36441.23 38487.15 25589.05
MU,STRONG_BUY,16,1,9,73.93,17.02722668409811,10.123037507075423,71.38967914,56.86632086,america,NASDAQ,1d,  -37460.95 353190.76 736920.53 875210.66 798321.51 714613.29 619566.87 446374.2
AMP,STRONG_BUY,16,1,9,309.13,2.9169741606462907,2.5558511873561116,310.14437881,283.35762119,america,NYSE,1d,  8358.14 9988.69 8584.18 8524.63 7229.06 6997.43 5495.44 3221.34
FICO,STRONG_BUY,16,0,10,791.62,7.022003668673605,3.5188456815712073,783.54265048,724.30734952,america,NYSE,1d,  -415.3 -426.8 -374.03 893.51 888.24 1293.31 1923.25 3019.84
NWS,STRONG_BUY,16,1,9,18.64,5.079204013755017,0.14505990436792615,19.45153907,16.38646093,america,NASDAQ,1d,  4909.9 5902.65 3152.27 4599.78 6806.97 7829.77 6754.41 9367.93
MSFT,STRONG_BUY,16,0,10,332.89,9.00404616257562,4.644217832488778,327.39970554,298.56329446,america,NASDAQ,1d,  490030.35 715409.89 915897.0 831164.54 776740.79 741295.07 728952.81 573801.34
HPQ,STRONG_BUY,16,1,9,31.3,4.224476669281472,2.8759244042727943,31.24786056,28.98713944,america,NYSE,1d,  96342.51 132658.68 179681.1 180046.41 165582.61 181873.92 184574.17 115235.79
TYL,STRONG_BUY,16,1,9,393.6,2.47322531267848,0.3162919673054745,400.10556061,378.95843939,america,NYSE,1d,  402.08 601.84 416.53 496.54 544.58 531.83 489.62 -403.97
MCHP,STRONG_BUY,16,1,9,78.32,3.1571460558723885,2.3670417859336794,79.31708398,71.89891602,america,NASDAQ,1d,  -20965.46 634.18 4325.62 21262.52 41446.37 59801.2 59140.24 37346.61
GOOGL,STRONG_BUY,16,0,10,124.61,11.1927424119217,2.218940978630883,130.26871596,100.55028404,america,NASDAQ,1d,  -155393.05 133340.51 128805.12 263848.23 211570.11 104742.79 155240.76 38611.6
SNPS,STRONG_BUY,16,1,9,444.73,16.581587626605668,10.827850877193,430.90571161,339.59828839,america,NASDAQ,1d,  25948.38 27992.8 25716.59 24604.36 22059.63 16655.05 8672.76 9324.96
TPR,STRONG_BUY,15,2,9,41.69,1.7284151367092022,-1.4327595990164639,44.58314086,36.88185914,america,NYSE,1d,  -18745.51 -5418.5 9632.58 15848.68 22987.39 18843.17 12107.51 3972.08
NCLH,STRONG_BUY,15,2,9,14.48,5.48041665117151,1.8212502636945231,14.84847445,13.40052555,america,NYSE,1d,  18433.96 8300.9 -46392.06 -39529.81 -62040.51 -50549.77 -48757.94 7053.53
FFIV,STRONG_BUY,15,1,10,148.2,7.923099330032031,3.9161378536619367,148.32085871,128.19814129,america,NASDAQ,1d,  3622.22 4082.38 2654.07 2544.15 3366.58 5113.52 8096.19 6159.53
CEG,STRONG_BUY,15,1,10,83.85,6.279376819911448,2.1514546074752587,84.88208037,75.65341963,america,NASDAQ,1d,  10089.02 12117.45 10705.98 12087.86 12852.22 13606.23 17136.71 23122.9
CSGP,STRONG_BUY,15,1,10,78.49,5.212596741131193,0.9647543092359001,79.88356921,72.61543079,america,NASDAQ,1d,  -4394.34 -2403.68 -3335.07 -592.96 -1515.16 -1493.81 155.11 -1458.94
ALK,STRONG_BUY,15,2,9,45.1,3.383458646616532,1.3779306314204263,45.71872371,41.95027629,america,NYSE,1d,  18072.08 22584.28 19328.06 16461.12 10733.24 7785.87 4315.06 46.48
COF,STRONG_BUY,15,1,10,102.85,9.159027956073132,5.400696864111481,104.40894285,81.49805715,america,NYSE,1d,  3996.51 23458.94 17651.46 21132.99 23778.61 26528.57 17219.26 10838.62
