Symbol,RECOMMENDATION,BUY,SELL,NEUTRAL,ClosePrice,percInc30,percInc10,bbHigh,bbLow,screener,exchange,interval
KLAC,STRONG_SELL,1,17,8,370.14,-2.9640692129077593,-4.088433294119483,401.80635182,365.48464818,america,NASDAQ,Interval.INTERVAL_1_DAY
AAL,STRONG_SELL,0,17,9,13.0,-11.22846150074625,-8.140192198982476,14.77013447,13.31986553,america,NASDAQ,Interval.INTERVAL_1_DAY
QCOM,STRONG_SELL,0,17,9,120.27,-1.3290671917302461,-3.108081979891736,128.18848648,117.75651352,america,NASDAQ,Interval.INTERVAL_1_DAY
BALL,STRONG_SELL,0,16,10,50.75,-5.117722570148558,-4.8930867112685235,55.13771236,50.64628764,america,NYSE,Interval.INTERVAL_1_DAY
UAL,STRONG_SELL,1,16,9,41.44,-9.589399728709253,-3.8291947087491423,44.68053362,41.14046638,america,NASDAQ,Interval.INTERVAL_1_DAY
CHRW,STRONG_SELL,1,16,9,94.73,-2.9644349750061423,-0.8623396194821709,98.97265247,92.84034753,america,NASDAQ,Interval.INTERVAL_1_DAY
BG,STRONG_SELL,1,16,9,94.53,-1.12200496844153,-0.24798184983907845,98.17164011,91.93335989,america,NYSE,Interval.INTERVAL_1_DAY
EBAY,STRONG_SELL,1,16,9,42.78,-1.259453603232913,-2.2439559435126313,44.95460157,41.26239843,america,NASDAQ,Interval.INTERVAL_1_DAY
ADSK,STRONG_SELL,1,16,9,193.16,-3.7010324884595036,-3.6031540073859674,207.73917429,192.52282571,america,NASDAQ,Interval.INTERVAL_1_DAY
MTCH,STRONG_SELL,1,16,9,34.38,-9.370894816054786,-6.710444197215963,40.96465756,34.32784244,america,NASDAQ,Interval.INTERVAL_1_DAY
CVS,STRONG_SELL,1,16,9,74.92,-2.096500890875518,-1.1583419087574924,77.81040805,72.27459195,america,NYSE,Interval.INTERVAL_1_DAY
