Symbol,RECOMMENDATION,BUY,SELL,NEUTRAL,ClosePrice,percInc30,percInc10,bbHigh,bbLow,screener,exchange,interval,AdoscLastN
APA,STRONG_SELL,1,17,8,33.06,-0.6958698472394502,-0.12688055102408669,34.67742981,31.59657019,america,NASDAQ,1d,  -29099.86 -86557.02 -81379.59 -55711.59 -46704.94 -29370.76 -7976.23 12557.92
K,STRONG_SELL,0,17,9,65.4,-4.8722660519627965,-1.8666346557829598,70.27445342,65.18654658,america,NYSE,1d,  20391.81 80.17 -23503.76 -30474.66 -40748.9 -53415.43 -38238.15 24598.88
FANG,STRONG_SELL,1,17,8,129.74,-0.8412267363143542,-0.7276706123604555,135.25538508,125.64661492,america,NASDAQ,1d,  -3201.63 -9573.69 -9472.35 -4621.3 -2583.46 -2976.73 318.95 5437.28
KO,STRONG_SELL,0,17,9,60.21,-2.9815072377407716,-0.13766108835187651,63.70884754,58.62415246,america,NYSE,1d,  -5413.45 -124927.17 -124226.41 -162822.66 -199825.07 -204280.27 -112577.14 -23992.35
PXD,STRONG_SELL,1,16,9,201.65,-2.644114713981054,-1.0937806552874179,213.37765993,198.27734007,america,NYSE,1d,  -9038.77 -23520.88 -27927.52 -29585.37 -28899.61 -23174.67 -15864.55 3194.62
TRGP,STRONG_SELL,1,16,9,70.14,-0.6576555688582744,-0.48099433873919395,72.75935398,67.74464602,america,NYSE,1d,  -3162.76 -7897.78 -820.08 -289.61 -1682.15 -3513.29 90.59 11773.77
CAG,STRONG_SELL,1,16,9,34.32,-4.4552296196634416,-0.6110451478381691,36.64619155,33.53980845,america,NYSE,1d,  -162.81 -22132.32 -26205.2 -13895.49 -20024.13 -28090.56 -16611.44 10274.29
FIS,STRONG_SELL,0,16,10,54.48,-1.049802026953401,-0.45496902921668436,57.42711219,52.89888781,america,NYSE,1d,  -17967.35 -45928.73 -66931.87 -57891.07 -62771.16 -52063.29 -29585.18 -34587.74
JBHT,STRONG_SELL,1,16,9,168.93,-2.1516254985741057,-1.0803689064558597,175.02722921,166.51077079,america,NASDAQ,1d,  -6033.06 -10587.49 -7818.82 -6551.18 -5860.65 -6171.26 -4678.53 -6128.27
CME,STRONG_SELL,1,16,9,179.35,-1.7898863952975006,-1.7303351085979841,187.24020104,175.95479896,america,NASDAQ,1d,  6798.4 -544.88 -6446.82 -13231.18 -12303.36 -10900.63 -6015.91 -1971.93
ED,STRONG_SELL,1,16,9,92.63,-3.080673678186997,-0.2326433018116063,97.18649181,90.59650819,america,NYSE,1d,  -8592.84 -13237.02 -14110.6 -14911.67 -17348.38 -15271.05 -10417.56 3823.19
NDAQ,STRONG_SELL,0,16,10,51.0,-7.345166506186075,-8.66107887384483,58.32863628,52.13736372,america,NASDAQ,1d,  13636.04 -92659.27 -177128.37 -216105.02 -186155.4 -122047.67 -107576.04 -142697.8
ABT,STRONG_SELL,1,15,10,101.4,-4.937500002970694,-0.8448720957521516,110.73531631,98.37768369,america,NYSE,1d,  15310.78 6356.04 -4779.72 -12763.59 -22681.14 -18776.52 -8178.22 -7191.97
PLD,STRONG_SELL,1,15,10,119.62,-3.64363772799301,-3.5929012395428686,127.4425609,119.6424391,america,NYSE,1d,  -28142.91 -35550.58 -22530.26 -23358.93 -23315.1 -25235.26 -19107.06 -2986.38
