Symbol,RECOMMENDATION,BUY,SELL,NEUTRAL,ClosePrice,percInc30,percInc10,bbHigh,bbLow,screener,exchange,interval
FSLR,NEUTRAL,10,7,9,210.53,0.1727197895007322,-1.481543875411802,221.45993457,202.33506543,america,NASDAQ,Interval.INTERVAL_1_DAY
TSN,BUY,10,6,10,61.0,2.5250289869896676,-0.29258405662073983,62.78397494,57.94502506,america,NYSE,Interval.INTERVAL_1_DAY
CAG,BUY,15,1,10,38.14,2.710029523728693,1.7989643943842566,38.27610344,36.88389656,america,NYSE,Interval.INTERVAL_1_DAY
CL,BUY,15,2,9,77.7,3.937218526600205,1.737525041572269,77.56908301,73.96991699,america,NYSE,Interval.INTERVAL_1_DAY
MNST,STRONG_BUY,16,0,10,54.21,3.3940168413423493,2.315837155313986,54.09171501,51.58928499,america,NASDAQ,Interval.INTERVAL_1_DAY
BSX,NEUTRAL,12,5,9,51.11,2.318908271174209,-1.1029411764705799,52.95735124,48.62164876,america,NYSE,Interval.INTERVAL_1_DAY
JKHY,NEUTRAL,8,9,9,155.93,3.3073182366269833,0.14771997430958095,159.88249795,145.24050205,america,NASDAQ,Interval.INTERVAL_1_DAY
O,NEUTRAL,6,11,9,62.04,0.31043849437331517,0.5640925889904622,63.39292615,60.77607385,america,NYSE,Interval.INTERVAL_1_DAY
ZBRA,SELL,1,15,10,284.1,-4.224332841465866,-3.865025277305918,316.97780953,282.55819047,america,NASDAQ,Interval.INTERVAL_1_DAY
COO,BUY,11,5,10,379.01,3.940588140115892,-0.11279840184693057,389.49004586,358.33295414,america,NYSE,Interval.INTERVAL_1_DAY
MCO,STRONG_BUY,16,0,10,306.45,2.4860403400760163,1.0835683538666956,308.34361088,295.34038912,america,NYSE,Interval.INTERVAL_1_DAY
WM,BUY,14,2,10,165.57,3.268903317553267,0.004832026672787038,169.36919249,157.77880751,america,NYSE,Interval.INTERVAL_1_DAY
HON,NEUTRAL,9,7,10,195.96,2.14762301918266,-0.21641164040022431,199.957119,186.948881,america,NASDAQ,Interval.INTERVAL_1_DAY
KIM,SELL,2,14,10,18.86,0.6886978805189017,-0.6374795848480233,19.6238028,18.4221972,america,NYSE,Interval.INTERVAL_1_DAY
IR,SELL,2,15,9,54.44,-1.845652715480668,-2.1953936258129403,57.98620507,53.88979493,america,NYSE,Interval.INTERVAL_1_DAY
KDP,BUY,14,2,10,35.89,2.0075603166234828,1.4500946942928863,35.70067352,34.98732648,america,NASDAQ,Interval.INTERVAL_1_DAY
EVRG,STRONG_BUY,16,0,10,63.68,4.3404171650472705,1.9973411497124829,64.30402276,59.52497724,america,NASDAQ,Interval.INTERVAL_1_DAY
NOW,SELL,3,14,9,442.28,-2.729260763914965,-5.825137286883276,493.63371185,435.53628815,america,NYSE,Interval.INTERVAL_1_DAY
PARA,NEUTRAL,9,7,10,21.97,2.5820609795956386,-0.830549787848696,22.89667887,21.07532113,america,NASDAQ,Interval.INTERVAL_1_DAY
IP,STRONG_SELL,0,16,10,34.69,-2.1972032086118816,-4.128896749944715,37.10124625,34.68575375,america,NYSE,Interval.INTERVAL_1_DAY
SNPS,SELL,4,12,10,364.53,-3.2493510684316362,-3.414525577809158,388.9159923,367.9650077,america,NASDAQ,Interval.INTERVAL_1_DAY
MOH,SELL,4,13,9,279.28,1.1884057971014386,-2.691929785440024,304.1111136,259.2148864,america,NYSE,Interval.INTERVAL_1_DAY
NSC,SELL,2,16,8,207.12,0.3138440079042226,-1.0221782575659688,213.48794959,202.07705041,america,NYSE,Interval.INTERVAL_1_DAY
V,BUY,12,4,10,229.59,1.6219198925071083,-1.2588326875024194,237.45889015,220.77310985,america,NYSE,Interval.INTERVAL_1_DAY
HSY,STRONG_BUY,16,1,9,262.98,3.7059626932962857,1.377372237449265,263.52656631,252.44243369,america,NYSE,Interval.INTERVAL_1_DAY
OGN,SELL,4,14,8,23.59,2.49094857313672,-1.0195946796458628,24.51644737,22.64955263,america,NYSE,Interval.INTERVAL_1_DAY
PFG,SELL,1,15,10,73.16,-0.9213573386234941,-3.417866902533362,77.64935259,71.74764741,america,NASDAQ,Interval.INTERVAL_1_DAY
NOC,SELL,3,13,10,465.47,0.4817534537691728,-1.6624448862231844,481.22786009,458.77813991,america,NYSE,Interval.INTERVAL_1_DAY
UNH,SELL,5,12,9,491.92,0.6194969032015365,-1.761000762874005,532.58572033,460.89727967,america,NYSE,Interval.INTERVAL_1_DAY
STE,STRONG_SELL,0,16,10,181.84,-2.4742562911626464,-3.0533089509348628,196.55816355,181.76783645,america,NYSE,Interval.INTERVAL_1_DAY
ILMN,SELL,4,13,9,218.69,-3.056784046518075,-4.016397399941198,236.68426052,218.38673948,america,NASDAQ,Interval.INTERVAL_1_DAY
EXPD,NEUTRAL,12,5,9,109.67,1.6203160358044784,-1.3297585201712963,114.00321991,104.16278009,america,NASDAQ,Interval.INTERVAL_1_DAY
MKTX,SELL,3,15,8,315.76,-12.561567261423988,-4.965132412560152,401.34566611,299.18733389,america,NASDAQ,Interval.INTERVAL_1_DAY
WAB,BUY,12,6,8,100.78,2.3098736404261615,0.4775625367643386,102.29644935,96.74855065,america,NYSE,Interval.INTERVAL_1_DAY
PH,SELL,3,14,9,317.11,-1.5829204722544858,-1.4243437822513414,338.72695197,308.22504803,america,NYSE,Interval.INTERVAL_1_DAY
MLM,BUY,13,4,9,352.52,2.5914637113845487,-0.0669017677941639,361.50088651,338.13311349,america,NYSE,Interval.INTERVAL_1_DAY
CLX,BUY,14,5,7,164.9,4.406296033016474,2.301631614864448,165.34520413,152.80979587,america,NYSE,Interval.INTERVAL_1_DAY
ESS,STRONG_SELL,1,17,8,207.87,-0.25623308573730696,-1.66656417194514,216.27183456,202.70816544,america,NYSE,Interval.INTERVAL_1_DAY
OXY,STRONG_SELL,0,16,10,61.33,-0.778713714894721,-2.72645085568368,65.66220894,60.89979106,america,NYSE,Interval.INTERVAL_1_DAY
ODFL,NEUTRAL,10,7,9,339.37,0.9367864931918177,-1.0952181110256163,352.9979397,322.7610603,america,NASDAQ,Interval.INTERVAL_1_DAY
EFX,SELL,3,14,9,198.03,-0.41604366112414937,0.039908866335608195,204.24589042,193.22210958,america,NYSE,Interval.INTERVAL_1_DAY
MET,SELL,3,13,10,59.21,1.5394113367406277,-2.2404939983819503,62.67978617,55.85221383,america,NYSE,Interval.INTERVAL_1_DAY
RCL,SELL,2,15,9,60.39,-3.667822271926525,-3.464040794795153,65.54032256,60.33167744,america,NYSE,Interval.INTERVAL_1_DAY
BAC,SELL,2,16,8,28.84,0.729977995878599,-2.5412273587456014,30.66709898,27.16390102,america,NYSE,Interval.INTERVAL_1_DAY
MAR,BUY,14,3,9,172.86,4.836916307058331,1.2327603876899786,176.9578613,156.8911387,america,NASDAQ,Interval.INTERVAL_1_DAY
BMY,NEUTRAL,9,7,10,70.24,1.8709209572153753,-0.06260315292244911,71.45045116,68.16954884,america,NYSE,Interval.INTERVAL_1_DAY
DHR,STRONG_SELL,0,16,10,231.99,-6.723064118595474,-7.580701062469373,260.03393422,239.91706578,america,NYSE,Interval.INTERVAL_1_DAY
LVS,BUY,14,5,7,62.41,9.434271045512304,4.106892640288251,63.47160649,53.01239351,america,NYSE,Interval.INTERVAL_1_DAY
FISV,STRONG_BUY,16,0,10,120.09,5.8447129026181415,2.793898618458229,119.53,110.042,america,NASDAQ,Interval.INTERVAL_1_DAY
UAL,SELL,3,15,8,42.49,-1.606317210858549,-1.7640394885903845,45.58471563,40.85528437,america,NASDAQ,Interval.INTERVAL_1_DAY
VRSK,NEUTRAL,11,5,10,192.71,1.9045520663095346,-0.49209193289372877,196.25212025,188.06287975,america,NASDAQ,Interval.INTERVAL_1_DAY
SYF,SELL,1,15,10,29.14,-0.15875008852988515,-2.345844504021443,30.67,28.022,america,NYSE,Interval.INTERVAL_1_DAY
