Symbol,RECOMMENDATION,BUY,SELL,NEUTRAL,ClosePrice,percInc30,percInc10,bbHigh,bbLow,screener,exchange,interval,AdoscLastN
SCHW,BUY,10,6,10,55,6.59741065198854,1.4853768797859601,56.37866179,49.44533821,america,NYSE,1d, 
EMN,SELL,2,14,10,80.48,-0.44491359850383105,-0.3837108553038746,84.61034434,77.34965566,america,NYSE,1d, 
MSI,SELL,5,11,10,277.99,-3.1709743985624783,-1.2830118997311786,298.25578766,274.10921234,america,NYSE,1d, 
L,BUY,15,3,8,59.34,1.8461837774880223,2.239834596829766,60.02704868,56.14995132,america,NYSE,1d, 
KEYS,BUY,12,4,10,161.57,5.422617004411308,-0.2925131445780238,168.65361514,147.58338486,america,NYSE,1d, 
FOXA,BUY,14,5,7,33.54,5.393260769721351,3.929102627664861,33.50630152,29.84869848,america,NASDAQ,1d, 
AAL,BUY,15,1,10,15.57,7.947586118197506,4.433563619290354,15.5432189,13.7567811,america,NASDAQ,1d, 
CME,BUY,13,3,10,184.84,1.097907374300405,1.42669007901668,187.60149118,176.15350882,america,NASDAQ,1d, 
CB,SELL,2,14,10,191.15,-2.5354879955651057,0.3765103737272568,203.49249427,184.93750573,america,NYSE,1d, 
TTWO,BUY,12,5,9,134.03,2.533698495999033,-1.5860195315368202,144.19191135,124.20408865,america,NASDAQ,1d, 
FCX,BUY,12,5,9,37.89,5.349496746927656,4.070533948582721,38.51168872,32.97031128,america,NYSE,1d, 
CRM,STRONG_BUY,16,1,9,215.31,4.257760862301893,0.7581075389583134,220.90134721,200.65165279,america,NYSE,1d,  49187.59 132315.23 126303.32 94913.31 83702.86 76857.59 77238.88 85689.27
HD,BUY,12,7,7,297.35,1.8127822652324,1.0621123289999161,302.08764138,282.45935862,america,NYSE,1d, 
SLB,BUY,11,6,9,47.53,3.7629439963733518,3.4047644947242475,48.29370126,42.67029874,america,NYSE,1d, 
ALK,BUY,14,5,7,48.65,8.866726829261864,4.493320159800689,48.82357178,41.98342822,america,NYSE,1d, 
CMI,NEUTRAL,10,8,8,226.63,3.481970677954351,4.334895540803089,228.50468713,203.82631287,america,NYSE,1d, 
NKE,SELL,2,14,10,105.86,-8.206179133273992,-0.24876559496436812,120.80507324,99.50492676,america,NYSE,1d, 
NVDA,BUY,14,2,10,387.7,18.360717796542886,-0.2233843239793316,436.37062986,262.20537014,america,NASDAQ,1d, 
GILD,BUY,9,8,9,78.12,-0.3404058037102402,1.3255856183039754,79.66809277,75.89340723,america,NASDAQ,1d, 
AEP,SELL,3,14,9,83.68,-4.1689411746087615,0.4549765308939868,90.37753965,79.94246035,america,NASDAQ,1d, 
LKQ,NEUTRAL,5,12,9,54.3,-1.976122857677268,1.4555034472450075,57.24209802,51.80690198,america,NASDAQ,1d, 
VRSN,NEUTRAL,10,9,7,220.97,-0.895055593000194,-1.1779753492781992,228.5179236,219.8890764,america,NASDAQ,1d, 
SYY,NEUTRAL,7,10,9,72.54,-1.0566326018869745,1.1955414812438079,74.91628745,69.41671255,america,NYSE,1d, 
AOS,BUY,14,2,10,68.79,0.829127442350952,1.76186038255004,70.67337616,64.55062384,america,NYSE,1d, 
EQT,BUY,14,3,9,38.55,10.214233990604797,4.952220195475206,38.9939164,33.3840836,america,NYSE,1d, 
MOH,SELL,4,13,9,284.34,-1.5121513617500852,0.729771857729915,299.68421393,269.93578607,america,NYSE,1d, 
AVB,STRONG_BUY,16,1,9,188.31,5.478661730027071,4.516214971166605,187.96274213,167.99425787,america,NYSE,1d,  2910.84 5943.59 4050.63 3014.31 3089.32 1803.31 2173.06 3719.26
PEP,SELL,6,11,9,182.35,-3.288765373824589,-0.03289293350144362,195.99650152,176.48149848,america,NASDAQ,1d, 
ABBV,SELL,5,11,10,138.18,-3.4017029487017965,1.0915369308205527,148.08947102,132.21052898,america,NYSE,1d, 
ICE,BUY,15,3,8,109.96,2.08041292622471,2.2408182240818206,111.18054242,104.50845758,america,NYSE,1d, 
CSGP,BUY,13,4,9,80.14,3.333562557880313,-0.2228613404051316,82.87488114,74.87211886,america,NASDAQ,1d, 
DISH,STRONG_SELL,1,16,9,6.55,-4.031647625683547,-6.133562625394092,7.65280701,5.92619299,america,NASDAQ,1d,  -20176.6 115469.7 59844.85 -32890.18 -63941.98 -122203.11 -232945.01 -257071.7
CAH,BUY,15,1,10,86.77,3.1253342670825646,3.4281355043268746,87.42687267,81.90412733,america,NYSE,1d, 
BA,BUY,15,3,8,217.31,6.119625287605615,3.544064953876642,216.84313684,196.28786316,america,NYSE,1d, 
SHW,BUY,14,5,7,240.76,3.777353121398619,1.7634030466464878,244.77337234,220.06462766,america,NYSE,1d, 
CHD,BUY,15,2,9,94.1,-0.9529289548991358,0.8888078824071783,96.58559374,91.57440626,america,NYSE,1d, 
BMY,SELL,2,15,9,64.8,-2.389057933901725,-0.16023665721681368,67.98591929,63.28708071,america,NYSE,1d, 
WAT,STRONG_SELL,1,16,9,249.28,-7.850863898150948,-2.4252767383237597,274.28751824,247.21248176,america,NYSE,1d,  -7630.96 -7134.96 -6600.38 -7760.75 -6942.56 -6611.76 -4132.24 -2196.64
