Symbol,RECOMMENDATION,BUY,SELL,NEUTRAL,ClosePrice,percInc30,percInc10,bbHigh,bbLow,screener,exchange,interval
NKNUSDT,SELL,2,14,10,0.085,-1.5215842095305447,-1.4035494722189839,0.08922073,0.08227927,america,BINANCE,Interval.INTERVAL_1_DAY
LOOMBTC,BUY,14,2,10,5.67e-06,67.75147928994082,11.176470588235276,6.76e-06,1.75e-06,america,BINANCE,Interval.INTERVAL_1_DAY
GEMUSDT,SELL,5,13,8,0.000649,0.0200348297810109,0.698215671062826,0.00070607,0.00057483,america,Kucoin,Interval.INTERVAL_1_DAY
OASUSDT,SELL,4,13,9,0.0441,-2.437945223662666,0.9754087099876472,0.04648924,0.04245376,america,Kucoin,Interval.INTERVAL_1_DAY
NEOBTC,SELL,4,14,8,0.000256,-6.113617192943849,-3.0853681620291553,0.00028822,0.00025331,america,BINANCE,Interval.INTERVAL_1_DAY
KNCUSDT,BUY,14,2,10,0.704,11.817026683608617,1.9551049963794327,0.76162407,0.58347593,america,BINANCE,Interval.INTERVAL_1_DAY
LYMUSDT,STRONG_SELL,1,17,8,0.00077,-4.090478800259078,-0.6297749328928433,0.00085206,0.00071955,america,Kucoin,Interval.INTERVAL_1_DAY
NIMETH,BUY,12,2,12,7.4e-07,23.333333333333343,0.0,8.4e-07,5e-07,america,Kucoin,Interval.INTERVAL_1_DAY
SUTERBTC,SELL,0,5,21,1e-08,0.0,-50.0,2e-08,1e-08,america,Kucoin,Interval.INTERVAL_1_DAY
NULSBTC,SELL,4,14,8,6.38e-06,-5.760709010339738,-3.1866464339908873,7.09e-06,6.31e-06,america,BINANCE,Interval.INTERVAL_1_DAY
HAIUSDT,BUY,12,5,9,0.02302,7.043230678162104,-1.9591141396933693,0.0250515,0.0205105,america,Kucoin,Interval.INTERVAL_1_DAY
MITXUSDT,SELL,2,15,9,0.004849,-7.578769610206933,-0.8951929365598374,0.00524354,0.00453406,america,Kucoin,Interval.INTERVAL_1_DAY
PDEXUSDT,SELL,2,15,9,0.6255,-9.032296036337172,0.05598656322483464,0.75080439,0.57827561,america,Kucoin,Interval.INTERVAL_1_DAY
HTRBTC,SELL,1,15,10,1.43e-06,-5.298013245033104,-3.378378378378372,1.54e-06,1.43e-06,america,Kucoin,Interval.INTERVAL_1_DAY
FLAMEUSDT,SELL,3,14,9,0.02072,-2.6879632243160074,-5.3449063499314775,0.02324531,0.01975269,america,Kucoin,Interval.INTERVAL_1_DAY
EPXUSDT,BUY,11,7,8,0.0001843,3.4870009545735314,1.2359241966492647,0.00019391,0.00016755,america,BINANCE,Interval.INTERVAL_1_DAY
PUNDIXBTC,STRONG_SELL,1,16,9,1.293e-05,-1.2977099236641294,-3.0734632683658134,1.398e-05,1.257e-05,america,Kucoin,Interval.INTERVAL_1_DAY
AOGUSDT,SELL,4,14,8,0.006861,-4.564782860886581,-2.696033243040091,0.00759353,0.00676077,america,Kucoin,Interval.INTERVAL_1_DAY
