Symbol,RECOMMENDATION,BUY,SELL,NEUTRAL,ClosePrice,percInc30,percInc10,bbHigh,bbLow,screener,exchange,interval
PERPBTC,STRONG_BUY,17,1,8,4.422e-05,131.0344827586207,79.17341977309562,3.828e-05,2.25e-06,america,BINANCE,Interval.INTERVAL_1_DAY
REIUSDT,STRONG_BUY,16,0,10,0.03673,59.84159449932548,48.21839312376417,0.03007463,0.01649037,america,BINANCE,Interval.INTERVAL_1_DAY
OGNBTC,STRONG_BUY,17,0,9,3.88e-06,29.333333333333343,29.333333333333343,3.42e-06,2.51e-06,america,BINANCE,Interval.INTERVAL_1_DAY
AMBUSDT,STRONG_BUY,14,0,10,0.00911,28.237612612612622,13.633528751403261,0.00915767,0.00563933,america,BINANCE,Interval.INTERVAL_1_DAY
AMPLETH,STRONG_BUY,17,0,9,0.000704,15.726661515953495,13.376493703095306,0.00066662,0.00057019,america,Kucoin,Interval.INTERVAL_1_DAY
MDTBUSD,STRONG_BUY,17,0,9,0.05177,23.278547365799128,12.68065471008184,0.05179659,0.03229241,america,BINANCE,Interval.INTERVAL_1_DAY
MDTBTC,STRONG_BUY,16,0,10,1.98e-06,26.92307692307692,12.5,2e-06,1.21e-06,america,BINANCE,Interval.INTERVAL_1_DAY
MDTUSDT,STRONG_BUY,17,0,9,0.05127,21.987199314758882,11.575373767709095,0.05178505,0.03233595,america,BINANCE,Interval.INTERVAL_1_DAY
AGLDUSDT,STRONG_BUY,16,0,10,0.6,11.028867505551432,9.569028487947406,0.63560174,0.41249826,america,BINANCE,Interval.INTERVAL_1_DAY
SFPBTC,STRONG_BUY,16,0,10,2.33e-05,22.309711286089254,7.870370370370367,2.425e-05,1.7e-05,america,BINANCE,Interval.INTERVAL_1_DAY
AMPLBTC,STRONG_BUY,17,0,9,4.223e-05,8.784131890777957,7.209951764407222,4.116e-05,3.747e-05,america,Kucoin,Interval.INTERVAL_1_DAY
SFPUSDT,STRONG_BUY,16,0,10,0.6021,18.170814705630733,7.13523131672595,0.62569693,0.45345307,america,BINANCE,Interval.INTERVAL_1_DAY
RAYBNB,STRONG_BUY,16,1,9,0.000857,1.7246904934300318,4.806163629693032,0.00089477,0.00076793,america,BINANCE,Interval.INTERVAL_1_DAY
ELFETH,STRONG_BUY,16,0,10,0.0001973,11.721404303510738,3.8257117297268763,0.00020013,0.00016686,america,BINANCE,Interval.INTERVAL_1_DAY
ELFBTC,STRONG_BUY,16,0,10,1.244e-05,11.469534050179206,3.666666666666657,1.258e-05,1.062e-05,america,BINANCE,Interval.INTERVAL_1_DAY
QUICKBTC,STRONG_BUY,12,0,9,1.65e-06,5.769230769230774,3.125,1.68e-06,1.43e-06,america,BINANCE,Interval.INTERVAL_1_DAY
ELFUSDT,STRONG_BUY,16,1,9,0.3215,7.425680725463835,2.98215830103463,0.32824189,0.27866811,america,BINANCE,Interval.INTERVAL_1_DAY
ELFBUSD,STRONG_BUY,16,1,9,0.3205,7.187050600314365,2.7408238499759534,0.32788207,0.27852793,america,BINANCE,Interval.INTERVAL_1_DAY
XMRBNB,STRONG_BUY,16,0,10,0.6676,1.2440660338791218,1.8909967796584226,0.6964665,0.6243735,america,BINANCE,Interval.INTERVAL_1_DAY
MKRBTC,STRONG_BUY,16,1,9,0.04401,5.436735922063548,1.515466057712274,0.04620247,0.03727053,america,BINANCE,Interval.INTERVAL_1_DAY
DASHKCS,STRONG_BUY,16,0,10,6.5183,10.78259188357849,1.4253038106648859,6.90880707,5.13248293,america,Kucoin,Interval.INTERVAL_1_DAY
USDTGBP,STRONG_BUY,14,1,9,0.8074,1.7795243472467774,1.2401098418828553,0.80590254,0.78352746,america,Kucoin,Interval.INTERVAL_1_DAY
USDTNGN,STRONG_BUY,16,0,10,929.4,2.253223606037949,1.1525777908381514,937.35832581,883.84167419,america,BINANCE,Interval.INTERVAL_1_DAY
AAVEKCS,STRONG_BUY,17,0,9,14.0165,11.077504197200597,1.0923148492071704,14.98233328,11.18438672,america,Kucoin,Interval.INTERVAL_1_DAY
BUSDBRL,STRONG_BUY,16,0,10,5.01,0.9158296858488484,0.626657025789342,5.04639484,4.86570516,america,BINANCE,Interval.INTERVAL_1_DAY
USDTBRL,STRONG_BUY,16,1,9,5.004,0.8376267696880149,0.5323957810145572,5.04560369,4.86419631,america,BINANCE,Interval.INTERVAL_1_DAY
FUNBNB,STRONG_BUY,17,0,9,2.009e-05,1.9279553526128694,0.39980009995002774,2.05e-05,1.899e-05,america,BINANCE,Interval.INTERVAL_1_DAY
USDTBIDR,STRONG_BUY,17,2,7,15375.0,0.11568924092233601,0.2464595884516001,15431.40537999,15291.99462001,america,BINANCE,Interval.INTERVAL_1_DAY
BUSDBIDR,STRONG_BUY,16,1,9,15374.0,0.06183084382831794,0.2236028083991215,15437.18923103,15291.41076897,america,BINANCE,Interval.INTERVAL_1_DAY
USDTIDRT,STRONG_BUY,16,1,9,15367.0,0.26577466134385475,0.16621581983508804,15401.29165206,15282.40834794,america,BINANCE,Interval.INTERVAL_1_DAY
USDTTUSD,STRONG_BUY,17,0,9,1.0025,0.16352582325100684,0.076867020055289,1.00258069,0.99958931,america,Kucoin,Interval.INTERVAL_1_DAY
BUSDUSDC,STRONG_BUY,18,1,7,1.0002,0.031003410375134877,0.04901421412209572,1.00074993,0.99890007,america,Kucoin,Interval.INTERVAL_1_DAY
