Symbol,RECOMMENDATION,BUY,SELL,NEUTRAL,ClosePrice,percInc30,percInc10,bbHigh,bbLow,screener,exchange,interval
HIENS4USDT,STRONG_SELL,0,16,10,0.002905,-33.54729351051006,-43.90159122508883,0.00753209,0.00113801,america,Kucoin,Interval.INTERVAL_1_DAY
CMPUSDT,STRONG_SELL,0,17,9,0.019,-30.545401374469947,-21.935987509758007,0.03229756,0.02008244,america,Kucoin,Interval.INTERVAL_1_DAY
IGUBTC,STRONG_SELL,2,14,8,1.91e-06,-27.376425855513304,-18.723404255319153,3.27e-06,1.36e-06,america,Kucoin,Interval.INTERVAL_1_DAY
IGUUSDT,STRONG_SELL,1,13,10,0.0553,-28.849889993952885,-18.054649991109002,0.09111525,0.04312975,america,Kucoin,Interval.INTERVAL_1_DAY
HIRENGAUSDT,STRONG_SELL,0,15,9,0.001232,-26.162550268799492,-17.92685364066351,0.00196716,0.00129054,america,Kucoin,Interval.INTERVAL_1_DAY
SINUSDT,STRONG_SELL,1,16,9,0.003267,-7.1286638978671135,-16.694290741260176,0.00469811,0.00247749,america,Kucoin,Interval.INTERVAL_1_DAY
SDLUSDT,STRONG_SELL,0,16,10,0.002257,-29.320765352456718,-16.14964520563214,0.00375151,0.00222739,america,Kucoin,Interval.INTERVAL_1_DAY
HIMEEBITSUSDT,STRONG_SELL,0,18,8,0.002752,-17.61145057136099,-15.603532875368003,0.00374553,0.00297507,america,Kucoin,Interval.INTERVAL_1_DAY
HICOOLCATSUSDT,STRONG_SELL,0,16,10,0.001387,-20.304303107959797,-15.168195718654431,0.00199545,0.00145005,america,Kucoin,Interval.INTERVAL_1_DAY
HIVALHALLAUSDT,STRONG_SELL,1,13,10,0.000937,-12.323383550107607,-12.63403263403265,0.0012001,0.0009427,america,Kucoin,Interval.INTERVAL_1_DAY
HYDRAUSDT,STRONG_SELL,2,16,8,0.839,-17.432095254665057,-12.109784202807461,1.10661565,0.86968435,america,Kucoin,Interval.INTERVAL_1_DAY
PLYUSDT,STRONG_SELL,0,16,10,0.0001813,-16.15021737119602,-11.849078621092048,0.00023774,0.0001862,america,Kucoin,Interval.INTERVAL_1_DAY
HIODBSUSDT,STRONG_SELL,0,16,10,0.006337,-5.819932824064452,-11.334667207678635,0.00808097,0.00542633,america,Kucoin,Interval.INTERVAL_1_DAY
