Symbol,RECOMMENDATION,BUY,SELL,NEUTRAL,ClosePrice,percInc30,percInc10,bbHigh,bbLow,screener,exchange,interval
LMNL,STRONG_BUY,17,1,8,6.82,40.735981871290534,57.84917765670352,6.46829015,2.47979985,america,NASDAQ,Interval.INTERVAL_1_DAY
CASI,STRONG_BUY,17,1,8,3.7,81.19963926384031,49.739978550759815,3.31910305,0.88173695,america,NASDAQ,Interval.INTERVAL_1_DAY
SCLX,STRONG_BUY,16,1,9,12.9,54.023720510237894,45.92760180995475,11.23722392,5.31077608,america,NASDAQ,Interval.INTERVAL_1_DAY
NAAS,STRONG_BUY,16,1,9,12.36,104.38760897607077,37.79264214046819,12.28559226,0.97240774,america,NASDAQ,Interval.INTERVAL_1_DAY
IPDN,STRONG_BUY,17,1,8,5.4,64.90093745663813,31.41627809631356,5.36853074,1.16854926,america,NASDAQ,Interval.INTERVAL_1_DAY
TOMZ,STRONG_BUY,16,0,10,0.83,29.874864785400547,23.27709125475286,0.76139212,0.49498798,america,NASDAQ,Interval.INTERVAL_1_DAY
LBPH,STRONG_BUY,16,0,10,5.11,10.558199913457386,19.19757406111502,5.01113775,3.72786225,america,NASDAQ,Interval.INTERVAL_1_DAY
MOR,STRONG_BUY,17,2,7,4.95,20.301360887636605,19.04761904761905,4.56419641,3.48080359,america,NASDAQ,Interval.INTERVAL_1_DAY
BHAT,STRONG_BUY,16,2,8,0.8259,36.476303787428094,18.578607322325908,0.79765931,0.50666069,america,NASDAQ,Interval.INTERVAL_1_DAY
CTHR,STRONG_BUY,17,0,9,1.17,27.082744987291704,18.52061954881124,1.15895097,0.74796903,america,NASDAQ,Interval.INTERVAL_1_DAY
TIO,STRONG_BUY,17,1,8,1.21,29.557718750686263,18.339723026367267,1.19343172,0.68798828,america,NASDAQ,Interval.INTERVAL_1_DAY
INZY,STRONG_BUY,16,0,10,5.67,59.68832129206879,18.3345507669832,5.99104813,1.71095187,america,NASDAQ,Interval.INTERVAL_1_DAY
OMGA,STRONG_BUY,17,0,9,7.75,13.467216459594837,17.834879124220777,8.76928239,5.17471761,america,NASDAQ,Interval.INTERVAL_1_DAY
ARTW,STRONG_BUY,16,0,10,2.35,14.522417153996088,16.079190705761476,2.18473938,1.85475062,america,NASDAQ,Interval.INTERVAL_1_DAY
CTXR,STRONG_BUY,16,1,9,1.37,23.564056017016185,15.514333895446896,1.35667364,0.84953636,america,NASDAQ,Interval.INTERVAL_1_DAY
GRVY,STRONG_BUY,16,1,9,65.75,19.342933211480087,12.585616438356169,63.29760815,47.67139185,america,NASDAQ,Interval.INTERVAL_1_DAY
WALD,STRONG_BUY,17,0,9,9.2,11.962776388039131,12.352689747817067,9.12866086,7.36183914,america,NASDAQ,Interval.INTERVAL_1_DAY
SY,STRONG_BUY,17,0,9,2.59,12.445567933410246,12.169770463404063,2.62851987,1.62649013,america,NASDAQ,Interval.INTERVAL_1_DAY
OSUR,STRONG_BUY,17,0,9,6.88,10.931957433086097,12.1251629726206,6.80970818,5.46929182,america,NASDAQ,Interval.INTERVAL_1_DAY
HYPR,STRONG_BUY,16,1,9,1.51,3.3892502567614002,12.05936920222635,1.61735539,1.18314461,america,NASDAQ,Interval.INTERVAL_1_DAY
JAKK,STRONG_BUY,17,2,7,18.28,9.839266937058738,11.872705018359866,18.11397941,12.75752059,america,NASDAQ,Interval.INTERVAL_1_DAY
SMTI,STRONG_BUY,17,1,8,45.75,11.355412391374301,11.444022215726406,44.41940421,36.90059579,america,NASDAQ,Interval.INTERVAL_1_DAY
SYM,STRONG_BUY,17,2,7,25.42,29.88052560735761,10.929283672623342,26.38222354,15.59327646,america,NASDAQ,Interval.INTERVAL_1_DAY
PT,STRONG_BUY,17,0,9,1.24,54.208396256680714,10.716262790406986,1.37996081,0.45996919,america,NASDAQ,Interval.INTERVAL_1_DAY
UIHC,STRONG_BUY,17,0,9,2.98,20.355411954765756,10.044313146233378,2.94825923,2.19674077,america,NASDAQ,Interval.INTERVAL_1_DAY
