Symbol,RECOMMENDATION,BUY,SELL,NEUTRAL,ClosePrice,percInc30,percInc10,bbHigh,bbLow,screener,exchange,interval
YNDX,STRONG_SELL,2,17,7,18.94,-57.78728715342783,-52.883228021294585,62.26215543,25.64784457,america,NASDAQ,Interval.INTERVAL_1_DAY
VBIV,STRONG_SELL,1,17,8,2.96,-66.36847727737353,-45.71198004548456,12.51567635,2.14912365,america,NASDAQ,Interval.INTERVAL_1_DAY
VRAY,STRONG_SELL,0,17,9,1.83,-47.04861111111111,-40.487804878048784,3.95663934,2.52836066,america,NASDAQ,Interval.INTERVAL_1_DAY
WETG,STRONG_SELL,0,17,9,0.146,-48.94758059961906,-33.25714285714287,0.34611885,0.16460125,america,NASDAQ,Interval.INTERVAL_1_DAY
AGLE,STRONG_SELL,1,17,8,0.176,-44.69466790295032,-30.939768491269376,0.36949005,0.20122995,america,NASDAQ,Interval.INTERVAL_1_DAY
ONCS,STRONG_SELL,1,16,9,1.01,-49.92976956138185,-28.823114869626494,3.01603248,0.67596752,america,NASDAQ,Interval.INTERVAL_1_DAY
IMBI,STRONG_SELL,0,16,10,0.34,-35.884138867412176,-26.580146407825694,0.55951359,0.37793641,america,NASDAQ,Interval.INTERVAL_1_DAY
AGIL,STRONG_SELL,0,17,9,2.2,-37.923250564334076,-26.19926199261991,3.98390904,2.45309096,america,NASDAQ,Interval.INTERVAL_1_DAY
VEDU,STRONG_SELL,1,17,8,0.75,-23.81481217410453,-21.838361732061912,1.1424131,0.8408469,america,NASDAQ,Interval.INTERVAL_1_DAY
LIXT,STRONG_SELL,0,16,10,0.6713,-14.831617680362413,-19.833279972447386,0.97359606,0.62203384,america,NASDAQ,Interval.INTERVAL_1_DAY
IDEX,STRONG_SELL,1,16,9,0.0808,-26.851348904580846,-18.334344046897115,0.12942276,0.08516724,america,NASDAQ,Interval.INTERVAL_1_DAY
NH,STRONG_SELL,1,16,9,1.5,-32.14511897222472,-18.07128890248299,2.4226205,1.4704595,america,NASDAQ,Interval.INTERVAL_1_DAY
NKLA,STRONG_SELL,1,17,8,0.9698,-36.82523703711092,-17.4863016029677,1.80482299,0.92449701,america,NASDAQ,Interval.INTERVAL_1_DAY
NUTX,STRONG_SELL,1,16,9,0.8,-27.47360363274565,-17.082979208557035,1.13899597,0.84714403,america,NASDAQ,Interval.INTERVAL_1_DAY
DRTT,STRONG_SELL,0,16,10,0.393436,-20.622202044898913,-16.464783594794028,0.54340282,0.40604938,america,NASDAQ,Interval.INTERVAL_1_DAY
PLCE,STRONG_SELL,0,17,9,31.29,-20.102478557801433,-16.227142512917993,42.34285501,33.17714499,america,NASDAQ,Interval.INTERVAL_1_DAY
EPOW,STRONG_SELL,0,16,10,2.25,-21.11878109234712,-15.924623622565079,3.06747075,2.44069925,america,NASDAQ,Interval.INTERVAL_1_DAY
CYTO,STRONG_SELL,1,16,9,1.33,-13.58024691358024,-15.4481881754609,1.95773684,0.96526316,america,NASDAQ,Interval.INTERVAL_1_DAY
PALI,STRONG_SELL,1,16,9,1.92,-5.169575394847584,-15.381225209343327,2.85911395,1.13888605,america,NASDAQ,Interval.INTERVAL_1_DAY
ILPT,STRONG_SELL,0,16,10,2.38,-24.921135646687702,-14.878397711015737,3.30709999,2.46690001,america,NASDAQ,Interval.INTERVAL_1_DAY
AMRS,STRONG_SELL,0,16,10,1.05,-15.707787220476888,-14.772727272727266,1.48765971,1.08834029,america,NASDAQ,Interval.INTERVAL_1_DAY
ACXP,STRONG_SELL,0,16,10,2.86,-15.409642117716643,-13.984962406015043,3.69445957,2.95254043,america,NASDAQ,Interval.INTERVAL_1_DAY
RLYB,STRONG_SELL,0,16,10,4.38,-20.262151829601322,-13.898171810497345,5.82951899,4.03948101,america,NASDAQ,Interval.INTERVAL_1_DAY
EAST,STRONG_SELL,1,16,9,0.2169,-15.91413239589285,-13.620759691280824,0.30240585,0.19413615,america,NASDAQ,Interval.INTERVAL_1_DAY
HEXO,STRONG_SELL,0,16,10,1.12,-18.10870115011282,-13.245546088303627,1.4971666,1.0888334,america,NASDAQ,Interval.INTERVAL_1_DAY
KITT,STRONG_SELL,0,16,10,2.46,-17.803641942199306,-13.242814318462365,3.27184285,2.59865715,america,NASDAQ,Interval.INTERVAL_1_DAY
ASTS,STRONG_SELL,0,16,10,4.07,-28.315622657009555,-13.089899636984825,6.98551763,3.71048237,america,NASDAQ,Interval.INTERVAL_1_DAY
IFBD,STRONG_SELL,1,16,9,0.482,-19.327393988454816,-13.05288981889025,0.61106809,0.50655191,america,NASDAQ,Interval.INTERVAL_1_DAY
HSTO,STRONG_SELL,0,16,10,1.0,-8.65577843545617,-12.739965095986022,1.41054168,0.91668832,america,NASDAQ,Interval.INTERVAL_1_DAY
SPWH,STRONG_SELL,1,17,8,7.21,-13.40379533989912,-12.383035605784414,8.75037867,7.49562133,america,NASDAQ,Interval.INTERVAL_1_DAY
OP,STRONG_SELL,1,17,8,0.298,-23.94337374892274,-12.36582855462433,0.4043649,0.3118751,america,NASDAQ,Interval.INTERVAL_1_DAY
YOSH,STRONG_SELL,0,14,10,1.115,-28.82221512926907,-11.822854883353102,1.75324287,0.98225713,america,NASDAQ,Interval.INTERVAL_1_DAY
OPINL,STRONG_SELL,1,16,9,14.4,-16.146431606767607,-11.780922624517558,17.7992681,15.1137419,america,NASDAQ,Interval.INTERVAL_1_DAY
KWE,STRONG_SELL,0,16,10,2.1301,-10.618924525324942,-11.614474628735977,2.64289361,2.07961639,america,NASDAQ,Interval.INTERVAL_1_DAY
LE,STRONG_SELL,0,16,10,8.12,-2.940473344489604,-11.402073104200767,10.07797245,7.85502755,america,NASDAQ,Interval.INTERVAL_1_DAY
BTOG,STRONG_SELL,0,19,7,0.23,-12.990262513295932,-11.217341492073643,0.31868868,0.22735092,america,NASDAQ,Interval.INTERVAL_1_DAY
YS,STRONG_SELL,1,16,9,1.44,-76.73478027737593,-10.697674418604649,10.87610975,-2.75361975,america,NASDAQ,Interval.INTERVAL_1_DAY
ASPI,STRONG_SELL,1,14,9,0.76585,-34.64746666666666,-10.519520730004615,1.27550375,0.60262125,america,NASDAQ,Interval.INTERVAL_1_DAY
GSUN,STRONG_SELL,1,17,8,1.33,-20.438684106802214,-10.437710437710436,1.73836847,1.29563153,america,NASDAQ,Interval.INTERVAL_1_DAY
PHIO,STRONG_SELL,0,16,10,5.04,-11.196990512524323,-10.356971346246198,6.11111345,5.18723655,america,NASDAQ,Interval.INTERVAL_1_DAY
HSON,STRONG_SELL,0,17,9,20.36,-10.204848497144056,-9.927446469651386,24.04437619,20.23019381,america,NASDAQ,Interval.INTERVAL_1_DAY
LILM,STRONG_SELL,1,16,9,0.548,-26.709553169009368,-9.761559741799502,0.83985299,0.51340701,america,NASDAQ,Interval.INTERVAL_1_DAY
BLDE,STRONG_SELL,1,17,8,2.74,-20.83594171441618,-9.734804809751267,3.51208458,2.72941542,america,NASDAQ,Interval.INTERVAL_1_DAY
