Symbol,RECOMMENDATION,BUY,SELL,NEUTRAL,ClosePrice,percInc30,percInc10,bbHigh,bbLow,screener,exchange,interval,AdoscLastN
OCEA,STRONG_SELL,1,16,9,4.74,-21.579267808454873,-19.53663968710957,10.34257368,2.62438632,america,NASDAQ,1h,  -257367.98 -279216.79 -269050.3 -247910.19 -219789.21 -196614.42 -174910.04 -157943.58
QTEK,STRONG_SELL,2,16,8,0.105,-36.212828025531884,-18.705355691167057,0.22505542,0.08751438,america,NASDAQ,1h,  -6550.27 -84786.31 -122913.06 -127989.2 -129311.17 -127986.78 -116870.15 -128331.63
CRGO,STRONG_SELL,0,18,8,2.02,-16.366150648576365,-18.53196208913087,2.79947373,2.24154627,america,NASDAQ,1h,  -1155.14 -986.64 -1220.78 -1301.04 -1323.78 -1212.74 -1057.06 -1014.05
GDEV,STRONG_SELL,0,16,10,6.2,-18.862717025873636,-14.292073260923956,8.21730415,6.67030585,america,NASDAQ,1h,  107.93 75.27 72.88 1.64 -5.38 -7.76 -13.93 -41.92
OCGN,STRONG_SELL,1,16,9,0.4702,-27.227830888065157,-13.1069531069531,0.88857182,0.38268818,america,NASDAQ,1h,  -454.9 -451515.73 -481926.67 -562014.77 -459658.77 -344279.76 -167556.48 -134010.29
XTLB,STRONG_SELL,0,17,9,1.15,-9.672858657660143,-9.077971569077036,1.37456905,1.19287095,america,NASDAQ,1h,  1992.05 2042.84 1877.9 1639.71 1393.2 1165.7 934.84 755.42
PALI,STRONG_SELL,1,17,8,1.49,-3.621419969940618,-8.872403016384624,1.78777873,1.34312127,america,NASDAQ,1h,  3846.2 -12927.94 5855.28 -7746.07 -13578.56 -12083.13 -23697.47 -53782.82
RNXT,STRONG_SELL,0,19,7,1.85,-11.761760071859683,-8.817585883976548,2.22866424,1.89769576,america,NASDAQ,1h,  -1887.38 -1606.18 -1669.67 -1543.86 -1352.04 -1150.65 -727.26 -1465.71
NKEL,STRONG_SELL,2,16,8,24.32,-19.50705130592449,-8.117300054064202,34.10840388,23.02411612,america,NASDAQ,1h,  682.99 576.5 480.53 389.31 316.6 225.94 168.31 96.98
CTRM,STRONG_SELL,1,16,9,0.5541,-14.036380560834644,-8.054559936280342,0.69220645,0.56428855,america,NASDAQ,1h,  -12026.06 -11076.19 -11584.68 -10692.84 -5042.69 -1792.31 -6217.83 -4636.28
PAVM,STRONG_SELL,0,16,10,0.3761,-12.833978719578198,-7.888614043251451,0.46380041,0.38480949,america,NASDAQ,1h,  -13682.78 -10741.49 -8511.15 -8357.67 -3645.01 -2998.92 -15382.8 -22143.22
PLCE,STRONG_SELL,1,16,9,18.67,-16.583525715462685,-7.702240605971625,26.7972414,17.1012686,america,NASDAQ,1h,  -8864.38 -61248.8 -62685.92 -84028.19 -78660.39 -79494.77 -64945.41 -68653.45
ANGN,STRONG_SELL,2,16,8,0.7725,-6.614923718536446,-7.624975336765274,0.91974124,0.76630376,america,NASDAQ,1h,  -8089.18 -8212.11 -7834.03 -6967.17 -19296.07 -22850.24 -21038.35 -18316.14
TYRA,STRONG_SELL,0,17,9,12.54,-8.189331050721947,-7.563093348744417,14.7857299,12.8825001,america,NASDAQ,1h,  455.8 303.88 270.75 315.4 287.81 256.41 227.57 -163.83
OFED,STRONG_SELL,0,17,9,16.84,-12.171207052698804,-7.436926290331456,20.21787078,16.83612922,america,NASDAQ,1h,  -1024.31 -865.88 -823.86 -731.77 -625.34 -611.32 -550.01 -474.93
SBIG,STRONG_SELL,0,17,9,0.359899,-19.60498529106684,-7.292702403338396,0.51086349,0.33725151,america,NASDAQ,1h,  -3031.88 -2595.11 -1567.4 -2797.44 -68.15 1342.53 1338.76 1083.96
CHB,STRONG_SELL,1,16,9,8.44,-9.922826029002877,-7.222161152028136,9.72822989,8.63936011,america,NASDAQ,1h,  -329.6 -275.14 -227.85 -187.79 -154.33 -126.61 -103.76 -84.98
LFVN,STRONG_SELL,2,15,9,4.07,-9.005341185255716,-7.102228633512581,4.74695098,4.20137902,america,NASDAQ,1h,  1879.44 2454.28 4442.87 6384.85 6638.63 6010.07 5474.79 4632.64
NTRB,STRONG_SELL,0,16,10,3.02,-7.42585638746263,-7.074063817348218,3.47033591,3.00056409,america,NASDAQ,1h,  152.17 308.57 443.13 521.53 506.19 375.95 288.49 226.48
NEGG,STRONG_SELL,0,17,9,1.06,-7.7659343049815135,-6.976744186046503,1.2659124,1.0690876,america,NASDAQ,1h,  7539.07 850.71 -2941.72 -4225.74 -4930.25 -6406.67 -12371.02 -22522.25
SFR,STRONG_SELL,0,17,9,0.23,-14.034213635444516,-6.961692488167955,0.31833373,0.21847117,america,NASDAQ,1h,  -44147.5 -38916.42 -35424.34 -26142.32 -22975.05 -18508.89 -13508.78 -14921.07
PUYI,STRONG_SELL,0,17,9,5.14,-5.40538876753736,-6.579425663395128,5.7191708,5.2424692,america,NASDAQ,1h,  0.4 0.4 0.36 0.31 63.58 83.69 84.3 76.89
BTCS,STRONG_SELL,0,16,10,1.15,-8.706489800812108,-6.541296556656306,1.30363663,1.18652337,america,NASDAQ,1h,  -1891.89 -1595.79 -1462.9 -1275.55 -1910.22 -1444.05 -1363.25 -3696.67
IMUX,STRONG_SELL,1,15,10,1.73,-8.23563093437987,-6.380215379620111,2.07298121,1.74271879,america,NASDAQ,1h,  -9156.69 -11030.9 -10394.32 -10257.32 -11133.97 -12345.12 -9931.4 -15588.62
