Symbol,RECOMMENDATION,BUY,SELL,NEUTRAL,ClosePrice,percInc30,percInc10,bbHigh,bbLow,screener,exchange,interval,AdoscLastN
SEZL,STRONG_BUY,17,1,8,81.08,618.4505992202753,244.49354180829363,54.076661,-20.566661,america,NASDAQ,1h, 
EDTX,STRONG_BUY,16,0,10,63.24,158.3935689063673,58.87854458811793,62.59565915,-6.32815915,america,NASDAQ,1h,  3730.76 8963.23 48404.59 58745.46 52039.94 37635.94 30898.26 24445.43
EDTXU,STRONG_BUY,16,0,10,57.22,129.55789981261435,40.641444934769595,66.69654701,-7.38152701,america,NASDAQ,1h,  10.34 72.8 154.67 441.12 501.35 447.95 453.79 418.43
SENEB,STRONG_BUY,16,1,9,49.3,29.94787060776855,23.553013766261756,44.26542134,32.30571866,america,NASDAQ,1h,  -14.56 -26.54 -29.03 -27.41 -33.8 -31.43 -28.56 -24.79
HOLO,STRONG_BUY,17,1,8,5.8101,53.79423162442032,23.173627305490797,5.61058621,2.53091379,america,NASDAQ,1h,  9687.31 13403.38 15173.83 14795.59 12256.62 10034.35 8213.02 9950.87
EDBL,STRONG_BUY,17,0,9,1.52,17.30869134614632,14.90255960570282,1.40915368,1.16088632,america,NASDAQ,1h,  6939.81 4022.45 4191.03 4953.81 5121.81 5076.19 4596.06 11544.42
MRND,STRONG_BUY,14,0,7,23.6999,10.971195612915707,13.23952410530842,23.29962723,19.16178277,america,NASDAQ,1h,  nan nan nan nan nan nan nan
ULBI,STRONG_BUY,17,1,8,10.4212,23.759724767264686,12.767318124122838,10.39861496,6.80254504,america,NASDAQ,1h,  -1401.61 5566.28 10759.71 13982.6 17584.23 17973.46 21770.25 26904.77
GLSTU,STRONG_BUY,14,0,10,12.11,14.441416929782605,10.765572121101258,11.53564996,9.82385004,america,NASDAQ,1h,  71.61 58.69 48.07 39.36 32.21 26.36 -741.74 -988.54
XBIT,STRONG_BUY,16,0,10,5.64,12.381565894730898,10.676342343120211,5.37284225,4.74442775,america,NASDAQ,1h,  569.73 830.58 861.78 792.7 689.27 577.89 454.97 997.72
DHACU,STRONG_BUY,16,0,10,12.37,13.507898754991785,10.59434851256411,12.38466479,9.93584521,america,NASDAQ,1h,  -41.03 -40.03 -35.98 -31.05 -26.22 790.47 1052.7 1064.28
NLSP,STRONG_BUY,16,0,10,0.9799,14.843021637449596,9.340653209698829,0.96736727,0.75865273,america,NASDAQ,1h,  -1658.71 1436.97 -3208.2 -8114.96 -8223.82 -7811.88 -4581.18 -5312.47
