Symbol,RECOMMENDATION,BUY,SELL,NEUTRAL,ClosePrice,percInc30,percInc10,bbHigh,bbLow,screener,exchange,interval,AdoscLastN
RCLFU,STRONG_SELL,0,19,7,7.48,-30.860241579103942,-30.593251399965666,13.29862288,8.61342712,america,NASDAQ,1h,  627.66 538.01 1568.55 1815.4 1768.53 1585.93 1236.52 981.16
LTRPB,STRONG_SELL,0,17,9,28.5001,-23.016084179590706,-21.27379111496363,43.90300423,31.55954577,america,NASDAQ,1h,  -6.66 -4.73 -3.51 -4.28 -4.21 -4.43 -4.12 -3.62
UPTDU,STRONG_SELL,0,17,9,8.21,-19.91046102702218,-19.009568905987962,11.38308533,9.10092467,america,NASDAQ,1h,  63.38 51.98 42.59 257.61 322.15 319.27 289.06 250.43
LXEH,STRONG_SELL,0,16,10,0.38,-17.070053566416533,-12.97577062245226,0.6214404,0.3402238,america,NASDAQ,1h,  -23522.62 -29536.44 -33029.46 -43435.86 -63690.18 -59185.7 -48420.76 -45402.94
JTAI,STRONG_SELL,0,16,10,3.3,-15.267873415964672,-9.741861724532157,4.14065212,3.42864788,america,NASDAQ,1h,  -2333.85 -2329.49 -2144.84 -1933.18 -1863.77 -2080.43 -1853.09 -1475.66
CACO,STRONG_SELL,1,16,9,0.577751,-7.279755134883217,-8.271986940430324,0.69729501,0.54382349,america,NASDAQ,1h,  -7279.06 -7103.64 -6704.28 -9408.2 -9659.05 -8947.22 -10396.36 -10044.06
GHRS,STRONG_SELL,0,16,10,10.5,-0.7778074919370113,-8.155848154501115,12.37019889,9.50173111,america,NASDAQ,1h,  608.73 308.39 90.4 -31.33 -733.74 -1781.97 -1792.07 -1854.95
ODDS,STRONG_SELL,1,15,8,19.16,-8.497141982969907,-7.694145804708555,22.57382381,19.70771619,america,NASDAQ,1h,  6.36 5.2 4.26 3.48 2.85 2.33 1.91 1.56
FRLN,STRONG_SELL,0,18,8,3.4,-14.025406407783052,-7.65888104291146,4.24780163,3.41969837,america,NASDAQ,1h,  -48.2 102.58 154.93 162.26 -352.53 -597.11 -699.97 -678.41
EBET,STRONG_SELL,0,16,10,0.0461,-1.0553381825518215,-7.103274559193949,0.05810778,0.03633732,america,NASDAQ,1h,  -2234656.75 -2743842.58 -2088860.9 -1715878.08 -1513927.85 -1675071.57 -1324510.16 -1177325.99
INBS,STRONG_SELL,0,17,9,1.7001,-5.821199888877771,-6.771807259307195,1.9228609,1.7145291,america,NASDAQ,1h,  478.15 1272.27 1427.38 1328.94 1159.26 1051.92 912.38 960.79
EVGRU,STRONG_SELL,0,15,9,10.0,-6.0106797226153645,-6.709978114160862,11.84575993,9.68804007,america,NASDAQ,1h,  1961.08 1610.93 1321.24 1082.61 886.58 725.78 594.02 486.12
XXII,STRONG_SELL,0,16,10,1.49,-15.393947951935331,-6.523293893273447,1.91720688,1.45611312,america,NASDAQ,1h,  771.95 1031.03 -7523.1 -12723.82 -15741.64 -8451.57 -5810.12 -5504.61
TYGO,STRONG_SELL,2,17,7,10.05,-9.031936853087913,-6.437735476669474,11.73403209,10.22696791,america,NASDAQ,1h,  -976.16 -982.03 -947.02 -129.1 200.69 -324.09 -1489.31 -2320.97
DTI,STRONG_SELL,1,16,9,3.8,-8.256142486052426,-6.424914612734582,4.40246606,3.84344394,america,NASDAQ,1h,  903.69 892.73 789.58 638.38 434.49 311.58 -3540.34 -4414.48
TRIB,STRONG_SELL,0,17,9,0.7248,-5.275712824765407,-6.225025523534896,0.81884533,0.71738877,america,NASDAQ,1h,  817.4 648.24 520.11 420.41 341.4 278.04 99.58 10.83
NXTP,STRONG_SELL,0,18,8,1.11,-4.999914414337297,-5.730882902469688,1.23902953,1.10670047,america,NASDAQ,1h,  -21.99 -8189.65 -10784.54 -10865.68 -9911.08 -8619.56 -7318.74 -6237.07
OSA,STRONG_SELL,0,16,10,1.05,-6.818793889623777,-5.699351570779356,1.16806236,1.05894764,america,NASDAQ,1h,  -682.2 -586.47 -502.26 -447.93 -384.98 -324.23 -269.9 -213.91
MRAI,STRONG_SELL,0,16,10,0.86,-10.020506640418603,-5.5619612364794335,1.00795003,0.86837997,america,NASDAQ,1h,  29.73 309.49 79.53 -493.64 -637.16 -1008.94 -1069.31 -2157.84
SJ,STRONG_SELL,0,16,10,2.94,-5.612119419276837,-5.45286149808976,3.32373704,2.88008296,america,NASDAQ,1h,  239.29 -21.99 -126.88 73.28 -282.0 -338.06 -423.81 -420.36
TGL,STRONG_SELL,0,16,10,0.3911,-10.402620064727301,-5.364531662109513,0.4685323,0.3752977,america,NASDAQ,1h,  -2057.83 -1105.44 -1405.69 -1400.73 -1280.59 -1159.89 -1005.07 -654.68
KPRX,STRONG_SELL,0,17,9,0.481,-6.754930652905273,-5.213251463332028,0.54311198,0.48607302,america,NASDAQ,1h,  -1755.24 -2163.73 -2372.77 -2242.59 -3092.32 -2625.94 -2187.52 -1221.19
FUSN,STRONG_SELL,1,17,8,2.96,-6.139015728056833,-5.137630555938358,3.25848564,2.92781436,america,NASDAQ,1h,  289.67 477.93 287.81 183.87 124.64 89.07 33.97 -1230.98
PRPH,STRONG_SELL,0,16,10,4.41,-11.512474474734873,-5.095367319665058,5.33228825,4.37797175,america,NASDAQ,1h,  -1394.85 -1031.41 -591.37 68.13 310.29 329.03 99.65 -257.47
FTCI,STRONG_SELL,0,16,10,1.91,-2.2684630773809715,-5.022376926902055,2.09420971,1.91429029,america,NASDAQ,1h,  -256.83 -5708.47 -6501.78 -10850.94 -13570.06 -19842.96 -20605.24 -35965.83
YOSH,STRONG_SELL,0,16,10,0.3962,-5.21395724240368,-4.901348951082525,0.43368416,0.39414074,america,NASDAQ,1h,  1143.0 616.72 345.36 686.59 1126.49 1237.45 1170.35 1095.68
