Symbol,RECOMMENDATION,BUY,SELL,NEUTRAL,ClosePrice,percInc30,percInc10,bbHigh,bbLow,screener,exchange,interval,AdoscLastN
INTC,STRONG_BUY,17,0,9,34.55,2.3107522429092455,1.4654488854952632,35.12731278,31.94268722,america,NASDAQ,1d,  -107622.99 -402838.43 -351189.7 -142660.61 -146292.23 -297467.98 -219989.89 102908.43
IP,STRONG_BUY,17,1,8,35.4,11.239132723498386,9.178386380458917,34.16193757,29.91306243,america,NYSE,1d,  22519.12 57951.86 89525.18 97369.45 77044.52 35134.25 24312.13 -13976.42
WDC,STRONG_BUY,17,0,9,41.68,7.69933076439473,6.628463250530842,40.44384556,36.71915444,america,NASDAQ,1d,  -26412.97 -38929.79 -12739.75 10360.78 -525.99 -30399.23 -27111.92 -13000.73
TXT,STRONG_BUY,17,0,9,76.52,13.304771864656928,11.326107514366754,72.2320895,64.4249105,america,NYSE,1d,  8590.45 29795.04 41504.98 50025.72 35775.64 32827.18 24458.03 9535.73
PNR,STRONG_BUY,17,1,8,68.81,7.548673816826465,3.51882775947405,68.55676817,62.34023183,america,NYSE,1d,  9962.0 15734.42 21127.18 25965.92 21596.88 11365.78 9953.92 6928.03
LRCX,STRONG_BUY,17,0,9,701.95,10.827794180336923,8.536325149750596,677.42992094,600.27407906,america,NASDAQ,1d,  -10385.09 8020.17 36209.31 54502.88 50254.88 33065.28 26787.53 30318.06
ALGN,STRONG_BUY,17,1,8,385.31,12.358207214300293,9.990836713663015,378.35042244,317.58657756,america,NASDAQ,1d,  8300.22 -8321.26 -20010.07 -13292.59 -17934.52 -31796.34 -30290.48 -21099.43
AVY,STRONG_BUY,17,1,8,183.48,5.880112568423314,2.977987809669173,183.68349565,167.59750435,america,NYSE,1d,  21542.09 24849.12 22212.0 21512.74 17125.37 13352.32 9548.83 2229.56
CHTR,STRONG_BUY,17,0,9,400.99,9.157182095597946,2.567316275869473,405.93871641,357.88628359,america,NASDAQ,1d,  -620.28 9692.46 12409.16 15053.4 11975.47 4769.86 2777.1 -3111.0
CMCSA,STRONG_BUY,17,0,9,45.35,8.233029181011517,5.4160855416085525,44.26329516,40.52270484,america,NASDAQ,1d,  -9956.75 233227.5 257841.53 235702.12 218394.67 105389.81 85505.9 182509.48
DD,STRONG_BUY,16,1,9,77.81,8.48227978696707,3.4459836741205407,78.10807615,68.22292385,america,NYSE,1d,  -21969.4 1008.9 18175.97 33877.59 32822.39 22287.23 15290.03 27317.57
TSCO,STRONG_BUY,16,1,9,223.59,2.6579308634946557,4.252342985032868,224.81149817,209.36450183,america,NASDAQ,1d,  12042.41 10391.21 26337.57 37216.63 29598.71 16899.0 21978.3 24055.85
APH,STRONG_BUY,16,0,10,88.77,6.020192051611545,4.01434195725534,87.77384778,82.03715222,america,NYSE,1d,  41077.19 36163.22 40609.24 49316.91 42736.14 25313.67 6999.25 9109.05
ACN,STRONG_BUY,16,1,9,318.82,2.1465011902690065,0.5658841861550599,322.53895129,304.36404871,america,NYSE,1d,  -25090.33 -25353.29 -25975.24 -22054.91 -21304.42 -22280.42 -13107.85 -6879.4
DOW,STRONG_BUY,16,0,10,54.94,3.6995092487731114,3.2862084523988386,54.48519132,52.10680868,america,NYSE,1d,  -76246.21 -26974.27 29169.18 40157.71 16285.36 10200.27 17721.66 52977.38
AKAM,STRONG_BUY,16,1,9,93.99,3.081062502172216,0.8833599879785652,95.06059821,88.67640179,america,NASDAQ,1d,  6006.59 2463.24 2827.63 2848.26 804.49 -1860.29 -1416.6 3629.54
NDSN,STRONG_BUY,16,1,9,248.1,1.9582057657139273,0.7770515908638487,250.44881516,241.53318484,america,NASDAQ,1d,  1277.29 1532.87 1672.34 1923.64 1714.27 548.43 -364.86 -791.71
ROST,STRONG_BUY,16,0,10,113.48,3.043419044540258,1.0723574049663398,114.34054821,108.24745179,america,NASDAQ,1d,  7126.8 7287.36 7222.46 9502.0 5479.9 -3143.08 -1885.8 2231.77
MU,STRONG_BUY,16,1,9,71.07,8.896731713465016,7.830493559301431,68.80422228,60.07277772,america,NASDAQ,1d,  25000.32 -303914.89 -257906.74 -104255.12 -6765.13 -70419.14 -84783.91 -78205.41
MAR,STRONG_BUY,16,0,10,195.75,5.806330724839697,1.4506273613508256,198.83497283,180.38602717,america,NASDAQ,1d,  -44663.74 -14490.52 8956.02 27020.69 27334.3 21644.38 -2861.44 7344.58
TT,STRONG_BUY,16,1,9,197.12,3.0847325281538502,0.5704023428332334,199.67111217,188.19688783,america,NYSE,1d,  5003.43 1499.09 355.45 2201.23 3567.93 4560.28 4407.77 1459.38
UPS,STRONG_BUY,16,1,9,186.52,3.232614689435678,0.4540142290106104,190.13952741,177.18747259,america,NYSE,1d,  4263.01 13380.12 26120.79 39325.58 36475.21 19355.9 5128.58 11178.24
MAS,STRONG_BUY,16,1,9,62.01,7.220048074512846,2.6111993645750573,62.83748434,54.77651566,america,NYSE,1d,  32070.81 11035.72 16648.72 25147.19 19395.15 7864.89 3969.9 -10328.14
META,STRONG_BUY,16,1,9,311.71,6.098150404705336,2.5129164761945333,319.6638949,279.0611051,america,NASDAQ,1d,  -170449.02 -863282.18 -887220.53 -972583.79 -1159365.46 -1337255.93 -1347112.22 -1238750.26
IEX,STRONG_BUY,16,1,9,218.82,3.721891471692402,3.1342791158033663,218.04974072,207.54025928,america,NYSE,1d,  7052.13 10294.64 12687.92 13218.81 10947.34 10033.51 6058.39 3881.44
L,STRONG_BUY,16,0,10,62.04,3.8169982764102457,1.7049180327868783,62.17442335,58.75657665,america,NYSE,1d,  -1020.66 1711.19 1705.21 2102.27 780.81 1784.98 1103.02 -4935.24
