Symbol,RECOMMENDATION,BUY,SELL,NEUTRAL,ClosePrice,percInc30,percInc10,bbHigh,bbLow,screener,exchange,interval,AdoscLastN
LHX,STRONG_SELL,0,17,9,178.27,-6.136632881400544,-2.498386549841925,192.37998836,178.20201164,america,NYSE,1d,  258.52 -1924.39 -1157.23 1136.32 2649.59 138.45 -4730.28 -871.37
HSIC,STRONG_SELL,0,17,9,76.27,-2.486319705490601,-0.14140197439053281,79.97352126,74.61147874,america,NASDAQ,1d,  -3342.62 -4114.21 -3817.81 -3302.74 -2648.95 -4491.09 -1407.68 -1075.1
ZBH,STRONG_SELL,0,17,9,114.85,-12.263725744573918,-4.7330701084973015,139.42601821,111.71098179,america,NYSE,1d,  -20223.12 -31759.89 -52344.12 -56943.05 -52907.44 -45312.4 -38308.93 -26221.35
DVN,STRONG_SELL,0,17,9,49.34,-3.1200298454711373,-0.8181397873238581,53.6271373,47.8238627,america,NYSE,1d,  -4819.44 -22559.26 14803.77 56659.43 81214.74 74425.76 73526.29 109533.96
MKC,STRONG_SELL,0,17,9,81.65,-5.8728139746255295,-3.805372290292169,90.84806559,82.14193441,america,NYSE,1d,  317.51 -2711.89 -6187.95 -9531.78 -7521.37 -8737.89 -11931.02 -11054.47
PODD,STRONG_SELL,1,17,8,188.52,-25.42372434462024,-10.598311269819817,297.1882208,176.8632792,america,NASDAQ,1d,  5536.13 -509.7 -11405.71 -20604.78 -20292.28 -19946.61 -19716.43 -21720.57
SYY,STRONG_SELL,2,17,7,70.32,-4.328266149563191,-1.3454173038342248,77.08407844,69.04292156,america,NYSE,1d,  3627.95 10535.92 11908.57 11556.1 11676.05 8040.42 12325.71 41214.4
DOW,STRONG_SELL,0,16,10,53.4,-1.5317286712603106,-1.639344262295083,56.58864622,52.98435378,america,NYSE,1d,  -29963.94 -41995.37 -26559.01 -15715.68 -11735.11 -21192.23 -27216.84 -13824.09
DG,STRONG_SELL,1,16,9,158.51,-4.112710365979751,-2.50578162672835,171.88513601,158.65986399,america,NYSE,1d,  10279.67 2762.62 -5379.36 -4190.21 836.07 1158.67 5429.32 -6631.04
XEL,STRONG_SELL,0,16,10,57.52,-6.362935876498327,-1.63822292144053,63.75007979,56.22992021,america,NASDAQ,1d,  18162.12 -81809.9 -97844.5 -84019.72 -76124.76 -59668.24 -45383.93 6349.99
CNP,STRONG_SELL,0,16,10,28.16,-4.296897115119776,-0.7472155646411949,30.35316863,27.52583137,america,NYSE,1d,  -11832.56 -39397.09 -41534.1 -34180.61 -21493.94 -13704.79 -21426.34 531.68
BAX,STRONG_SELL,0,16,10,41.41,-7.618516452872299,-1.8859877742501254,46.1968759,40.3871241,america,NYSE,1d,  10861.62 -236.22 -10526.29 -15751.52 -14841.63 -18992.92 -10219.06 5275.95
ELV,STRONG_SELL,1,16,9,459.84,-0.7461022102414887,-1.23944666255737,475.02212375,457.99587625,america,NYSE,1d,  -1279.42 -5009.92 -4883.05 -3778.79 -2369.18 -2260.38 -1903.04 1558.53
STLD,STRONG_SELL,1,16,9,102.89,-1.7093472733143642,-1.4831624201687106,107.57258115,101.61141885,america,NASDAQ,1d,  -2087.83 -6628.83 -7974.47 -7256.22 -6604.19 -10932.76 -11907.16 -20509.57
TGT,STRONG_SELL,1,16,9,123.21,-6.261174330776328,-3.926078989434288,137.38744105,123.98555895,america,NYSE,1d,  19518.93 7934.01 -8856.72 8551.52 23308.36 10047.04 -23628.06 -15229.66
D,STRONG_SELL,1,16,9,47.8,-6.092833187479897,-1.3578769243468543,53.83963598,45.92836402,america,NYSE,1d,  -10422.39 -18491.44 -19508.34 -8152.95 1972.3 5935.15 15463.89 35236.35
EMN,STRONG_SELL,1,16,9,82.06,-3.805500955529112,-1.3535931526939606,87.27805958,81.03394042,america,NYSE,1d,  -152.5 -3264.23 -2963.3 -2486.1 -1898.98 -566.36 71.63 3151.04
DXCM,STRONG_SELL,1,16,9,104.38,-14.039831448290201,-4.787966687646531,131.871584,99.420416,america,NASDAQ,1d,  24110.75 -689.81 -5976.42 -8157.47 -4783.32 -10048.96 -17169.39 -20935.42
