Symbol,RECOMMENDATION,BUY,SELL,NEUTRAL,ClosePrice,percInc30,percInc10,bbHigh,bbLow,screener,exchange,interval,AdoscLastN
REGN,NEUTRAL,11,8,7,739.07,1.0448976025007113,0.7405569784512096,750.92605164,696.84894836,america,NASDAQ,1d, 
DHR,BUY,14,2,10,255.0,4.924022663588914,0.07495810587539609,265.86547623,226.24352377,america,NYSE,1d, 
ITW,SELL,8,9,9,251.85,0.5262142496886355,-1.7189908489590522,262.45413596,242.56586404,america,NYSE,1d, 
J,BUY,15,1,10,126.55,4.08013882834797,0.9412140065406334,127.92324378,120.28075622,america,NYSE,1d, 
CARR,BUY,15,3,8,59.8,14.18823873144197,6.616270569986995,60.12527194,48.14172806,america,NYSE,1d, 
L,STRONG_BUY,16,1,9,62.96,4.640340380268597,1.8918612742956213,62.96493564,58.92506436,america,NYSE,1d,  -3636.08 -3291.86 -2452.2 -1242.42 412.49 590.5 1250.41 3316.81
RTX,SELL,2,14,10,87.97,-7.500613364673541,-3.1103376875123843,103.3000911,84.6399089,america,NYSE,1d, 
TSLA,SELL,6,11,9,261.07,-2.7439225052961973,-1.9830900462545742,293.55721209,251.57878791,america,NASDAQ,1d, 
SPGI,SELL,8,9,9,398.31,-1.3160828696156273,-3.533776861765901,435.34377488,383.24822512,america,NYSE,1d, 
MLM,BUY,15,2,9,453.28,0.6724377523171938,-0.13153343306667864,465.05292721,438.89707279,america,NYSE,1d, 
CL,BUY,12,4,10,76.64,0.033936356279525626,-0.405447551720556,78.06661121,74.83838879,america,NYSE,1d, 
JKHY,STRONG_BUY,16,1,9,171.63,2.6392903398257914,0.3214870236146794,175.14256824,161.73443176,america,NASDAQ,1d,  6705.67 10963.16 11925.73 11673.17 11345.63 11038.5 9697.37 10204.71
BAC,BUY,12,4,10,31.62,5.895354926277889,-1.1504314117794223,33.57304128,27.59595872,america,NYSE,1d, 
PTC,BUY,14,2,10,146.51,2.6346944637090246,0.9348756140072965,149.82855423,137.29344577,america,NASDAQ,1d, 
IR,BUY,16,2,8,66.01,1.6513271649401702,1.4040801278112411,67.25466769,63.46333231,america,NYSE,1d, 
FAST,BUY,15,2,9,58.34,0.6515725787811419,0.2543304921638736,59.32426427,56.73573573,america,NASDAQ,1d, 
SCHW,BUY,12,4,10,65.72,9.577773201933113,-0.8269451318887064,71.02968873,53.87431127,america,NYSE,1d, 
FE,STRONG_SELL,1,15,10,38.99,-0.6143101119013039,-1.5304576219820092,40.29973329,38.50026671,america,NYSE,1d,  20502.38 14196.96 1733.17 -227.09 -2149.78 -11692.95 -27867.07 -36740.94
KR,BUY,15,2,9,48.54,2.7424805869305118,0.5447728732108459,49.24516543,45.98083457,america,NYSE,1d, 
GE,BUY,13,3,10,113.22,3.183041603222023,0.11849388960614249,116.5039718,106.6820282,america,NYSE,1d, 
TRMB,BUY,13,3,10,53.53,1.8054798277056534,0.38443506797935356,54.54981474,51.71618526,america,NASDAQ,1d, 
SNPS,BUY,14,2,10,453.51,2.693290098184846,0.23383695950067818,466.68791216,430.56108784,america,NASDAQ,1d, 
AAL,SELL,4,12,10,16.23,-7.124463519313309,-4.5799282732671,19.39223091,16.01076909,america,NASDAQ,1d, 
OKE,BUY,13,3,10,66.6,5.2975525489226385,-0.20677874674099428,69.13207395,60.76492605,america,NYSE,1d, 
WRB,BUY,12,4,10,61.69,2.7652840246543207,0.15748542853894776,62.82724505,58.47375495,america,NYSE,1d, 
XRAY,BUY,14,3,9,41.37,3.237451953681031,1.3722126929673948,42.06596955,38.80703045,america,NASDAQ,1d, 
HLT,BUY,14,4,8,154.57,4.739252995066948,1.7731453742172931,155.90214565,145.27385435,america,NYSE,1d, 
WBA,STRONG_SELL,1,16,9,29.57,-1.5427302887394774,-2.3383314617874333,31.08454974,28.77245026,america,NASDAQ,1d,  28705.75 8282.81 10368.56 8480.88 8182.8 -25227.18 -38091.06 18718.38
AWK,STRONG_SELL,1,16,9,144.46,-0.33460967953359955,-1.7833468177831548,150.23146061,140.37453939,america,NYSE,1d,  4516.85 271.6 -238.45 -384.62 -7648.84 -12000.12 -14947.64 -20404.74
PCAR,BUY,16,3,7,86.43,2.754220500228044,-0.49734060924222945,90.31733826,81.72366174,america,NASDAQ,1d, 
