Symbol,RECOMMENDATION,BUY,SELL,NEUTRAL,ClosePrice,percInc30,percInc10,bbHigh,bbLow,screener,exchange,interval
NCRA,BUY,11,6,9,1.205,5.002047452786712,3.822923756925121,1.22141111,1.07986889,america,NASDAQ,Interval.INTERVAL_1_DAY
RPAY,SELL,2,14,10,6.27,-1.1482775316752765,-2.23746784127232,6.99298608,5.96451392,america,NASDAQ,Interval.INTERVAL_1_DAY
VCYT,BUY,9,7,10,22.64,2.2537374102344216,-0.2950631963711601,23.53518254,21.02181746,america,NASDAQ,Interval.INTERVAL_1_DAY
BRQS,SELL,3,14,9,0.2103,-13.005708612558948,-11.40786923919454,0.27755521,0.20851479,america,NASDAQ,Interval.INTERVAL_1_DAY
FGMC,NEUTRAL,9,6,9,10.44,0.15509332784007768,-0.0670048817842428,10.46652611,10.39947389,america,NASDAQ,Interval.INTERVAL_1_DAY
PCRX,BUY,14,2,10,45.31,7.545512805297761,0.5972336315801243,47.26106185,39.38693815,america,NASDAQ,Interval.INTERVAL_1_DAY
PYPD,SELL,1,15,10,0.4201,-5.902812231424875,-2.5120380576666577,0.45953046,0.40566454,america,NASDAQ,Interval.INTERVAL_1_DAY
ALKS,NEUTRAL,11,7,8,28.55,0.8679472048882957,-2.0011670614080117,30.14521603,28.03878397,america,NASDAQ,Interval.INTERVAL_1_DAY
TRUE,NEUTRAL,10,7,9,2.57,7.038733860891284,-1.9458222052651735,2.84680453,2.10519547,america,NASDAQ,Interval.INTERVAL_1_DAY
LVAC,BUY,13,3,8,10.425,0.1097926422552149,0.06527039219828623,10.45094641,10.39225359,america,NASDAQ,Interval.INTERVAL_1_DAY
ASPS,SELL,3,13,10,3.74,-10.146552342553491,-1.31926121372031,4.49406862,3.46293138,america,NASDAQ,Interval.INTERVAL_1_DAY
ODDS,BUY,10,5,9,19.405,2.06695444936706,-0.6513340521456286,19.94651296,18.85335704,america,NASDAQ,Interval.INTERVAL_1_DAY
UFCS,SELL,2,15,9,26.9,-0.028492511424445865,-0.7270177510425526,28.2277482,26.2532518,america,NASDAQ,Interval.INTERVAL_1_DAY
OB,SELL,3,14,9,3.83,-8.285440613026822,-6.699147381242398,4.68172066,3.77627934,america,NASDAQ,Interval.INTERVAL_1_DAY
PBBK,SELL,5,16,5,12.65,-7.028088541597768,-1.9858518707917767,14.27467654,12.37715346,america,NASDAQ,Interval.INTERVAL_1_DAY
LIBYU,BUY,11,6,7,10.64,2.222506852551561,-0.028187541106831304,10.83104195,10.25895805,america,NASDAQ,Interval.INTERVAL_1_DAY
CAMP,SELL,2,14,10,2.54,-16.04230929489016,-0.6648416112631992,3.74809774,2.08290226,america,NASDAQ,Interval.INTERVAL_1_DAY
IQ,SELL,7,12,7,6.1,-9.625166719529275,-5.660377358490578,7.52155251,5.80744749,america,NASDAQ,Interval.INTERVAL_1_DAY
CARM,NEUTRAL,7,8,11,4.15,21.831881908045702,0.0,4.77817061,2.41582939,america,NASDAQ,Interval.INTERVAL_1_DAY
SNRHU,SELL,9,9,8,10.03,0.448596924233712,-1.3862943663356617,10.40909515,9.74690485,america,NASDAQ,Interval.INTERVAL_1_DAY
SAMAU,STRONG_BUY,16,0,10,10.7,3.7929030874993543,2.7759100950917315,10.57043404,10.13252596,america,NASDAQ,Interval.INTERVAL_1_DAY
DXLG,SELL,5,14,7,4.39,-13.349562414204598,-5.224525043177891,5.86246747,4.13353253,america,NASDAQ,Interval.INTERVAL_1_DAY
CTIB,NEUTRAL,7,9,10,1.32,-5.6221547358663315,6.752068321323733,1.66225997,1.07064003,america,NASDAQ,Interval.INTERVAL_1_DAY
INSE,BUY,11,5,10,12.8,2.4191182080870846,0.8350401764613196,13.24157956,11.60742044,america,NASDAQ,Interval.INTERVAL_1_DAY
EVAX,SELL,2,14,10,1.26,1.4087224877632991,-10.638297872340416,1.64405428,0.96694572,america,NASDAQ,Interval.INTERVAL_1_DAY
FTGC,SELL,5,14,7,23.11,-1.221023850396648,-1.5548455804047023,24.30188918,22.91911082,america,NASDAQ,Interval.INTERVAL_1_DAY
OPK,BUY,14,3,9,1.47,3.3634123910385227,2.47472987103518,1.5611629,1.3603371,america,NASDAQ,Interval.INTERVAL_1_DAY
GECCO,STRONG_SELL,1,17,8,23.69,-0.9493365544124117,-0.55010192670008,24.04919319,23.70284681,america,NASDAQ,Interval.INTERVAL_1_DAY
OCAX,STRONG_BUY,15,1,10,10.36,0.42976698858376494,-0.009651578033015085,10.40124132,10.25725868,america,NASDAQ,Interval.INTERVAL_1_DAY
YS,NEUTRAL,7,9,10,1.97,-31.354818926556632,20.195241000610125,1.83317462,1.36232538,america,NASDAQ,Interval.INTERVAL_1_DAY
ADBE,STRONG_BUY,16,1,9,377.56,0.6857991146452207,0.616125868758786,387.8404534,366.2725466,america,NASDAQ,Interval.INTERVAL_1_DAY
BMRA,SELL,4,14,8,1.33,-24.573385794036923,-11.215545957637133,2.04424146,1.23266854,america,NASDAQ,Interval.INTERVAL_1_DAY
BCEL,BUY,9,8,9,1.0,-5.575157156223241,7.07211306815141,1.09305396,0.84357604,america,NASDAQ,Interval.INTERVAL_1_DAY
OCEA,BUY,11,6,9,6.78,4.538212414792525,0.3106968486462449,7.82157378,4.49042622,america,NASDAQ,Interval.INTERVAL_1_DAY
HSTO,STRONG_SELL,1,16,9,0.8306,-25.2288776372923,-15.809319156268685,1.28432075,0.82824925,america,NASDAQ,Interval.INTERVAL_1_DAY
MSGM,SELL,2,16,8,4.87,-21.386101278692507,-15.030969205269116,6.96318826,4.73631174,america,NASDAQ,Interval.INTERVAL_1_DAY
ALKT,SELL,3,14,9,11.99,-2.525608394524525,-2.733836294313292,12.93332935,11.81867065,america,NASDAQ,Interval.INTERVAL_1_DAY
QDRO,BUY,14,2,10,10.25,0.2887337104189811,0.17102369899828318,10.25629978,10.20117022,america,NASDAQ,Interval.INTERVAL_1_DAY
TANH,BUY,9,7,10,1.98,0.5443613909652356,3.629654829508283,2.1287977,1.7356723,america,NASDAQ,Interval.INTERVAL_1_DAY
IVDA,SELL,7,13,6,1.2,-8.652858023704582,-16.376306620209064,1.7463925,1.0246075,america,NASDAQ,Interval.INTERVAL_1_DAY
ZBRA,SELL,2,14,10,288.03,-2.6526639309057742,-0.5809197378095092,317.39187085,277.86312915,america,NASDAQ,Interval.INTERVAL_1_DAY
PTSI,SELL,1,15,10,22.45,-15.317637433164762,-9.208557447324793,29.50143707,22.60056293,america,NASDAQ,Interval.INTERVAL_1_DAY
BACK,SELL,2,14,10,0.1335,-10.560751927482784,-5.593663814440276,0.16793319,0.11416681,america,NASDAQ,Interval.INTERVAL_1_DAY
ALPAU,BUY,12,5,7,10.19,0.6541035067929073,-0.4388896053901874,10.4602158,9.8810542,america,NASDAQ,Interval.INTERVAL_1_DAY
NEXI,SELL,1,15,10,0.3611,-8.873727982854234,-6.7479275882550525,0.42363099,0.36289901,america,NASDAQ,Interval.INTERVAL_1_DAY
ORGS,STRONG_SELL,1,16,9,1.1,-9.70852294167301,-1.3010318528488085,1.22729352,1.06253648,america,NASDAQ,Interval.INTERVAL_1_DAY
BJK,STRONG_BUY,16,0,10,46.64,5.1546284833316065,1.5942277749557263,46.78525818,43.79193182,america,NASDAQ,Interval.INTERVAL_1_DAY
BRZE,STRONG_SELL,1,16,9,29.4,-9.11151871448564,-7.16180371352786,36.40206876,29.46893124,america,NASDAQ,Interval.INTERVAL_1_DAY
ACRS,SELL,4,12,10,8.89,2.691463555504228,-2.350615114235495,9.60087792,8.28012208,america,NASDAQ,Interval.INTERVAL_1_DAY
DCGO,BUY,14,3,9,8.5,2.7707808978421298,4.6347017910999,8.69039486,7.68410514,america,NASDAQ,Interval.INTERVAL_1_DAY
PAYX,BUY,9,7,10,109.86,0.2973192606366126,0.8685752061259393,112.76141341,105.94758659,america,NASDAQ,Interval.INTERVAL_1_DAY
IGIB,STRONG_BUY,16,1,9,51.5,0.6711409330376625,0.5879021074630515,51.69939347,50.90860653,america,NASDAQ,Interval.INTERVAL_1_DAY
