Symbol,RECOMMENDATION,BUY,SELL,NEUTRAL,ClosePrice,percInc30,percInc10,bbHigh,bbLow,screener,exchange,interval,AdoscLastN
JOAN,BUY,12,5,9,1.03,1.943861593887334,0.8893938800297718,1.05154363,0.96924637,america,NASDAQ,1h, 
AMPL,BUY,13,4,9,10.91,-0.3555901641424981,0.6429711354851975,11.1610302,10.6812698,america,NASDAQ,1h, 
GSMG,BUY,11,5,10,0.5769,0.16155891040543224,1.2282856641516133,0.5919311,0.5537844,america,NASDAQ,1h, 
VTVT,SELL,4,13,9,0.7613,0.8026074945341861,-1.5479716011225122,0.79505237,0.72784283,america,NASDAQ,1h, 
REG,SELL,6,10,10,60.67,-0.11321709967147342,-0.21053324122503625,61.4010985,60.1137015,america,NASDAQ,1h, 
LYRA,BUY,14,3,9,3.65,17.60536151565924,6.711417244565013,3.79926657,2.57848343,america,NASDAQ,1h, 
ACAX,STRONG_BUY,17,0,9,10.9,5.398260346789854,4.676846249879958,10.61554774,10.10763226,america,NASDAQ,1h,  9575.76 8307.02 6873.71 5662.48 4652.2 3696.98 2970.12 2402.76
EDSA,SELL,2,14,10,0.8594,-0.29737578029281053,-0.049998261284002865,0.87855663,0.84205317,america,NASDAQ,1h, 
TILE,BUY,14,4,8,8.415,2.0696960340314376,0.881136486243463,8.45186287,8.11063713,america,NASDAQ,1h, 
GPAC,NEUTRAL,8,9,9,10.52,-0.17396802156380886,-0.30326004548901153,10.6075831,10.4909169,america,NASDAQ,1h, 
QUBT,NEUTRAL,7,10,9,1.58,-4.64618523454989,-1.6691353107379712,1.78129192,1.52065808,america,NASDAQ,1h, 
RYAAY,SELL,3,13,10,106.03,-0.6724167310629952,-0.15017496555920218,108.22953558,104.83233442,america,NASDAQ,1h, 
IGIC,SELL,1,15,10,8.69,-1.6829302786027398,-0.9968669894616937,8.96496428,8.65003572,america,NASDAQ,1h, 
PARA,STRONG_SELL,1,16,9,15.67,-3.984215892334916,-1.5848791164620764,16.73127432,15.55806568,america,NASDAQ,1h,  -87838.7 -178993.41 -236320.21 -220877.38 -199598.77 -172748.54 -128833.21 -198310.82
QQQM,BUY,10,8,8,150.96,-0.04013139089848039,-0.011915644127995506,153.11836404,149.97763596,america,NASDAQ,1h, 
CARG,STRONG_BUY,16,0,10,22.08,0.26185540440187083,0.7299270072992528,22.09393045,21.63656955,america,NASDAQ,1h,  -16163.29 -9463.68 -14427.08 -8208.06 -11525.45 -5622.23 6170.65 17780.87
SYNH,BUY,14,3,9,41.78,0.07665037846125244,0.041903621670158486,41.86243236,41.67306764,america,NASDAQ,1h, 
PXLW,SELL,3,13,10,1.79,-1.6577173999137784,-0.39120103726703803,1.869774,1.768246,america,NASDAQ,1h, 
CLIN,NEUTRAL,11,8,7,10.42,0.025182251569688674,-0.2278864015013653,10.51003677,10.35345323,america,NASDAQ,1h, 
GVP,BUY,12,5,9,0.4495,1.9428030342804732,4.920233779553612,0.46424862,0.40799198,america,NASDAQ,1h, 
UCTT,BUY,15,2,9,38.05,0.8133958614842385,-0.039406278733750355,38.45493246,37.25206754,america,NASDAQ,1h, 
POWL,NEUTRAL,10,7,9,59.19,1.4051208016358459,0.5418627167875627,60.87895369,55.35104631,america,NASDAQ,1h, 
SCAQU,SELL,4,12,10,10.165,-0.8670516795331764,-2.2682608846140653,10.74806047,9.89065953,america,NASDAQ,1h, 
BSJO,SELL,5,13,8,22.42,-0.2793394092283563,-0.09865369345347119,22.59946703,22.36449297,america,NASDAQ,1h, 
PFIS,SELL,4,13,9,42.1,-2.717231735817478,-3.0283039880704052,44.98164744,41.81207256,america,NASDAQ,1h, 
SIEB,SELL,4,12,10,2.46,-2.99863054176366,-0.71998191973654,2.64127988,2.38756012,america,NASDAQ,1h, 
BGNE,SELL,3,14,9,191.7,-4.462249217067864,-0.7625289248497467,207.91032379,186.57017621,america,NASDAQ,1h, 
AMLI,BUY,14,4,8,2.21,4.819814264980707,2.4623416122287125,2.2348541,1.9732859,america,NASDAQ,1h, 
CTHR,SELL,2,14,10,0.9003,-1.9768673463931634,-2.146622466170328,0.95116855,0.88124145,america,NASDAQ,1h, 
FTAIM,SELL,2,15,9,22.77,-0.053974672431493786,-0.2453342679400663,23.12904166,22.45695834,america,NASDAQ,1h, 
WCLD,SELL,5,11,10,32.01,-1.2218638506252262,-0.33098457792462455,33.11803725,31.69566275,america,NASDAQ,1h, 
