Symbol,RECOMMENDATION,BUY,SELL,NEUTRAL,ClosePrice,percInc30,percInc10,bbHigh,bbLow,screener,exchange,interval,AdoscLastN
UAL,STRONG_BUY,17,0,9,48.01,5.787345621205958,1.402441600135191,49.05200191,43.27799809,america,NASDAQ,1d,  -55717.83 -70280.85 -90172.44 -104281.8 -113925.08 -86577.19 -77584.95 -66853.12
AMZN,STRONG_BUY,17,0,9,121.66,10.987278333001754,4.2662964296120975,122.92670459,101.07679541,america,NASDAQ,1d,  965585.04 862678.84 738801.89 641963.08 399042.29 421408.8 359324.1 341880.18
NFLX,STRONG_BUY,17,1,8,392.98,15.723717402673046,8.406182501303434,388.10442422,304.37257578,america,NASDAQ,1d,  157786.51 75896.73 54682.46 -829.23 -34418.99 -21641.4 -11262.02 -4865.72
ANSS,STRONG_BUY,17,1,8,329.16,6.724942367363894,7.14529847758368,320.31204734,286.66695266,america,NASDAQ,1d,  8890.57 5511.28 8703.13 7386.66 7158.66 8493.02 10994.57 10711.78
CRM,STRONG_BUY,17,1,8,218.87,8.352736745996197,3.838125059303536,219.40979138,190.26620862,america,NYSE,1d,  58431.41 -75499.18 -85664.85 -83943.96 -65798.7 -37999.09 4516.8 40557.43
NWS,STRONG_BUY,16,1,9,18.92,6.371814073018783,1.6275447171939703,19.56947786,16.40752214,america,NASDAQ,1d,  9367.93 10650.3 10206.7 9639.32 8049.58 8238.99 11389.79 12591.86
KMX,STRONG_BUY,16,1,9,73.96,4.608073321829636,3.052850116345482,74.39265989,68.82634011,america,NYSE,1d,  -3632.47 -8169.13 -11442.43 -12747.98 -13887.87 -9995.92 -1268.41 -4390.7
COST,STRONG_BUY,16,1,9,508.03,2.0066822478696196,2.6922789264843345,510.1477441,482.7412559,america,NASDAQ,1d,  140281.74 76501.11 39673.92 29085.32 14333.16 15369.38 17498.12 15230.71
TSLA,STRONG_BUY,16,0,10,201.16,16.996795327669673,9.698704839809125,197.15722115,153.02477885,america,NASDAQ,1d,  1849831.19 990009.53 384044.69 -221270.75 -642498.68 -411105.08 -239659.49 2815.17
NOW,STRONG_BUY,16,1,9,549.12,16.079689226086643,7.374361320826665,552.95203675,403.60496325,america,NYSE,1d,  7384.23 -4865.93 -1710.81 -5805.47 -8447.91 -4753.12 -5768.86 -6697.15
STZ,STRONG_BUY,16,0,10,237.06,3.571964297885131,1.7162962327297748,238.23768636,221.09331364,america,NYSE,1d,  -5622.0 -12545.07 -8254.83 -10449.88 -9960.69 -13831.18 -18570.25 -4078.21
CDNS,STRONG_BUY,16,1,9,234.75,11.842345566853012,9.247530005258781,228.44266148,190.97633852,america,NASDAQ,1d,  -5533.4 -26514.66 -22480.84 -25098.71 -16828.64 -6841.91 5177.37 5925.33
LOW,STRONG_BUY,16,1,9,205.7,0.04766490598339601,0.41297704706767036,209.30697033,199.89602967,america,NYSE,1d,  28508.98 20053.51 11981.93 11911.82 4956.23 7307.23 12530.86 13801.8
ORCL,STRONG_BUY,16,1,9,105.15,7.663218391053064,3.560348648249388,105.39449453,92.59250547,america,NYSE,1d,  71333.35 -20567.23 -69099.77 -78925.71 -73962.59 -53276.31 -8181.2 -93556.09
GOOG,STRONG_BUY,16,1,9,124.64,9.995396269946326,1.0408897824183612,131.77365718,101.95884282,america,NASDAQ,1d,  17163.28 -214127.98 -187018.38 -184937.33 -279936.65 -188305.14 -131854.36 -87300.69
ATVI,STRONG_BUY,16,1,9,80.02,1.2727648612814022,2.031188238744292,80.23093645,74.35806355,america,NASDAQ,1d,  60270.91 139850.71 190448.26 183808.37 171383.89 154359.96 133362.9 129612.68
ANET,STRONG_BUY,16,1,9,174.42,17.982354278106484,17.42528797538658,164.84515098,121.13984902,america,NYSE,1d,  153192.91 166895.47 170261.07 168190.21 135009.46 107908.06 92297.95 50422.7
CPRT,STRONG_BUY,16,0,10,88.6,8.733002798095328,2.2870270956718315,91.16697291,75.21902709,america,NASDAQ,1d,  4776.69 -1581.43 -3046.28 -3991.88 -5274.15 -1802.28 512.92 4862.83
AKAM,STRONG_BUY,16,1,9,92.11,10.229969878124749,4.310110527269444,93.70848747,75.99051253,america,NASDAQ,1d,  1228.32 -4917.58 -5342.83 -4417.27 -3009.18 2513.03 7330.57 761.64
PWR,STRONG_BUY,16,0,10,181.17,6.699883388105562,5.624318604502008,177.83305505,164.12194495,america,NYSE,1d,  5232.47 4864.12 6701.41 10835.65 14570.69 23787.57 31265.93 25719.57
IPG,STRONG_BUY,16,0,10,38.28,4.023623625792453,1.1761596405444692,39.34968851,34.17731149,america,NYSE,1d,  -22301.66 -3362.22 3503.98 -8347.71 -28044.48 -20174.26 -2075.33 -17289.5
SNPS,STRONG_BUY,16,0,10,464.83,20.9560322309938,13.253012048192758,446.71695119,333.10804881,america,NASDAQ,1d,  9324.96 6924.94 10714.88 7605.84 8384.91 10607.96 15819.69 20233.57
AAL,STRONG_BUY,15,2,9,14.62,4.925719455293958,1.1204869276524931,15.0413172,13.4646828,america,NASDAQ,1d,  221441.8 89872.16 18649.39 -32940.78 -60707.84 1550.98 10016.46 -130880.78
FSLR,STRONG_BUY,15,3,8,202.4,1.7683763820939902,-0.7166647863004556,228.89074098,162.32925902,america,NASDAQ,1d,  -3244.16 -13790.32 -26391.29 -30069.35 -34381.83 -25852.0 -24567.1 -21450.85
