Symbol,RECOMMENDATION,BUY,SELL,NEUTRAL,ClosePrice,percInc30,percInc10,bbHigh,bbLow,screener,exchange,interval
STX,STRONG_SELL,0,17,9,57.08,-9.465803832001015,-11.05986475116083,68.60058428,59.22941572,america,NASDAQ,Interval.INTERVAL_1_DAY
T,STRONG_SELL,0,17,9,17.65,-7.132960361447829,-9.73252186365265,20.5121851,18.1308149,america,NYSE,Interval.INTERVAL_1_DAY
TGT,STRONG_SELL,0,17,9,160.28,-0.9139147885408079,-2.2581609069232798,170.0434653,155.2245347,america,NYSE,Interval.INTERVAL_1_DAY
FFIV,STRONG_SELL,0,17,9,134.16,-5.7114744903314545,-6.544529971091222,150.33369308,136.16430692,america,NASDAQ,Interval.INTERVAL_1_DAY
VZ,STRONG_SELL,0,17,9,37.19,-2.632084190270362,-4.692345147484701,40.37507051,37.25492949,america,NYSE,Interval.INTERVAL_1_DAY
LYV,STRONG_SELL,0,17,9,66.88,-1.872175597159469,-2.9613615588862814,71.29583917,65.77916083,america,NYSE,Interval.INTERVAL_1_DAY
NXPI,STRONG_SELL,1,16,9,169.62,-3.6876577453872272,-1.4742271634196413,184.38932278,166.19017722,america,NASDAQ,Interval.INTERVAL_1_DAY
NTAP,STRONG_SELL,1,16,9,63.36,-0.18641530706993592,-3.9068187333171664,68.63354396,59.67145604,america,NASDAQ,Interval.INTERVAL_1_DAY
NCLH,STRONG_SELL,1,16,9,12.64,-2.9732357358817865,-2.836497809209007,13.68644883,12.23555117,america,NYSE,Interval.INTERVAL_1_DAY
IBM,STRONG_SELL,1,16,9,126.36,-0.9720455249848357,-1.6508277488500198,133.45650918,124.33749082,america,NYSE,Interval.INTERVAL_1_DAY
HUM,STRONG_SELL,0,16,10,490.31,-2.2995567729176827,-5.421149891785319,541.73784374,474.03015626,america,NYSE,Interval.INTERVAL_1_DAY
LNC,STRONG_SELL,1,16,9,21.06,-3.4210767678620613,-0.29825308904986514,22.4620053,20.0569947,america,NYSE,Interval.INTERVAL_1_DAY
F,STRONG_SELL,0,16,10,11.87,-2.065399714547283,-5.093147837211163,13.21322684,11.37577316,america,NYSE,Interval.INTERVAL_1_DAY
KEY,STRONG_SELL,1,16,9,12.04,-2.396843866728787,-0.9298115691598952,12.80807811,11.46692189,america,NYSE,Interval.INTERVAL_1_DAY
VLO,STRONG_SELL,1,16,9,122.95,-6.453052795793312,-5.848208474044114,141.53693929,123.26606071,america,NYSE,Interval.INTERVAL_1_DAY
IT,STRONG_SELL,1,16,9,304.14,-3.4156286695655353,-3.4301445023385213,326.31846245,304.98653755,america,NYSE,Interval.INTERVAL_1_DAY
WDC,STRONG_SELL,0,16,10,33.32,-7.0649596965386365,-7.848885447203941,38.74267185,33.42532815,america,NASDAQ,Interval.INTERVAL_1_DAY
CVS,STRONG_SELL,1,16,9,73.25,-2.6064680785267313,-2.8913841789184715,77.90049411,72.08150589,america,NYSE,Interval.INTERVAL_1_DAY
ADP,STRONG_SELL,1,16,9,215.62,-0.07908899519783574,-0.279339943762011,220.94589012,211.50810988,america,NASDAQ,Interval.INTERVAL_1_DAY
HPE,STRONG_SELL,0,16,10,14.54,-3.948208683868458,-7.400331168004087,16.8086024,14.2913976,america,NYSE,Interval.INTERVAL_1_DAY
CCI,STRONG_SELL,0,16,10,126.93,-3.078508980921171,-4.200881536046381,137.50236442,125.50763558,america,NYSE,Interval.INTERVAL_1_DAY
MOS,STRONG_SELL,1,16,9,44.82,-1.7622304050499764,-2.552506848719389,48.2957048,42.4652952,america,NYSE,Interval.INTERVAL_1_DAY
TSLA,STRONG_SELL,0,16,10,162.99,-12.318170080908928,-10.579186165806234,204.31041134,171.27458866,america,NASDAQ,Interval.INTERVAL_1_DAY
ELV,STRONG_SELL,0,16,10,454.93,-3.0047566963667123,-5.447675421550031,502.33647465,442.50452535,america,NYSE,Interval.INTERVAL_1_DAY
PFE,STRONG_SELL,1,16,9,39.85,-1.8247216189415667,-3.0106846447781663,42.07233872,39.61566128,america,NYSE,Interval.INTERVAL_1_DAY
CHTR,STRONG_SELL,0,16,10,336.0,-2.92084967277124,-3.009869323118579,359.30298828,336.50801172,america,NASDAQ,Interval.INTERVAL_1_DAY
