Symbol,RECOMMENDATION,BUY,SELL,NEUTRAL,ClosePrice,percInc30,percInc10,bbHigh,bbLow,screener,exchange,interval,AdoscLastN
EMN,STRONG_SELL,0,17,9,79.35,-2.980481983714725,-1.7142715584512018,84.35179067,78.36620933,america,NYSE,1d,  3577.0 1727.15 859.87 2144.94 1656.6 2597.93 4780.71 412.56
IP,STRONG_SELL,1,17,8,31.89,-8.210845463003139,-1.7287602847369783,37.96635362,30.47764638,america,NYSE,1d,  -24526.76 -42805.24 -32851.34 -38101.04 -43896.54 -32144.24 -12876.41 -30446.22
DFS,STRONG_SELL,0,17,9,95.35,-4.311581958336376,-2.0393486412903883,108.11613358,92.40486642,america,NYSE,1d,  -942.84 -2230.55 -29.13 -1022.05 -4113.26 -3911.41 -1517.72 -3949.24
SYY,STRONG_SELL,0,17,9,73.39,-3.346034983522415,-3.119348408643887,77.17545955,73.31254045,america,NYSE,1d,  941.85 -7758.9 -15716.63 -24209.83 -29022.44 -29347.37 -28763.78 -49533.92
PYPL,STRONG_SELL,2,17,7,63.38,-14.077133550727297,-12.05467096818954,80.16702323,66.60147677,america,NASDAQ,1d,  -1406201.66 -1624939.14 -1747043.28 -1853969.28 -1882556.41 -1631284.54 -1230928.32 -1052317.37
TSN,STRONG_SELL,1,17,8,47.28,-20.539595746904254,-17.8096479791395,68.12551098,50.45548902,america,NYSE,1d,  -323046.44 -360927.7 -400194.36 -418789.37 -404012.63 -358469.41 -314418.84 -328949.23
KEY,STRONG_SELL,0,16,10,9.32,-17.319691255084635,-6.472654290015043,13.05883099,8.60216901,america,NYSE,1d,  -67225.72 -228644.42 -322187.92 -331165.9 -433454.32 -319628.71 -275185.24 -113392.82
INCY,STRONG_SELL,2,16,8,63.92,-11.342484504290823,-7.178020126918653,79.5161999,63.6678001,america,NASDAQ,1d,  -14597.34 -19478.69 -22512.37 -17352.2 -14873.84 -14726.97 -12081.52 -26358.52
VFC,STRONG_SELL,0,16,10,21.39,-3.8867670186474896,-3.5878481925538495,23.55322496,21.17477504,america,NYSE,1d,  -16632.28 -82612.86 -108138.8 -144251.52 -176186.87 -154010.56 -107037.51 -119142.19
CAT,STRONG_SELL,1,16,9,213.17,-2.6972005532251018,-0.7639273593996592,227.35781346,209.57618654,america,NYSE,1d,  4713.75 5117.05 11007.22 11315.11 2549.04 1170.32 9283.12 11655.41
FCX,STRONG_SELL,1,16,9,36.24,-7.922930333086839,-1.277615843526121,43.97616023,33.59883977,america,NYSE,1d,  -93281.79 -160875.8 -195480.0 -170745.13 -153617.37 -103062.99 -39909.76 -30411.31
FOX,STRONG_SELL,0,16,10,28.64,-6.005907449950769,-3.5527866644216175,31.77707472,28.56492528,america,NASDAQ,1d,  -297.51 -22531.08 -24806.85 -26398.14 -30091.06 -25566.77 -13359.82 -12666.47
ROST,STRONG_SELL,0,16,10,101.95,-2.891505827687851,-2.4327221222677338,107.01086945,102.32313055,america,NASDAQ,1d,  9004.26 -1499.26 -8663.3 -12320.37 -16777.71 -12004.61 -3290.21 -3626.03
TEL,STRONG_SELL,1,16,9,120.59,-3.543947403268149,-0.9649735145567178,129.97272312,118.12327688,america,NYSE,1d,  -5313.28 -6152.21 -11111.67 -14327.11 -15762.52 -13226.05 -8785.54 -11627.9
