Symbol,RECOMMENDATION,BUY,SELL,NEUTRAL,ClosePrice,percInc30,percInc10,bbHigh,bbLow,screener,exchange,interval,AdoscLastN
TER,BUY,12,4,10,106.885,5.9664475143288485,-1.2011887100277647,114.07669848,94.58280152,america,NASDAQ,1d, 
NOW,NEUTRAL,11,5,10,546.8,4.877198926518346,-0.8020376582169462,581.22069123,506.94830877,america,NYSE,1d, 
MSFT,NEUTRAL,11,5,10,333.56,2.5528556924013515,-0.16013409359614172,347.22341366,315.38358634,america,NASDAQ,1d, 
CCL,BUY,14,5,7,15.89,28.733459392042533,7.191041554236378,17.0271389,9.3668611,america,NYSE,1d, 
AAL,BUY,14,3,9,16.3,8.534014006999001,1.4312383322962177,17.0734577,13.5275423,america,NASDAQ,1d, 
LIN,BUY,15,1,10,370.65,1.721382484091862,0.5588865677310935,377.71557519,347.74242481,america,NYSE,1d, 
DRI,BUY,13,3,10,166.41,3.81117150471799,0.6453251725201596,168.42805288,158.12694712,america,NYSE,1d, 
HWM,STRONG_BUY,16,0,10,47.16,5.080994354898564,2.0558320709803013,47.70239717,42.40260283,america,NYSE,1d,  25763.65 32954.81 23855.66 18599.6 15521.92 17017.74 9822.42 9372.34
TRGP,BUY,14,3,9,71.95,2.0528774277071022,0.7026088903818248,73.20726128,68.15973872,america,NYSE,1d, 
ILMN,SELL,2,14,10,199.87,-1.7136712577393638,-2.1781955310407,213.59340166,192.49009834,america,NASDAQ,1d, 
LH,BUY,15,2,9,232.98,5.612286530113579,2.6958882854926287,235.42927796,206.74572204,america,NYSE,1d, 
L,NEUTRAL,9,8,9,58.23,-0.020603688060162995,-1.029981643891503,60.10902391,56.13497609,america,NYSE,1d, 
NWL,STRONG_SELL,1,16,9,8.1,-7.611588437233522,-4.447328064173647,9.0216105,8.0893895,america,NASDAQ,1d,  -37640.82 -58229.03 -26300.75 -5993.17 -11858.35 986.58 -12222.81 -39750.9
FTV,BUY,14,4,8,71.22,6.215015057506307,1.8053947424846655,72.75545463,63.29954537,america,NYSE,1d, 
WFC,SELL,9,8,9,41.65,2.3593020398132296,-1.1182070701075588,43.00595178,39.91604822,america,NYSE,1d, 
TDY,NEUTRAL,7,11,8,401.94,-0.29494280986980925,0.388125458932123,408.11336455,387.11463545,america,NYSE,1d, 
DHR,SELL,6,10,10,237.71,2.0519726227448842,-0.3600635455570398,243.85620945,225.93879055,america,NYSE,1d, 
CDAY,NEUTRAL,10,6,10,65.71,4.43032945930328,-0.25804493017608365,68.75521659,60.31178341,america,NYSE,1d, 
MTB,SELL,3,13,10,122.15,0.2903754656076387,-2.4150575603364928,129.58777884,118.64922116,america,NYSE,1d, 
ADSK,BUY,12,4,10,207.98,2.7019464236484225,-0.6093044371699676,219.09770097,190.98329903,america,NASDAQ,1d, 
AVY,BUY,9,8,9,169.79,1.117840786597796,1.0811196970959855,172.76231386,159.73468614,america,NYSE,1d, 
